Question,Answer
"How many men per team were allowed in the mixed gender team event at the 2024 Olympic Games?
A) One
B) Two
C) Three
D) Four",B
"In the finals of an archery match, how many sets of arrows are competitors allowed to shoot?
A) Up to 3 sets of 6 arrows
B) Up to 5 sets of 3 arrows
C) Up to 4 sets of 5 arrows
D) Up to 6 sets of 4 arrows",B
"How many points does a competitor receive if they win a set in an archery match?
A) One point
B) Two points
C) Three points
D) Four points",B
"What happens if a competitor has not won a majority of the sets in an archery elimination round?
A) The match continues until there is a clear winner.
B) The competitor with the most points overall wins.
C) A single arrow shoot-off decides the winner.
D) The match is declared a draw.",C
"In an individual archery event, the qualifying round consists of shooting how many arrows at a distance of 70 meters?
A) 60 arrows
B) 72 arrows
C) 48 arrows
D) 24 arrows",B
"During the head-to-head matches, how many arrows does each end consist of?
A) 6 arrows
B) 3 arrows
C) 5 arrows
D) 4 arrows",B
"How is the shooting order determined in the later stages of the competition, such as at the Olympics and World Cup?
A) Randomly by the judges
B) Based on the archer's preference
C) Alternating with each archer shooting one arrow at a time
D) The lowest seeded athlete always shoots first",C
"If the athletes are tied, who shoots first in the next end?
A) The athlete with the highest cumulative score
B) The athlete that shot last in the previous end
C) The athlete that shot first in the first end
D) The athlete with the most recent bullseye",C
"In the event of a tie after all regular arrows have been shot, how is the winner decided?
A) By a coin toss
B) By shooting a single arrow each until the tie is broken
C) By a judge's decision
D) By the number of bullseyes during the match",B
"On the third tie-breaker arrow, if there is still a tie, what determines the winner?
A) The archer with the most center shots in the match
B) The archer with the arrow closest to the center
C) The archer with the fastest shooting time
D) The archer who shot first in the tie-breaker",B
"In a team event, how many archers make up a team?
A) Two
B) Three
C) Four
D) Five",B
"What type of bows are used in the team events?
A) Recurve only
B) Compound only
C) Both recurve and compound
D) Crossbow",C
"What is the total number of arrows shot by a team in a match?
A) 12
B) 18
C) 24
D) 30",C
"If an archer removes an arrow from their quiver before reaching the shooting line, what must they do?
A) Shoot the arrow immediately
B) Leave the competition area
C) Re-enter the box and return the arrow
D) Receive a time penalty",C
"In the event of a tie, how many arrows does each team member shoot?
A) One
B) Two
C) Three
D) Four",A
"What is the time limit for shooting the tiebreaker arrows?
A) 30 seconds
B) 1 minute
C) 2 minutes
D) 3 minutes",B
"The Olympic Round is used in various competitions. Which of the following is NOT one of them?
A) Olympic Games
B) Archery World Cup
C) Local tournaments
D) Football World Cup",D
"Who developed the Olympic Round for target archery?
A) International Olympic Committee
B) World Archery Federation
C) FIFA
D) International Archery Association",B
"In the 2016 continental archery tournaments, how many qualification spots were allocated to Africa?
A) 1
B) 2
C) 3
D) 4",C
"What is the composition of each team in the mixed team archery competition?
A) Two men
B) Two women
C) One man and one woman
D) One man, one woman, and a coach",C
"In the 2012 archery qualification rules, how many individual spots were allocated through the individual placement at the World Championship?
A) 3
B) 8
C) 13
D) 9",B
"What was the number of qualification spots given to Africa and Oceania for the 2012 archery competition?
A) 2
B) 3
C) 4
D) 8",A
"If a National Olympic Committee (NOC) qualifying through Final Qualification had already earned an individual spot, what would happen to the individual Final Qualification quota?
A) It would be decreased by one.
B) It would remain the same.
C) One more spot would be added.
D) Two more spots would be added.",C
"In team archery events, how are the individual archers' scores used?
A) Each archer's score is compared to find the highest scorer.
B) The individual scores are summed to get a team ranking round score.
C) The individual scores determine the order of shooting.
D) Each archer's score is averaged to find the team's score.",B
"If the set format was not used in the 2012 team event, which year did it begin to be used?
A) 2010
B) 2014
C) 2016
D) 2018",C
"In the individual archery competitions, how many arrows does each archer shoot during the ranking round?
A) 60 arrows
B) 72 arrows
C) 64 arrows
D) 48 arrows",B
"During the archery competitions in the early 20th century, which of the following nations did NOT compete?
A) France
B) Belgium
C) Germany
D) The United States",C
"How many nations at most competed in the archery competitions in any given year before the standardization under the World Archery Federation rules?
A) One
B) Two
C) Three
D) Four",C
"In the archery events in Antwerp in 1920, why were bronze medals not awarded?
A) The competition was cancelled
B) Only gold and silver medals were created
C) Only two nations competed
D) There was a tie for the second place",C
"In the first elimination round, how many arrows do the archers shoot in each end?
A) 6 arrows
B) 3 arrows
C) 12 arrows
D) 18 arrows",B
"How many archers remain after the first three elimination rounds?
A) 64 archers
B) 32 archers
C) 16 archers
D) 8 archers",D
"In the finals rounds, how do the two archers alternate their shots?
A) By end
B) By round
C) By arrow
D) Simultaneously",C
"What happens to the losers of the semifinals in the archery competition?
A) They are eliminated from the competition
B) They compete for the gold medal
C) They leave with fourth place
D) They play each other to determine the bronze medal and fourth place",D
"In the 2008 finals round format for archery matches, how many arrows were used in each match?
A) 6 arrows
B) 12 arrows
C) 10 arrows
D) 8 arrows",B
"At which Olympic Games did archery first appear?
A) Athens 1896
B) Paris 1900
C) St. Louis 1904
D) London 1908",B
"When was team archery first introduced to the Olympics?
A) Paris 1900
B) St. Louis 1904
C) London 1908
D) Antwerp 1920",B
"What round format was used in archery at the 1988 Summer Olympics?
A) Double FITA Round
B) Grand FITA Round
C) Olympic Round
D) 1440 Round",B
"Since which year has the Olympic Round with head-to-head matches been used in archery at the Olympics?
A) Seoul 1988
B) Barcelona 1992
C) Atlanta 1996
D) Sydney 2000",B
"In what year did World War I start, coinciding with the absence of archery at the Olympics?
A) 1912
B) 1914
C) 1916
D) 1920",B
"How many Olympic quota slots does each division of USA Archery earn?
A) One
B) Two
C) Three
D) Four",C
"In the early Olympic archery competitions, how were the events characterized for each of the Games?
A) They were identical for each of the Games
B) They were unique for each of the Games
C) They were cancelled frequently
D) They followed a standardized international format",B
"For the 2020 Olympics, how many allocation spots per gender were awarded to the winning NOC in the mixed team event at each of the five Continental Games?
A) One
B) Two
C) Three
D) Four",A
"How many quota spots per gender were available for the individual event winners at the Asian, European, and Pan American Games?
A) One
B) Two
C) Three
D) Four",A
"Which organization governs the sport of archery at the international level?
A) International Olympic Committee
B) World Archery Federation
C) Federation Internationale de Tir a l'Arc
D) International Archery Association",B
"Qualification spots in archery are allotted to _______ rather than to individual athletes.
A) National Olympic Committees
B) International Sports Federations
C) Local Archery Clubs
D) The International Olympic Committee",A
"How many archers may an NOC send to compete in the team event if they earn a team qualification spot?
A) One
B) Two
C) Three
D) Four",C
"Which event was added to the Olympic archery competitions in 2020?
A) Men's individual
B) Women's individual
C) Men's team
D) Mixed team",D
"In the individual match system overhauled for the 2012 Olympics, how many arrows did each archer shoot per set?
A) Two arrows
B) Three arrows
C) Four arrows
D) Five arrows",B
"During the 2012 Olympics, how many points were awarded to an archer for winning a set in the individual match?
A) One point
B) Two points
C) Three points
D) Four points",B
"What is the radius of the semicircle that the shooter shoots from?
A) 19 m
B) 21 yards
C) 62 yards
D) 70 yards",B
"Why might there be a need for continuous maintenance of electronic scoring systems?
A) Due to the simplicity of the system
B) Because of the infrequent use of the system
C) Owing to the high construction costs
D) Because of the sensitivity to environmental factors",D
"Anna Sushko, the 2006 Junior World Champion, is from which country?
A) Germany
B) Switzerland
C) Russia
D) France",C
"What event contributed to the boost in popularity of Archery Tag?
A) The Olympic Games
B) The World Archery Championships
C) The Hunger Games books and film series
D) The invention of foam-tipped arrows",C
"What is a person who participates in archery commonly known as?
A) A marksman
B) An archer
C) A toxophilite
D) A bowman",B
"Which organization's rules are often considered normative in competitive archery?
A) USA Archery
B) National Field Archery Association
C) World Archery Federation
D) International Archery Association",C
"What type of bow is used in target shooting competitions?
A) Compound bow
B) Crossbow
C) Recurve bow
D) Longbow",C
"Which organization in the United States is responsible for governing competitive archery?
A) World Archery Federation
B) USA Archery
C) National Field Archery Association
D) American Archery Council",B
