Question,Answer
"In longer marathon races, such as the 5000m, how do athletes start the race?
A) In their own designated lanes
B) In a large pack at a start line
C) In a staggered formation
D) Individually at timed intervals",B
"In athletics, what does a green card indicate?
A) A player has committed a serious offence
B) The recall did not warrant a warning
C) The athlete has been disqualified
D) A new world record has been set",B
"In athletics, what does a diagonal red/black card signify?
A) The athlete has won the event
B) The athlete is given a warning
C) The athlete has made a false start
D) The athlete is disqualified for leaving the track",C
"How many yellow cards must an athlete receive before they are shown a red card and disqualified in athletics?
A) One
B) Two
C) Three
D) Four",B
"Which rider clinched the gold in the Long Jump competition with a distance of 6.10 meters?
A) Gian Giorgio Trissino
B) Dominique Gardere
C) Constant van Langendonck
D) M. de Bellegarde",C
"Who won the silver medal in the Long Jump competition, clearing 5.70 meters?
A) Dominique Gardere
B) Gian Giorgio Trissino
C) Constant van Langendonck
D) M. de Bellegarde",B
"In middle distance cycle sport, what is the typical starting gap between individual competitors?
A) 1 minute
B) 2 minutes
C) 3 minutes
D) 4 minutes",B
"In athletics, what does a green card indicate when used after a recall?
A) A false start
B) A warning
C) No warning is warranted
D) Disqualification",C
"Redgra surfaces are known to bind and solidify after a certain period. How long does it take for Redgra to solidify after being wet and compacted?
A) 12 hours
B) 24 hours
C) 48 hours
D) 72 hours",B
"What was the source location for the limestone and clay used in Redgra?
A) London
B) Forest of Dean, Gloucestershire
C) Harlow, Essex
D) Crystal Palace, London",B
"When was the Redgra area at Harlow Sportcentre opened?
A) March 1961
B) October 1961
C) 1964
D) It was not mentioned",B
"In athletics, what does a green card signify?
A) A severe penalty
B) A false start
C) That no warning is warranted
D) A personal record",C
"How wide is the board from which athletes jump?
A) 10 centimetres
B) 20 centimetres
C) 30 centimetres
D) 40 centimetres",B
"_________, such as Marita Koch, broke world records and were highly successful at international competitions due to the state-sponsored doping program in East Germany.
A) Coaches
B) Men
C) Women
D) Children",C
"Which region has not had a consistent indoor continental competition?
A) Europe
B) Asia
C) North America
D) Oceania",C
"What happens when a racewalking competitor receives three red cards?
A) They receive a warning.
B) They are given a time penalty.
C) They are disqualified.
D) They must restart the race.",C
"What happens when a competitor receives a yellow card from a judge in racewalking?
A) The competitor is given a warning for an infraction.
B) The competitor is immediately disqualified.
C) The competitor must pause for a time penalty.
D) The competitor's score is reduced.",A
"How many red cards from different judges will result in a competitor's disqualification in racewalking?
A) One
B) Two
C) Three
D) Four",C
"What does a red card signify in racewalking?
A) The competitor has shown unsporting behavior.
B) The competitor's foot was not on the ground when the rear leg was raised.
C) The competitor left the track.
D) The competitor's front leg was straightened before contact with the ground.",B
"How many red cards from different judges will disqualify a racewalker?
A) One
B) Two
C) Three
D) Four",C
"What happens when a racewalker commits their first infraction?
A) They are immediately disqualified.
B) They receive a red card.
C) They receive a yellow card.
D) They are given a warning.",C
"At the Olympics, which long-distance race is only available for women?
A) 800 meters
B) 1,500 meters
C) 1,000 meters
D) Both 800 meters and 1,500 meters",A
"A second false start by an athlete in the same event could lead to _______.
A) a time bonus
B) immediate disqualification
C) a financial reward
D) a mandatory timeout",B
"How were false starts handled between 2003 and 2009?
A) Immediate disqualification
B) A second chance without warnings
C) The whole field would be warned after the first false start
D) A time penalty was applied",C
"The IAAF rule about false starts is based on the premise that the human brain cannot process the information from the start sound in under how many seconds?
A) 0.05 seconds
B) 0.1 seconds
C) 0.08 seconds
D) 0.15 seconds",B
"If a player suddenly steps in front of a sprinting player, it is considered a violation because:
A) The sprinting player is invading the cylinder
B) The sprinting player has the ball
C) The player stepped in without giving time for reaction
D) The player stepped in with the ball",C
"In sports, a false start is typically penalized because it involves a movement by a participant before being _______ by the rules to start.
A) questioned
B) signaled
C) ignored
D) eliminated",B
"What term is used to describe a race that begins without any false starts?
A) A strong start
B) A fair start
C) A perfect start
D) A standard start",B
"How is a false start signalled to the athletes?
A) The starting gun is fired once
B) The starting gun is fired twice
C) A bell is rung
D) A whistle is blown",B
