Question,Answer
"The shaft of the handle just above the head is commonly taken as _______ in diameter.
A) 73 mm
B) 46 mm
C) 25 mm
D) 26 mm",B
"In the last possible game of a match, when do players change ends?
A) When the first player scores five points
B) When the first player scores ten points
C) After each player serves two points
D) They do not change ends in the last game",A
"What is a backhand smash?
A) A powerful forehand shot
B) A defensive lob
C) A smash played over the backhand side
D) A gentle volley",C
"In ""American doubles,"" after each game, players rotate so that each player plays in ______ position on court during the match.
A) every
B) their own
C) the winning
D) a fixed",A
"The ""doubles net"" is:
A) Shorter than a singles net
B) The same length as a singles net
C) Longer than a singles net
D) Used only in mixed doubles",C
"A ""drop shot"" is designed to:
A) Speed past the opponent
B) Bounce twice before the opponent can reach it
C) Catch a player off guard
D) Hit the baseline",C
"What is the term for a net used for playing singles?
A) Solo net
B) Singles net
C) Narrow net
D) Single-player net",B
"__________ is usually required to execute an angled shot well.
A) A strong serve
B) A hard flat hit
C) A soft touch
D) A powerful smash",C
"In which year was Hawk-Eye technology introduced by BWF for line call decisions in major events?
A) 2012
B) 2013
C) 2014
D) 2015",C
"In attacking doubles, when does the server typically follow their serve to the net?
A) After most first serves and some second serves
B) Only after second serves
C) Only after first serves
D) Never, they stay at the baseline",A
"At the professional level, how is the attacking doubles strategy viewed?
A) As an outdated method rarely used
B) As the unconventional choice for most players
C) As the slowly degrading standard strategy
D) As the most defensive strategy in doubles",C
"In the up-and-back strategy, the weakness is the large angular gap between partners, which can be exploited by an opposing net player who can hit a clean winner through if they successfully ________ a passing shot.
A) block
B) lob
C) poach
D) slice",C
"The up-and-back strategy is considered versatile because it has elements of both ________ and defense.
A) offense
B) speed
C) agility
D) power",A
"Teams that are not strong in net games can still play both-up when they have their opponents on the ________.
A) offensive
B) sideline
C) defensive
D) bench",C
"What is the purpose of the centre line?
A) To divide the court into two equal halves
B) To mark the boundary for doubles play
C) To create the service boxes
D) To indicate the position for the server",C
"What is the reverse slice serve analogous to in baseball?
A) Fastball
B) Curveball
C) Slider
D) Screwball pitch",D
"What must a server do to hit a reverse slice serve?
A) Pronate the racket arm
B) Supinate the racket arm
C) Use a two-handed grip
D) Strike the ball above shoulder height",A
"How does the spin of a reverse slice serve differ from a standard slice serve?
A) It is hit with the same spin
B) It is hit with less spin
C) It is hit with opposite spin
D) It is hit with more topspin",C
"The reverse slice serve is analogous to which pitch in baseball?
A) Fastball
B) Curveball
C) Screwball
D) Slider",C
"What must a server do to execute a reverse slice serve?
A) Pronate the racket arm
B) Supinate the racket arm
C) Increase grip pressure
D) Decrease grip pressure",A
"How does the direction of spin for a reverse slice serve compare to a standard slice serve?
A) It is the same
B) It is reversed
C) It is more intense
D) It is less pronounced",B
"What is the primary reason for the shuttlecock's unique design in badminton?
A) To increase the speed of the game
B) To make it easier to hit
C) To ensure aerodynamic stability
D) To reduce the cost of production",C
"What happens to a shuttlecock's orientation after it is hit in a game of badminton?
A) It flies randomly
B) It turns to fly feather first
C) It remains in the same orientation as it was hit
D) It turns to fly cork first",D
"What materials can be used to make the base of a shuttlecock?
A) Wood or metal
B) Cork or rubber
C) Plastic or glass
D) Leather or fabric",B
"What does the ""cock"" part of ""shuttlecock"" refer to?
A) The sound it makes when hit
B) The shape of the base
C) The resemblance of the feathers to those on a rooster
D) The trajectory it follows in the air",C
"How many feathers are typically used to form a shuttlecock?
A) 14
B) 16
C) 18
D) 20",B
"Which type of feathers are considered preferable for ensuring satisfactory flight properties of a shuttlecock?
A) Feathers from both right and left wings mixed
B) Feathers from right wings only
C) Feathers from left wings only
D) Feathers from different birds",B
