Question,Answer
"In baseball, what is the primary purpose of using a tee?
A) To hold the ball still during a game
B) To simulate a pitch in various locations for training
C) To replace the pitcher during a match
D) To mark the home plate area",B
"How does a baseball tee differ from a tee used in tee-ball?
A) In baseball, the tee is not used at all.
B) In baseball, the tee is used for holding the ball during a game.
C) In baseball, the tee is used as a training device, not just to hold the ball.
D) In baseball, the tee is used to throw the ball to the batter.",C
"What aspect of batting can be improved by using a tee in baseball training?
A) The accuracy of the pitcher
B) The speed of the runner
C) The hitter's swing for pitches in different locations
D) The catcher's ability to catch the ball",C
"What do batting drills with a tee help to strengthen?
A) The players' fielding skills
B) The players' hitting motion
C) The players' pitching accuracy
D) The players' base running speed",B
"Where can the ball be placed on the tee to simulate different pitch locations?
A) Only down the middle
B) Inside, down the middle, and outside as well as high and low
C) Only outside
D) Only high and low",B
"In tee-ball, what is the main difference between it and traditional baseball?
A) The use of a bat instead of a glove
B) The use of a tee in place of a pitcher
C) The absence of a home plate
D) The baseball is larger than in traditional baseball",B
"What is the purpose of the tee-ball tee?
A) To catch the baseball
B) To support the baseball at a suitable height for the batter to hit
C) To mark the boundaries of the playing field
D) To act as a base for the players to run to",B
"How does the tee-ball tee accommodate players of different heights?
A) By being made of durable rubber
B) By being attached to the home plate
C) By being adjustable
D) By supporting the baseball at a fixed height",C
"The yips in baseball typically affect a player's ability to do what?
A) Hit home runs
B) Steal bases
C) Throw the baseball accurately
D) Catch fly balls",C
"Which position players are most likely to suffer from the yips due to frequent ball handling?
A) First basemen and outfielders
B) Pitchers and catchers
C) Infielders and shortstops
D) Designated hitters",B
"What was the peculiar behavior exhibited by New York Mets catcher Mackey Sasser when he had the yips?
A) He would over-swing at pitches
B) He would tap his mitt several times before throwing
C) He would only throw sidearm
D) He would avoid tagging runners",B
"Which player became known as ""the 1990s poster child for Steve Blass Syndrome""?
A) Mark Wohlers
B) Rick Ankiel
C) Jon Lester
D) Mackey Sasser",A
"What was Jon Lester's unique strategy to cope with his yips during pickoff attempts?
A) Switching to pitch with his opposite hand
B) Running towards 1st base and underhand throwing the ball
C) Always throwing curveballs to first
D) Using a designated fielder for throws to first",B
"What alternative method did Jon Lester's team use to compensate for his yips?
A) Installing a pitching machine
B) Using a tee for batting practice
C) Having catchers throw 'back picks' to first base
D) Allowing Lester to pitch from a shorter distance",C
"Which player left baseball due to the yips and was later drafted by the Baltimore Ravens in the NFL?
A) Hayden Hurst
B) Steve Sax
C) Mackey Sasser
D) Luke Hagerty",A
"What did Steve Sax do to overcome his yips?
A) He retired early from baseball
B) He switched to playing football
C) He continued to play and eventually recovered
D) He became a designated hitter only",C
"How did Rick Ankiel adapt after losing his control as a pitcher?
A) He became a coach
B) He returned as a productive outfielder
C) He switched to playing basketball
D) He became a commentator",B
"Who was the Pittsburgh Pirates pitcher that retired in 1974 due to the yips?
A) Jon Lester
B) Rick Ankiel
C) Steve Blass
D) Hayden Hurst",C
"Who was the New York Yankees second baseman known to suddenly lose his ability to throw accurately?
A) Chuck Knoblauch
B) Derek Jeter
C) Robinson Cano
D) Alfonso Soriano",A
"What was the unconventional method Jon Lester used for longer throws to avoid yips?
A) Throwing the ball very high
B) Bouncing the ball on the turf
C) Using a slingshot
D) Throwing with his eyes closed",B
"What did Brett Butler steal during a Mackey Sasser yip incident?
A) Second base
B) Third base
C) Home plate
D) The catcher's mitt",B
"What was the career path of Luke Hagerty after suffering from the yips?
A) He became a successful coach
B) He never played after being drafted
C) He switched to play in the Japanese league
D) He became an MLB umpire",B
"What was the significant change in Mackey Sasser's career after his yips worsened?
A) He became an All-Star player
B) He was traded to another team
C) He was released from the Seattle Mariners
D) He set a new record for most stolen bases",C
"According to Peter Reitan's 2017 blog post, what was the term ""mulligan"" originally used to describe in the 1920s?
A) A type of golf club
B) A powerful swing in baseball
C) A do-over in golf
D) A specific golf tournament",B
"The term ""mulligan"" is suggested to have originated from which fictional character?
A) Happy Gilmore
B) Swat Mulligan
C) Casey Stengel
D) Babe Ruth",B
"In what publication did the character ""Swat Mulligan"" first appear?
A) The Washington Post
B) The New York Evening World
C) The Detroit Free Press
D) The Chicago Tribune",B
"In addition to golfer's elbow, what is another name for the condition caused by the repetitive throwing of objects?
A) Batter's elbow
B) Pitcher's elbow
C) Catcher's elbow
D) Quarterback's elbow",B
"Which tendon in the rotator cuff is most prone to tearing?
A) Infraspinatus
B) Teres Minor
C) Supraspinatus
D) Subscapularis",C
"Rotator cuff impingement is often caused by pressure from part of the ________ as the arm is raised.
A) Clavicle
B) Humerus
C) Scapula
D) Radius",C
"During rehabilitation, the focus should be on strengthening the:
A) Rotator cuff and scapular
B) Biceps and triceps
C) Quadriceps and hamstrings
D) Pectorals and lats",A
"In fantasy baseball, what is the role of a utility player?
A) A player who can only play in their assigned position
B) A player who accumulates statistics without being assigned to a particular position
C) A player who is not allowed to accumulate statistics
D) A player who manages the fantasy team",B
"Can a fantasy baseball manager assign a first baseman to a utility slot even if they have another first baseman assigned to the first base position?
A) Yes, if the team has no other players
B) No, only one first baseman can play at a time
C) Yes, one can be assigned to the first base position and another to a utility slot
D) No, a utility player must be a designated utility player in real life",C
"In Major League Baseball, what term is used to describe a player who can play several different positions?
A) Specialized player
B) Utility player
C) Benchwarmer
D) Two-way player",B
"Which type of utility player is commonly found in youth and college baseball?
A) Utility infielder
B) Fourth outfielder
C) Two-way player
D) Bench talent",C
"What is the primary difference between a ""utility player"" and a ""two-way player""?
A) A two-way player is a utility player who can pitch.
B) A utility player is a specialized two-way player.
C) A two-way player is a utility player who only plays in youth leagues.
D) There is no difference; they are the same.",A
"How do utility players typically contribute to their teams?
A) They are always in the starting lineup.
B) They tend to come off the bench.
C) They only play during extra innings.
D) They serve as team managers.",B
"Why might a player with lower prospects learn multiple positions?
A) To become a full-time pitcher
B) To increase their chances of becoming a major league star
C) To make themselves more attractive to major league clubs as bench talent
D) To focus on becoming a designated hitter",C
"What position did Babe Ruth start his career as before becoming a full-time position player?
A) Catcher
B) Pitcher
C) Infielder
D) Outfielder",B
"Who is a current example of a player who excels as both a pitcher and a hitter at the professional level?
A) Babe Ruth
B) Shohei Ohtani
C) Mike Trout
D) Clayton Kershaw",B
"Which technique is characterized by a shot that has no or very little spin and displays erratic movement, often used from a distance?
A) Bending shot
B) Knuckleball
C) Straight shot
D) Top spin shot",B
"The knuckleball technique is best executed when the ball is _______.
A) Moving
B) Still
C) In the air
D) On a wet surface",B
"How many innings are normally played in a regulation baseball game?
A) 5 innings
B) 7 innings
C) 9 innings
D) 12 innings",C
"Which league had a game time limit of 3+1⁄2 hours during the 2011 season?
A) Major League Baseball
B) Nippon Professional Baseball
C) Chinese Professional Baseball League
D) Korea Baseball Organization",B
"What is the maximum number of innings a game can go in the Nippon Professional Baseball?
A) 7 innings
B) 9 innings
C) 12 innings
D) No limit",C
"How did Major League Baseball All-Star Games resolve ties since 2022?
A) Playing extra innings until a winner is determined
B) A three-player, three-swing playoff
C) Coin toss
D) The game remains a tie",B
"What rule did the Arizona League and Gulf Coast League test in 2017 for extra innings?
A) A runner starts on first base
B) A runner starts on second base
C) A runner starts on third base
D) No runners are placed on base",B
"When did stadiums begin installing lights to avoid games being called off due to nightfall?
A) 1910s
B) 1920s
C) 1930s
D) 1940s",C
"In the Korea Baseball Organization, what happens if the first game of a doubleheader is tied after extra innings?
A) The game continues until a winner is determined.
B) A home run derby decides the winner.
C) The game is replayed.
D) Extra innings are not played.",D
"How did the 2002 Major League Baseball All-Star Game end?
A) With a clear winner after extra innings
B) In a tie after a home run derby
C) In a tie after the eleventh inning
D) With a victory by default",C
"What was the result of the second 1961 Major League Baseball All-Star Game?
A) It ended in a tie due to rain.
B) It continued until a winner was decided.
C) It was postponed and played on another day.
D) It was decided by a sudden death inning.",A
"What happens if the regulation number of innings are complete and the score is even?
A) The game ends in a tie.
B) Extra innings are played to determine a winner.
C) The team with the most hits wins.
D) A coin toss decides the winner.",B
"On 8 May 1984, which player hit a walk-off home run to win the game for the Chicago White Sox against the Milwaukee Brewers?
A) Harold Baines
B) Bill Doran
C) Jeremy Peña
D) Max Muncy",A
"The game between the Brooklyn Robins and Boston Braves on 1 May 1926 ended in a tie after how many innings?
A) 17
B) 22
C) 25
D) 26",D
"Who hit a walk-off single to end the 22-inning game between the Houston Astros and the L.A. Dodgers on 3 June 1989?
A) Harold Baines
B) Rafael Ramírez
C) Jeremy Peña
D) Max Muncy",B
"How long did the longest shutout game in MLB postseason history last on 15 October 2022?
A) 6 hours, 22 minutes
B) 7 hours, 14 minutes
C) 7 hours, 20 minutes
D) 8 hours, 25 minutes",A
"During the World Series on 26 October 2018, which player hit a walk-off solo shot for the Los Angeles Dodgers?
A) Harold Baines
B) Rafael Ramírez
C) Jeremy Peña
D) Max Muncy",D
"Which two teams played the longest professional baseball game in the International League on 18 April 1981?
A) Chicago White Sox and Milwaukee Brewers
B) Brooklyn Robins and Boston Braves
C) Pawtucket Red Sox and Rochester Red Wings
D) Texas Longhorns and Boston College Eagles",C
"On what date was the game between the Pawtucket Red Sox and the Rochester Red Wings resumed after being suspended?
A) The next night
B) One week later
C) One month later
D) Two months later",C
"Which team did the Texas Longhorns defeat in 25 innings during the 2009 NCAA Division I Baseball Championship tournament?
A) Milwaukee Brewers
B) Boston Braves
C) Boston College Eagles
D) Rochester Red Wings",C
"Who was playing first baseman for the L.A. Dodgers during the 22-inning game against the Houston Astros on 3 June 1989?
A) Harold Baines
B) Bill Doran
C) Fernando Valenzuela
D) Nathan Eovaldi",C
"What was the final score of the longest professional baseball game played on 18 April 1981?
A) 7–6
B) 1–all tie
C) 5–4
D) 3–2",D
"Who was the winning pitcher in the longest shutout game in MLB postseason history on 15 October 2022?
A) Jeff Hamilton
B) Fernando Valenzuela
C) Luis García
D) Nathan Eovaldi",C
"Since the 1980s, advancements in glove design now feature protectors to prevent the fingers from _______.
A) bending backwards
B) losing grip
C) getting cold
D) sweating excessively",A
"What nickname was given to the 1–6–3 formation in the 1960s?
A) The ""shogun"" formation
B) The ""samurai"" formation
C) The ""kamikaze"" formation
D) The ""ninja"" formation",C
"What would allow for a greater release velocity according to the study?
A) Throwing the ball at higher angles
B) Throwing the ball with both feet off the ground
C) Throwing the ball with one hand
D) Throwing the ball at lower angles",D
"The term ""knuckleball"" in football describes a shot that:
A) Spins rapidly
B) Has almost no spinning motion
C) Is kicked with the knee
D) Bounces unpredictably",B
"In the event of a player's third offence under the revised rules of 1886, what was the consequence?
A) A two-minute penalty
B) A fine
C) Removal from the game
D) A ten-minute penalty",C
"In baseball, the term ""hat trick"" has been used more recently to describe when a player __________.
A) steals three bases in a game
B) hits three home runs in a game
C) strikes out three times in a game
D) catches three fly balls in a game",B
"What is the term used to describe when a player strikes out four times in a baseball game?
A) Silver sombrero
B) Golden sombrero
C) Platinum sombrero
D) Bronze sombrero",B
"What was the consequence for players who agitated for a players' union?
A) They received a bonus
B) They were celebrated
C) They were traded or sent to the minors
D) They were promoted",C
"Were players' relocation costs covered when sent to the minors?
A) Yes, fully
B) Partially
C) No, not at all
D) Only for star players",C
"In team sports, a diamond formation refers to a strategic arrangement where players position themselves in a shape resembling a _______.
A) Circle
B) Square
C) Triangle
D) Diamond",D
"How many players are involved at a minimum to create a diamond formation in a team sport?
A) Two
B) Three
C) Four
D) Five",C
"In which of the following sports is a bench-clearing brawl most notably a form of fighting?
A) Football
B) Baseball
C) Basketball
D) Tennis",B
"During a bench-clearing brawl, what do players typically do after leaving their dugouts, bullpens, or benches?
A) They charge onto the playing area to join the game
B) They charge onto the playing area to fight or break up a fight
C) They leave the stadium immediately
D) They gather to take a team photo",B
"In baseball, brawls often start when a batter is ______ by a pitch and then charges the mound.
A) congratulated
B) hit
C) ignored
D) cheered",B
"What usually spurs a brawl besides a batter being hit by a pitch?
A) A home run celebration
B) A friendly handshake
C) An altercation between a baserunner and fielder
D) The end of an inning",C
"How do players from opposing bullpens typically join a brawl?
A) By fighting each other
B) By running onto the field side-by-side
C) By staying in the bullpen
D) By leaving the stadium",B
"What is the purpose of bullpen players running onto the field during a brawl?
A) To escalate the conflict
B) To show support
C) To distract the umpires
D) To start a new game",B
"In baseball, why is the hitting team at a numerical disadvantage during play?
A) Because they have fewer coaches
B) Because they have more players on the bench
C) Because they have a maximum of five players on the field
D) Because they have fewer umpires",C
"Why is leaving the dugout to join a fight considered acceptable in baseball?
A) It creates a numerical equivalence on the field
B) It is encouraged by the umpires
C) It allows the game to end sooner
D) It provides entertainment for the fans",A
"What is generally the outcome when players leave the dugout to join a brawl?
A) A serious injury occurs
B) The game is immediately forfeited
C) Managers and/or umpires intervene to restore order
D) The brawl escalates further",C
"During the infamous Ten Cent Beer Night promotion, who did the Cleveland Indians defend?
A) Their own players
B) The umpires
C) The Texas Rangers
D) The fans",C
"What is NOT a common result of bench-clearing brawls in baseball?
A) Serious injury
B) Pushing and shoving
C) No punches thrown
D) A fair fight",A
"In the Major League Baseball postseason, a game seven can occur in the ________ and the World Series.
A) Division Series
B) League Championship Series
C) Regular Season
D) All-Star Game",B
"The Division Series in the Major League Baseball postseason is played as a best-of-______ series.
A) three
B) five
C) seven
D) nine",B
"As of the 2022 season, how many decisive game sevens have there been in the World Series?
A) 21
B) 40
C) 4
D) 9",B
"How many of the four World Series contested on a best-of-nine basis went to a game nine?
A) None
B) One
C) Two
D) All four",A
"The championship series of the Chinese Professional Baseball League is known as the _______.
A) China Cup
B) Taiwan Series
C) Dragon Tournament
D) Baseball Finals",B
"How many Taiwan Series have been decided in a game seven?
A) Five
B) Seven
C) Nine
D) Eleven",C
"How many World Series were played in a best of nine format?
A) 3
B) 4
C) 5
D) 6",B
"The World Series of 1903, 1919, 1920, and 1921 were unique because:
A) They were canceled.
B) They were played in a best of five format.
C) They were played in a best of nine format.
D) They did not include game seven.",C
"In baseball, how many players are allowed on the defense at any given time?
A) Seven
B) Eight
C) Nine
D) Ten",C
