Question,Answer
"The basic passing pattern for beginners is done every ________ beat.
A) second
B) third
C) fourth
D) fifth",C
"In man-to-man defence, what is the role of a ""shadow""?
A) To follow the referee around the field
B) To act as a central attacker
C) To closely mark and neutralize star players
D) To maintain the defensive line",C
"What is a potential shortcoming of the man-to-man defence?
A) It allows for easy counter-attacks by the opposition
B) It can lead to a lack of depth when new attackers move
C) It is too focused on offensive play
D) It requires a large number of defenders",B
"What is an advantage of man-to-man defence mentioned in the text?
A) It ensures a strong offensive presence
B) It can lead to quick counter-attacks
C) It simplifies the offside rule
D) It guarantees victory in matches",B
"When implementing a zone defence, what may the first defender and sometimes the second defender do to pressure the opponent with the ball?
A) Stay back in line
B) Rush out
C) Man-mark a player
D) Move to the midfield line",B
"The three-man move is more effective than the two-man combo because it:
A) Requires less skill
B) Has only one attacking option
C) Gives more attacking options
D) Is easier to defend against",C
"A major downfall of requiring high accuracy in passes is that:
A) The game becomes less interesting
B) Short passes are needed, narrowing the gap between players
C) Players become too confident
D) The referee has to intervene more often",B
"In fantasy basketball, what is the requirement for a player to be assigned to a utility slot?
A) The player must be a tweener or swingman
B) The player must be the highest-scoring individual on the team
C) The player must be a benchwarmer in real-life games
D) There is no specific requirement for the type of player in a utility slot",D
"In basketball terminology, what term is used to describe a player who can play both the guard and forward positions effectively?
A) Utility player
B) Tweener
C) Swingman
D) Stretch four",C
"Which term refers to a basketball player who can fulfill the roles of both a point guard and a forward?
A) Combo guard
B) Point forward
C) Forward-center
D) Swingman",B
"In the dual system, how many referees are present on the field without assistants?
A) One
B) Two
C) Three
D) Four",B
"In the dual system, if one referee makes a decision, what is the effect on the other referee?
A) The decision is advisory only.
B) The decision must be discussed.
C) The decision is binding on the other.
D) The decision can be vetoed.",C
"What is the primary responsibility of each referee in the dual system?
A) To manage substitutions
B) To patrol a specific area of the field
C) To keep time
D) To coach players",B
"When are referees in the dual system encouraged to move away from the touch line?
A) When the ball is in the midfield
B) As play approaches the goal lines
C) Only during free kicks
D) When players request guidance",B
"In the dual system, what terms are used to describe the referees based on the direction of the attack?
A) Forward and Backward
B) Offensive and Defensive
C) Lead and Trail
D) Right and Left",C
"What happens to the positions of the lead and trail referees when the attack changes direction?
A) They switch roles
B) They remain stationary
C) They leave the field
D) They call a timeout",A
"Both referees in the dual system are responsible for calling what?
A) Offside only
B) Fouls and misconduct only
C) Substitutions and timekeeping
D) Fouls, misconduct, and determining the restart when the ball goes out of play",D
"Which boundaries are each referee responsible for patrolling in the dual system?
A) One touch line and one goal line
B) Only the goal lines
C) Only the touch lines
D) The entire perimeter of the field",A
"The referee may exit the field if it aids in their _______ ability.
A) Scoring
B) Decision-making
C) Running
D) Disciplinary",B
"In the double dual system, how many referees are equipped with whistles?
A) One
B) Two
C) Three
D) Four",C
"Where is the double dual system authorized for use?
A) Professional international matches
B) European club matches
C) United States college and high school matches
D) South American league matches",C
"Curry and Dunning suggest that offside play was viewed as ""highly _______"" at some schools.
A) gentlemanly
B) ungentlemanly
C) competitive
D) skillful",B
"In which year did the men's basketball game between Argentina and Brazil require two overtimes during the Summer Olympics?
A) 2000
B) 1996
C) 2016
D) 1992",C
"Which team defeated Russia in a men's basketball game that needed two overtimes in the 2000 Summer Olympics?
A) Lithuania
B) Canada
C) Australia
D) Argentina",B
"The FIBA Basketball World Cup game in 2006 that went to triple overtime was won by which country?
A) Germany
B) Angola
C) Paraguay
D) Cuba",A
"In the 1953 FIBA Women's Basketball World Cup, which team achieved victory after double overtime?
A) Paraguay
B) Cuba
C) Yugoslavia
D) Israel",A
"Which men's team won after four overtimes in the EuroBasket 1953?
A) Yugoslavia
B) Israel
C) Netherlands
D) Bulgaria",A
"In the EuroBasket Women 2011, which team defeated Israel after two overtimes?
A) Tunisia
B) Latvia
C) Belarus
D) Hungary",B
"The Indianapolis Olympians won against which team after six overtimes on 6 January 1951 in the NBA?
A) Rochester Royals
B) Cincinnati
C) Bradley
D) Black Hills",A
"Which NCAA Division I basketball game went into seven overtimes on 21 December 1981?
A) Cincinnati vs. Bradley
B) Black Hills vs. Yankton
C) Skidmore vs. Southern Vermont
D) Boone Trail vs. Angier",A
"The longest high school basketball game in North Carolina history, with 13 overtimes, was won by which school on 29 February 1964?
A) Boone Trail
B) Angier
C) Swayzee
D) Liberty Center",A
"Which state holds the record for a high school basketball game with 9 overtimes, played on 15 March 1964?
A) North Carolina
B) Indiana
C) Ohio
D) Illinois",B
"In the National Basketball Association, which player is known for employing the pass between the legs variant?
A) LeBron James
B) Kobe Bryant
C) Manu Ginóbili
D) Michael Jordan",C
"What term is sometimes used by commentators when a pass between the legs occurs in basketball, a term that originated from ice hockey?
A) Slam Dunk
B) Alley-Oop
C) Five-Hole
D) Cross-Over",C
"In basketball, teams may deliberately commit personal fouls for strategic reasons. This tactic became known as ""Hack-a-________"" after a famous player who was often targeted due to his poor free-throw percentage.
A) Jordan
B) Shaq
C) Bird
D) Magic",B
"When might trailing teams intentionally commit fouls in basketball games?
A) To celebrate a good play
B) To stop the clock and regain possession
C) To challenge the referee's decision
D) To request a timeout",B
"What must happen as a result of a personal foul in basketball?
A) The game is paused for a team discussion.
B) The fouled player must leave the game.
C) The fouled player takes resulting free throws.
D) The team that committed the foul receives a point.",C
"What is a ""clear path foul"" in basketball?
A) A foul that occurs when there's an obvious goal-scoring opportunity.
B) A foul that happens during a timeout.
C) A foul where the player fouled was not in possession of the ball.
D) A foul that is committed intentionally to injure another player.",A
"In basketball, what is the only legal way a player may maintain possession of the ball while walking or running?
A) Passing the ball
B) Kicking the ball
C) Dribbling the ball
D) Holding the ball above their head",C
"Who is known for endorsing and admiring the strategy of ""passing to themselves"" that evolved into dribbling?
A) Michael Jordan
B) LeBron James
C) James Naismith
D) Kobe Bryant",C
"Which university was the first known team to dribble the ball?
A) Harvard University
B) Yale University
C) Princeton University
D) Stanford University",B
"What must a player do after stopping their dribble and holding the ball?
A) Take a timeout
B) Dribble again
C) Pass it or take a shot
D) Spin the ball on their finger",C
"What is the call when a player dribbles, stops, and then begins to dribble again?
A) Traveling
B) Double dribble
C) Shot clock violation
D) Three-second violation",B
"What part of the hand should be used for dribbling the basketball?
A) Palm
B) Finger pads
C) Knuckles
D) Back of the hand",B
"What should skilled ball handlers do to reduce the risk of a steal?
A) Bounce the ball high
B) Bounce the ball low to the ground
C) Use both hands to dribble
D) Close their eyes while dribbling",B
"Which of the following is NOT a dribbling technique used to make a player difficult to defend?
A) Dribbling with both hands simultaneously
B) Dribbling behind their back
C) Changing the speed of the dribble
D) Dribbling between their legs",A
"Who among the following is generally considered one of the best ball handlers in the NBA?
A) Stephen Curry
B) Shaquille O'Neal
C) Charles Barkley
D) Tim Duncan",A
"What was the NABC founded in 1927 to oppose?
A) The three-point line
B) The elimination of dribbling
C) The shot clock
D) Slam dunks",B
"What is the term used when a player holds the ball too much toward its underside during the act of dribbling?
A) Traveling
B) Palming
C) Charging
D) Blocking",B
"What happens if a player tries to dribble with both hands at the same time?
A) The play continues
B) A timeout is called
C) A foul is awarded
D) The ball is turned over to the other team",D
