Question,Answer
"What aspect of fighting is primarily removed in the ""Irish stand down"" compared to other forms of boxing?
A) The use of gloves
B) Maneuvering around the ring
C) The element of kicking
D) The inclusion of grappling techniques",B
"The ""Irish stand down"" was popular in which community during the late 19th century?
A) Irish-American ghettos
B) British aristocracy
C) French military
D) Spanish colonies",A
"What is another name for the ""Irish stand down""?
A) Marquess of Queensberry
B) Strap fighting
C) Gloveless Gauntlet
D) Celtic Clash",B
"The book ""The Outsiders – Exposing the Secretive World of Ireland's Travellers"" by Eamon Dillon focuses on which chapters to discuss the world of Irish Travellers?
A) Chapters 1 and 2
B) Chapters 3 and 4
C) Chapters 4 and 5
D) Chapters 6 and 7",C
"What is the primary method of scoring in the games described, if the ""goal"" is considered a secondary scoring method?
A) Scoring a three-pointer
B) Crossing the finish line
C) Hitting a marked scoring area
D) Achieving a knockout",C
"When a match ends with completion of the specified maximum number of rounds and the judges have awarded an equal number of points to both boxers, the match is declared a ________.
A) Knockout
B) Technical Knockout
C) Draw
D) Disqualification",C
"In the case of three judges, if one judge awards the fight to one fighter, another to the opposing fighter, and the third scores it a draw, this situation is known as a ________.
A) Split decision
B) Unanimous decision
C) Split draw
D) Majority decision",C
"What is the outcome if two of three judges score a match as a draw and the third does not?
A) The fighter with the third judge's favor wins
B) The match is declared a technical knockout
C) The match is declared a draw
D) The match is declared a disqualification",C
"In boxing, draws are considered to be ________.
A) Common
B) Impossible due to certain scoring systems
C) Relatively rare
D) The preferred outcome",C
"If a championship bout ends in a draw, what usually happens to the title?
A) The title is vacated
B) The challenger claims the title
C) The champion retains the title
D) A rematch is immediately scheduled",C
"When a boxing match reaches the end of the specified maximum number of rounds without a knockout or technical knockout, and the judges award an equal number of points to both fighters, the match is declared a _______.
A) Knockout
B) Technical knockout
C) Draw
D) Disqualification",C
"In the event of a split draw, where one judge awards the fight to one fighter, another judge to the opposing fighter, and the third scores it a draw, what is the outcome of the match?
A) The fighter with the most aggressive style wins
B) The match is declared a draw
C) The fighter with the most points wins
D) The match goes into a sudden death round",B
"How is a boxing match scored if two out of three judges score it a draw, and the third judge scores differently?
A) The fighter with the different score wins
B) The match is declared a knockout
C) The match is declared a draw
D) The match is extended by one round",C
"Draws in boxing are considered to be _______.
A) Impossible due to scoring systems
B) Common due to scoring systems
C) Relatively rare
D) The most frequent outcome",C
"If a championship boxing bout ends in a draw, what usually happens to the title?
A) The title is vacated
B) The title is awarded to the challenger
C) The champion retains the title
D) A rematch is immediately scheduled",C
"What occurs if there is a draw in a quarterfinal or semifinal match of a boxing tournament?
A) The higher-seeded boxer advances
B) A tiebreaker round is played
C) The match is replayed at a later date
D) Both boxers are eliminated",B
"According to DeGuardia's testimony, a boxer typically realizes they have become a journeyman after how many years in the profession?
A) 5 years
B) 10 years
C) 15 years
D) 20 years",B
"Some journeymen boxers see themselves in the sport solely as:
A) Talented athletes deserving of sponsorship
B) A body for better men to beat on
C) Future hall-of-famers
D) Coaches and mentors for younger fighters",B
"Compared to the 1920s, journeymen boxers in the 1990s fought:
A) More frequently and spent more time in the gym
B) Less frequently and spent less time in the gym
C) More frequently but spent less time in the gym
D) Less frequently but spent more time in the gym",D
"In the 1920s, journeymen boxers would typically fight:
A) Once a month
B) A couple of times per week
C) Once a year
D) Every day",B
"Fighters who prefer the short method are known for moving their head and body to the hollowed out word. In which directions do they typically move?
A) Front and back
B) Left and right
C) Up and down
D) In a circular motion",B
"Which of the following boxers is known for utilizing the short method, involving constant head and body movement and closer body shots?
A) Muhammad Ali
B) Joe Frazier
C) Floyd Mayweather
D) Oscar De La Hoya",B
"Most boxing trainers recommend that fighters begin their daily exercise routines with __________.
A) weightlifting
B) running
C) shadow boxing
D) sparring",C
"Shadow boxing helps fighters maintain their rhythm and provides an idea of what needs to be __________.
A) intensified
B) fixed
C) ignored
D) avoided",B
"Incorporating __________ into shadow boxing can help punches flow quicker.
A) dumbbells
B) resistance bands
C) gloves
D) wrist weights",A
"Looking in a __________ while shadow boxing helps fighters catch slight errors in their rhythm.
A) mirror
B) window
C) camera
D) reflection in water",A
"Fighters may choose to shadow box at home without the need to look directly at a __________.
A) coach
B) mirror
C) screen
D) opponent",B
"A boxing round during shadow boxing should last __________ minutes without stopping.
A) 2
B) 3
C) 4
D) 5",B
"It is important not to throw full punches all the time during shadow boxing to avoid __________.
A) boredom
B) injury
C) being predictable
D) draining out",D
"Shadowboxing is an exercise where a person throws punches at __________.
A) a punching bag
B) a sparring partner
C) the air
D) a boxing dummy",C
"The primary purpose of shadowboxing is to __________.
A) determine the winner of a match
B) prepare the muscles before engaging in stronger physical activity
C) intimidate the opponent
D) score points in a competition",B
"Who is widely credited for developing the shadowboxing technique?
A) Muhammad Ali
B) Howard Cosell
C) George Dixon
D) Mike Tyson",C
"In boxing, what is the primary purpose of executing a parry?
A) To knock out the opponent
B) To push the opponent's arm or leg away and counterattack
C) To win a point from the judges
D) To take a brief rest during the fight",B
"When is the appropriate moment to counterattack in boxing after performing a parry?
A) Before pushing the attacker's arm or leg away
B) Immediately after a knockout
C) When the procedure of parrying is done
D) After the round ends",C
"Who was responsible for popularizing the use of gloves in boxing?
A) Jack Dempsey
B) John L. Sullivan
C) James Figg
D) Jack Broughton",D
"Up until the mid-19th century, which of the following techniques were allowed in boxing besides punching?
A) Wrestling and kicking
B) Elbowing and headbutting
C) Choking and eye-gouging
D) Biting and hair-pulling",A
"The Broughton Rules, which were the first set of rules in the sport of boxing, were codified in what year?
A) 1725
B) 1743
C) 1838
D) 1850",B
"Who was responsible for writing and codifying the first set of rules in boxing known as the Broughton Rules?
A) Muhammad Ali
B) Jack Dempsey
C) Jack Broughton
D) James Figg",C
"The Broughton Rules were eventually replaced by which subsequent set of rules?
A) Marquess of Queensberry Rules
B) London Prize Ring Rules
C) New York State Athletic Commission Rules
D) International Boxing Federation Rules",B
"The London Prize Ring Rules that succeeded the Broughton rules were written in which year by the British Pugilists’ Protective Association?
A) 1743
B) 1838
C) 1853
D) 1867",B
"According to Jack Broughton's rules, what must be drawn in the middle of the combat place?
A) A two-yard circle
B) A one-yard square
C) A three-foot triangle
D) A four-foot rectangle",B
"How long does a ""second"" have to take his principal to the square after being knocked down?
A) Twenty seconds
B) Thirty seconds
C) Forty-five seconds
D) One minute",B
"Who is allowed to enter the ring during the main matches?
A) Spectators
B) The referee
C) Only the contestants and their ""seconds""
D) Any person who wishes to intervene",C
"What is the consequence if a contestant's ""second"" does not bring him to the square within the allotted time after a fall?
A) The contestant receives a warning
B) The contestant is given another chance
C) The contestant is considered beaten
D) The round is restarted",C
"What are the ""seconds"" not allowed to do according to the rules?
A) Enter the ring
B) Ask questions of their ward's adversary
C) Advise their principal
D) Both B and C",D
"How is the money collected at the end of the fight distributed?
A) Equally among both contestants
B) The winner takes all
C) The winner receives two-thirds
D) It is donated to charity",C
