Question,Answer
"How is a green card used in canoe polo?
A) To indicate a false start
B) To award a point to the team
C) As an official warning for unsporting behavior or unnecessary verbal communication
D) To signal the end of the match",C
"In canoe polo, a green card can be awarded to whom?
A) Only the team captain
B) An individual player or a whole team
C) The highest scoring player
D) Spectators for misconduct",B
"In canoe polo, what does a red card signify?
A) A player has scored a goal
B) A player has been warned but can continue playing
C) A player has been sent off for the remainder of the match and cannot be substituted
D) A team has called for a timeout",C
"Under which circumstance can a red card be awarded in canoe polo?
A) For a well-executed defensive strategy
B) If a personal attack on a player occurs
C) When a player performs an exceptional paddle skill
D) If a player scores from their own half",B
"What happens if a canoe polo player receives a second yellow card?
A) The player receives a warning and continues playing
B) The player is awarded 'Player of the Match'
C) The player is given a red card
D) The match is immediately suspended",C
"In canoe polo, what can a green card be awarded for?
A) Exceptional teamwork
B) Deliberate unsporting behavior
C) Scoring a goal
D) Paddling out of bounds",B
"In canoe polo, to whom can a green card be applied?
A) Only to the team's coach
B) To an individual player or the whole team
C) To the highest-scoring player
D) To the audience for interference",B
"In canoe polo, what does a red card signify?
A) A player has scored a goal
B) A player has been warned but can continue playing
C) A player has been sent off for the remainder of the match and cannot be substituted
D) The team has called for a timeout",C
"A red card can be awarded in canoe polo for which of the following reasons?
A) Scoring an own goal
B) A personal attack on a player
C) Excellent sportsmanship
D) Winning the match",B
"In canoe polo, can a green card be applied to a whole team?
A) Yes, for collective unsporting behavior
B) No, it only applies to individual players
C) Yes, but only for scoring techniques
D) No, it indicates a goal has been scored",A
"In canoe polo, what does a red card signify for the player who receives it?
A) The player is warned but can continue playing
B) The player is sent off for the remainder of the match and cannot be substituted
C) The player receives a two-minute penalty
D) The player is given a time-out to reflect on their behavior",B
"What is the consequence for a canoe polo player who receives a second yellow card?
A) They are given a warning
B) They receive a five-minute penalty
C) They are awarded a red card
D) They become the team captain",C
"Which skills are emphasized in canoe polo?
A) Paddling and ball handling
B) Running and jumping
C) Diving and swimming
D) Cycling and shooting",A
"In canoe polo, what does a red card signify?
A) A warning to the player
B) A player has been sent off for the remainder of the match
C) A temporary suspension for the player
D) A goal scored by the player",B
"Which of the following is NOT a reason for a player to receive a red card in canoe polo?
A) Disputing the award of a yellow card
B) Scoring three goals in a row
C) Personal attack on another player
D) Repeated foul or abusive language",B
"If a player in canoe polo receives a second yellow card, what is the consequence?
A) The player receives a warning
B) The player is awarded a penalty throw
C) The player is given a red card
D) The match is paused for a discussion",C
"What is the propulsion method for canoes in canoe slalom?
A) Single-bladed paddles
B) Double-bladed paddles
C) Triple-bladed paddles
D) Hand paddling",A
"What construction technique is used to increase the stiffness of slalom boats?
A) Metal framing
B) Wood bracing
C) Foam sandwich construction
D) Inflatable compartments",C
"What was the minimum length of slalom boats before it was reduced in 2005?
A) 3.5 meters
B) 3.75 meters
C) 4 meters
D) 4.5 meters",C
"Which of the following Olympic venues for slalom canoeing was not a manmade concrete channel?
A) Augsburg, West Germany
B) Shunyi, Beijing, China
C) Ocoee River, United States
D) Vaires-sur-Marne, Paris, France",C
"As of the latest Olympics, how many artificial courses are typically available for countries that field Olympic slalom teams?
A) At least one
B) More than one
C) Exactly two
D) None",B
"In Canoe Slalom, what is the main objective for competitors navigating through the course?
A) To perform tricks with the canoe or kayak
B) To navigate a canoe or kayak through gates without touching them in the fastest time
C) To paddle downstream only
D) To fish while navigating through the course",B
"What is the minimum weight for a C1 boat as of 2017?
A) 8 kg
B) 9 kg
C) 10 kg
D) 15 kg",B
"What is the minimum weight for a K1 boat as of 2017?
A) 7 kg
B) 8 kg
C) 9 kg
D) 10 kg",C
"What is the minimum width for all types of C2 boats?
A) 0.60 m
B) 0.65 m
C) 0.70 m
D) 0.75 m",D
"What is the minimum width for all types of K1 boats?
A) 0.55 m
B) 0.60 m
C) 0.65 m
D) 0.70 m",B
"What is the minimum weight for a C2 boat as of 2017?
A) 10 kg
B) 12 kg
C) 15 kg
D) 18 kg",C
