Question,Answer
"Which of the following is NOT a feature of a pump track?
A) Rollers
B) Banked turns
C) Steep downhill sections
D) Features designed to be ridden by pumping",C
"Where was the first new era pump track in the United States located?
A) The Fix Bike Shop in Boulder, Colorado
B) Rampart Skatepark in Denver, Colorado
C) Burnside Skatepark in Portland, Oregon
D) Skater's Point in Santa Barbara, California",A
"What is the first step in performing an Endo?
A) Apply the rear brakes sharply
B) Apply the front brakes sharply
C) Jump onto the curb with the rear wheel
D) Perform a tailwhip",B
"Compared to competition frames, street riding biased 24 and 26"" frames tend to have:
A) Higher BB's
B) Lower BB's
C) No BB's
D) Adjustable BB's",B
"What is the most common form of dirt jump, characterized by two separate earthworks?
A) Tabletops
B) Ski Jumps
C) Double
D) Rollers",C
"What are ""Step-Ups"" in the context of cycle sport?
A) Jumps with a down ramp lower than the up ramp, gaining speed
B) Jumps with a down ramp higher than the up ramp, losing speed
C) A series of small rounded ramps
D) A single earthwork with a flat 'table' on the top",B
"What is a ""Hip Jump"" in cycle sport?
A) A jump with a flat 'table' on the top
B) A jump with the landing 45 - 90 degrees left or right of the ramp
C) A jump consisting of a takeoff and a landing with no gap
D) A series of small tabletops that increase speed",B
"Trails are paths that lead to jumps made of heavily compacted dirt, referred to as _______, such as a four pack, a six pack, or an eight pack.
A) lines
B) sets
C) packs
D) groups",C
"What is a ""Cash roll"" trick similar to?
A) A 360-degree turn combined with a tailwhip.
B) A 360-degree backflip with an additional 180-degree rotation.
C) A backflip combined with a 180-degree turn.
D) A forward flip combined with a handlebar spin.",B
"What type of jump is favored by new riders because it allows for an easy ride out even when coming up short?
A) Double
B) Tabletops
C) Ski Jumps
D) Step ups",B
"In cycle sport, what is a ""Spine""?
A) A curved embankment used on sharp turns
B) A jump with the landing 45 - 90 degrees left or right of the ramp
C) A steep dirt jump with a take-off and a landing, but no table or gap
D) A takeoff, unused earthwork, and a landing",C
"What are ""Triple Jumps"" composed of?
A) A takeoff, a 'table' and a landing
B) A takeoff, unused earthwork, and a landing
C) Three separate earthworks with gaps in between
D) A series of three or more small rounded ramps",B
"What is the primary difference between acrobatic flips and freestyle BMX flips?
A) Acrobatic flips require a bicycle
B) Freestyle BMX flips involve a bicycle
C) Acrobatic flips cannot be performed in the air
D) Freestyle BMX flips cannot be started from a stationary position",B
"In a Cherry Picker, where does the rider place their foot on the bike?
A) On the front tire
B) On the rear tire behind the bottom bracket
C) On the pedals
D) On the handlebars",B
"What maneuver is used to swing the frame 360 degrees around in a Footjam Tailwhip?
A) Use of the rear brake
B) A kickflip
C) Use of the front brake
D) A handstand",C
"What is the position of the rider's body in relation to the bike during a Backpacker trick?
A) Behind the bike
B) In front of the bike
C) To the side of the bike
D) Above the bike",A
"What was the original setting where the ""bunnyhop tailwhip"" was first landed and subsequently named a ""whopper""?
A) In a skate park
B) At a cycling competition
C) In a Burger King parking lot
D) On a city street",C
"The trick invented by Terry Adams after Hurricane Katrina is called:
A) The Tornado
B) The Cyclone
C) The Tsunami
D) The Katrina",D
"In flatland tricks, what term is used to describe a sequence of tricks performed in succession?
A) Stunt
B) Combo
C) Chain
D) Series",B
"The naming of a flatland trick may be modified to indicate its execution style. Which of the following is NOT a term used for such a modification?
A) Rolled
B) Scuffed
C) G-turned
D) Fly-kicked",D
"What strategy did BMX companies use to promote their products at racing events?
A) Offering free lessons
B) Setting up mini shows in parking lots
C) Organizing large-scale competitions
D) Creating online marketing campaigns",B
"After the late 1980s, how did the perception of flatland change among the American public?
A) It became more associated with professional sports.
B) It was seen as an activity for the wealthy.
C) It gained popularity as a pass-time among poorer to mid-class Americans.
D) It was completely forgotten by the media and the public.",C
"How has flatland riding evolved in terms of performing tricks?
A) Riders now perform one trick at a time
B) Riders perform several tricks in a row without stopping
C) Riders only use the front wheel for tricks
D) Riders have eliminated the use of pegs",B
"What is NOT a focus for riders who prefer not to compete in contests?
A) Artistic nature of flatland
B) Originality of tricks
C) Competitive side of the discipline
D) Enjoyment of the activity",C
"Which series contest was the biggest pro/am flatland/quarter pipe event of its time?
A) X Games series
B) Masters series
C) BMX Masters series
D) Elevation Flatland series",B
"What type of protective gear did riders once wear during the early days of flatland?
A) Knee pads only
B) Full protective gear and full face helmets
C) No protective gear
D) Only gloves",B
"Which event is known for taking flatland to the masses through creative, independently organized events in Europe?
A) X Games
B) BMX Masters
C) Red Bull Circle Balance
D) Circle Cow",D
"Small ""jams"" like the Athens Jam and Hollywood Jams contribute to keeping flatland ""alive"" and thriving in which country?
A) Greece
B) United States
C) United Kingdom
D) France",B
"Flatland bikes typically have a shorter wheelbase to ________.
A) increase stability on ramps
B) make the bike spin or position on one wheel with less effort
C) enhance the ability to perform high jumps
D) improve speed during races",B
"The decreased stability of flatland bikes on ramps, dirt, and street is due to their ________.
A) longer wheelbase
B) use of four pegs
C) shorter wheelbase
D) heavier frame",C
"To make it easier to do barspins without having to untangle the bars, trails riders usually run a _______.
A) rotor (gyro)
B) coaster brake
C) dual brake system
D) brakeless setup",A
"The majority of professional street riders prefer to focus on:
A) Competing in a large number of competitions
B) Creating content for DVDs and YouTube videos
C) Participating in corporate sponsorships
D) Designing BMX bikes",B
"According to the text, what is not considered 'core' street riding by many riders?
A) Making videos for sponsors
B) Participating in street BMX competitions
C) Focusing on competition courses
D) Seeking corporate sponsorships",D
"In BMX flatland, what is the trick called where the rider balances on the front tire by using the front brake or a curb to lift the back wheel?
A) Wheelie
B) Endo
C) Pogo
D) Manual",B
"Which of the following tricks involves the rider standing on the wheel pegs and hopping with the other wheel in the air?
A) Bunny hop
B) Front or Back Pogos
C) Nose manual
D) Miami Hop",B
"What advanced basic trick was created in the 80's and involves swinging the bike to a vertical position on its rear wheel?
A) Time machine
B) Pogo
C) Indian giver
D) Steamroller",B
"The Miami Hop trick is a combination of which two other tricks?
A) Endo and Pogo
B) Wheelie and Manual
C) Bunny hop and Nose manual
D) Footjam and Hang-5",A
"What is a rider doing when they perform a grip ride?
A) Holding the handlebars with their feet
B) Standing on the handlebars
C) Riding with one hand on the bars
D) Balancing on the bike's grips",B
"In a dork manual, where does the rider place one foot?
A) On the front peg
B) On the back peg
C) In the air
D) On the pedal",B
"What is the name of the trick where the rider puts one foot on the front peg and spins the handlebars around to lift the bike into a fakie manual?
A) Fork manual
B) Footjam tailwhip
C) Hang-5
D) Steamroller",A
"During a footjam tailwhip, what does the rider do after the tail of the bike goes 360 degrees?
A) Puts his/her foot back on the pedals
B) Jumps off the bike
C) Performs a bunny hop
D) Starts a manual",A
"What trick involves the rider jamming his foot between the forks and tire to stop the bike and balance with the back tire airborne?
A) Footjam
B) Endo
C) Bunny hop
D) Pogo",A
"In a hang-5, what is the rider's position?
A) Both feet on the back pegs
B) One foot on the front axle peg
C) Both hands on the handlebars
D) Sitting on the seat",B
"What does the steamroller trick entail?
A) Spinning the handlebars while in a manual
B) Jumping the bike into the air from flat ground
C) Standing on one front peg and moving the bike to the front
D) Riding the bike on only the back wheel",C
"What is the time machine trick known for?
A) Its simplicity and ease of execution
B) The rider's ability to turn at extremely high speed
C) The use of the front brake to balance
D) The rider jumping the bike into the air",B
"What does an Indian giver refer to in BMX flatland?
A) A trick involving giving away the bike
B) A rider fakie/rollout in the opposite direction of their spin
C) A rider who performs a trick then takes it back
D) A specific type of bike used in flatland",B
"What is the primary difference between a ""Tabletop"" and an ""Invert"" trick in freestyle dirt BMX?
A) Tabletop requires the rider to spin 360 degrees, while Invert does not.
B) Invert involves extending both feet outwards, while Tabletop does not.
C) Tabletop involves turning the handlebars, while Invert does not.
D) Invert is performed on a quarter pipe, while Tabletop is not.",C
"Which trick involves the rider spinning the handlebars one full rotation while keeping one hand on the bars?
A) Barspin
B) Bus Driver
C) Jeep Driver
D) Suicide Barspin",B
"The ""540°"" trick in freestyle dirt BMX involves the rider doing what?
A) Spinning the bike 540 degrees while doing a barspin.
B) Performing a 540-degree rotation with the bike and landing in reverse.
C) Picking up the bike and spinning it 540 degrees.
D) Spinning 540 degrees in the air and then performing a tailwhip.",C
"In a ""Toboggan"" trick, what does the rider do?
A) The rider performs a backflip while grabbing the seat.
B) The rider takes one hand off the bars, grabs their seat, and returns their hand before landing.
C) The rider grabs both pedals with their hands while in the air.
D) The rider jumps off the bike and then remounts it in mid-air.",B
"The primary reason flatlanders often ride only on flatland is due to __________.
A) the increased stability of a shorter bike
B) the decreased stability of a shorter bike on ramps and dirt courses
C) the preference for smooth surfaces
D) the ease of performing tricks",B
"Which of the following is NOT a common option found on flatland bikes?
A) Four pegs
B) Front brake
C) Rear brake
D) Suspension systems",D
"What trick was Devin Bank documented doing in 1974?
A) Tailwhip
B) 360 degree freestyle spinning
C) Bunny hop
D) Manual",B
"What was Bob Haro's role at BMX Action Magazine in the fall of 1977?
A) Editor-in-chief
B) Staff artist
C) Freestyle correspondent
D) Photographer",B
