Question,Answer
"In order to remain airborne while in the split position, what is needed to propel the body upward?
A) Flexibility
B) Kinetic energy
C) Gravity
D) Momentum",B
"When the thrust is completed and the rotation of the legs with respect to the trunk is terminated, what kind of momentum is transferred to the entire body?
A) Linear momentum
B) Angular momentum
C) Centripetal momentum
D) Kinetic momentum",B
"In a diving move, how should the legs be positioned during the jump?
A) Bent at the knees
B) Straight and extended
C) Crossed at the ankles
D) Relaxed and slightly bent",B
"What is the primary motion involved in performing a gainer?
A) A forward somersault while moving backward
B) A backward somersault while moving forward
C) A sideways somersault while moving upward
D) A forward somersault while moving downward",B
"In diving, what is the gainer's motion known as?
A) Front rotation
B) Back rotation
C) Inward rotation
D) Reverse rotation",D
"What is a half gainer characterized by?
A) Ending with the feet downward
B) Ending with the head downward
C) Starting with a handstand
D) Starting with a cartwheel",B
"Which skill is NOT mentioned as one that utilizes the 'gainer'?
A) Parkour
B) Diving
C) Cliff jumping
D) Ice skating",D
"What is the primary effect of tucking the legs during a tucked aerial?
A) Slower rotation
B) Faster rotation
C) No change in rotation
D) Decreased height",B
"In competitive platform diving, what is the term used for dives that begin with a handstand?
A) Flip dives
B) Armstand dives
C) Handstand leaps
D) Dive rolls",B
"In a Knight position, where are the legs positioned?
A) Flat on the surface
B) Bent at the knees
C) Perpendicular to the body
D) One leg vertical, one leg horizontal",A
"What is the sequence of positions to achieve a Tower?
A) Front Layout, Pike, Crane, Vertical
B) Back Layout, Tuck, Split, Knight
C) Front Layout, Split, Crane, Tub
D) Back Layout, Pike, Ballet Leg, Vertical",A
"The FINA requirement for international competitors is to be registered with their ______.
A) Local Diving Club
B) National Governing Body
C) School's Swim Team
D) Specialized Diving Committee",B
"In the United States, pre-college divers can be sanctioned by either _______ or AAU Diving for learning one and three meter or platform diving.
A) FINA
B) NCAA
C) USA Diving
D) US Masters Diving",C
"The entry level or novice diver category in USA Diving is known as _______.
A) Junior Olympic
B) Future Champions
C) Elite Divers
D) National Contenders",B
"Which organization is responsible for selecting team representatives for international diving competitions, including the World Championships and Olympic Games?
A) NCAA
B) AAU Diving
C) USA Diving
D) US Masters Diving",C
"AAU Diving sanctions how many national events per year?
A) Two
B) Three
C) One
D) Four",C
"What is considered in the scoring of a dive?
A) The color of the diving suit
B) The approach, the flight, and the entry
C) The music played during the dive
D) The time of day the dive is performed",B
"If a hand-stand is required in a dive, what is a primary factor for scoring?
A) The costume design
B) The length of time and quality of the hold
C) The speed of the dive
D) The diver's facial expressions",B
"What is the ideal distance a diver should maintain from the diving apparatus throughout the dive?
A) 5 feet
B) 2 feet
C) 10 feet
D) 1 foot",B
"What body position should a diver maintain according to the dive being performed?
A) Relaxed posture
B) Pointed toes and feet touching at all times
C) Arms crossed
D) Head tilted upwards",B
"How are scores adjusted in a seven-judge panel?
A) The highest and lowest scores are discarded
B) All scores are averaged
C) The two highest and two lowest scores are discarded
D) The middle score is used",C
"What is the main purpose of canceling scores in diving judging?
A) To increase the complexity of scoring
B) To allow for comparison to five-judge panels
C) To make it difficult for a single judge to manipulate scores
D) To reduce the number of scores to be calculated",C
"In serious diving meets, what type of score is more important for winning?
A) The absolute score
B) The relative score
C) The individual score
D) The preliminary score",B
"How many judges are there in synchronised diving events?
A) Five
B) Seven, nine, or eleven
C) Six
D) Ten",B
"How are synchronisation scores weighted since the 2012 London Olympics?
A) By 2/5
B) By 1/2
C) By 3/5
D) They are not weighted",C
"What aspect of a dive is NOT judged for synchronisation scores?
A) Time of take-off
B) Color coordination
C) Synchronisation of rotations and twists
D) Time of entry to the water",B
"What results in a higher score concerning the amount of splash created by a diver on entry?
A) More splash
B) Less splash
C) The color of the splash
D) The shape of the splash",B
"How is the score computed in synchronised diving events?
A) By adding all judges' scores
B) By multiplying by the number of judges
C) By summing the middle scores and multiplying by the DD
D) By taking the average of all scores",C
"What is NOT a factor affecting the scoring of a dive?
A) The diver's popularity
B) The height of the diver at the apex of the dive
C) The angle of entry
D) The proper amounts of rotation and revolution",A
"How should a diver enter the water to achieve a higher score?
A) With any angle
B) Straight, without any angle
C) With a backward angle
D) With a side angle",B
"What is the role of the highest and lowest scores in a five-judge panel?
A) They are the only scores considered
B) They are summed and multiplied by the DD
C) They are discarded
D) They are averaged with the middle scores",C
"What is the ideal body position for a diver's feet during a dive?
A) Flexed and separated
B) Pointed and touching
C) Relaxed and apart
D) Bent at the ankles",B
"Diving is a sport where athletes jump or fall into water from a ________.
A) stationary boat
B) moving vehicle
C) platform or springboard
D) cliff edge",C
"Dmitri Sautin, known for his success in Olympic diving, won how many medals in total between 1992 and 2008?
A) Six
B) Seven
C) Eight
D) Nine",C
"What is the minimum depth specified by the NSPI for diving pools that was deemed insufficient in a notable 1993 incident?
A) 5 ft
B) 6 ft
C) 7 ft 6 in
D) 8 ft",C
"What regulatory steps does FINA take to protect athletes in competitive diving?
A) Provide personal insurance
B) Impose restrictions on dive types
C) Impose age-based height restrictions for platforms
D) Require a lifeguard on duty",C
"What is the FINA recommended minimum depth for a 10 m platform in competition pools?
A) 3 m
B) 4 m
C) 5 m
D) 5.85 m",C
"Which group of divers has only recently been allowed to compete on the tower?
A) Group A
B) Group B
C) Group C
D) Group D",D
"What is the main reason Group D divers were previously restricted to springboard competition?
A) Lack of skill
B) To discourage them from the greater risks of tower diving
C) Insufficient training facilities
D) Age restrictions",B
"How deep is the diving pool at Ponds Forge International Sports Centre, the deepest in Europe?
A) 4 m
B) 5 m
C) 5.85 m
D) 6 m",C
"What is the outcome of hitting the water flat from 10 m?
A) The diver will sink to the bottom
B) The diver will experience a smooth entry
C) The diver will come to rest in about 30 cm of water
D) The diver will glide to a stop at about 5 m",C
"What is the consequence of diving from a 10 m platform and maintaining a downward streamlined position?
A) The diver will reach the bottom of the pool
B) The diver will glide to a stop at about 4.5–5 m
C) The diver will come to rest immediately upon entering the water
D) The diver will rise back to the surface quickly",B
"What was the outcome of the lawsuit following the 1993 incident involving Shawn Meneely?
A) The case was dismissed
B) A settlement of US$6.6 million was awarded
C) The diving board manufacturer was found not liable
D) The NSPI's standards were upheld",B
"What is the recommended minimum depth for a 5 m platform or 3 m springboard according to FINA?
A) 2 m
B) 3 m
C) 4 m
D) 5 m",C
"What is the consequence of not accounting for rocks and logs in the water when diving?
A) Improved diving technique
B) Increased risk of accidents
C) More thrilling dive experiences
D) No significant effect",B
"What type of injuries can result from hitting the water flat from a 10 m height?
A) Temporary paralysis
B) Severe bruising and possible minor hemorrhage
C) Immediate unconsciousness
D) Broken bones",B
"Why are some pools deeper than the FINA recommended minimum depths?
A) For aesthetic reasons
B) To accommodate synchronized swimming
C) For safety and competition standards
D) Due to a miscalculation during construction",C
"What phenomenon did the introduction of Group D tower diving aim to counteract?
A) The lack of interest in diving sports
B) Coaches pushing young divers to compete in higher age categories
C) The shortage of diving facilities
D) The high cost of diving equipment",B
"In platform events, what is the maximum height from which divers perform?
A) Five meters
B) Seven meters
C) Nine meters
D) Ten meters",D
"What is NOT a criterion for judging a dive in competitive diving?
A) The amount of splash created upon entry
B) The conformance of the diver's body to the dive requirements
C) The color of the diver's swimsuit
D) How well the diver completed all aspects of the dive",C
"How is the score for a dive in competitive diving calculated?
A) Multiplying the raw score by the degree of difficulty
B) Adding the scores from each judge
C) The highest individual judge's score
D) The average score of all dives",A
"In major diving meets, from what height is platform diving performed?
A) 5 meters
B) 7 meters
C) 9 meters
D) 10 meters",D
"How many points out of ten can be awarded for the takeoff in a dive?
A) One
B) Two
C) Three
D) Four",C
"What factor influences the degree of difficulty in a dive?
A) The diver's experience level
B) The height of the platform
C) The number and combination of movements attempted
D) The type of swimsuit worn",C
"Who is declared the winner in a diving competition?
A) The diver with the most artistic performance
B) The diver with the highest total score after a sequence of dives
C) The diver with the least amount of splash
D) The diver with the most complicated dive routine",B
"According to the rules, twisting in a dive must not be generated manifestly on ________.
A) landing
B) the bottom of the pool
C) take-off
D) mid-air",C
"For twisting rotation to occur, the diver must tilt the body sideways after ________.
A) entering the water
B) takeoff
C) the somersault
D) the twist",B
"The tilting of the diver's body is initiated by ________.
A) bending the knees
B) moving the head
C) outstretching the arms
D) twisting the hips",C
"The total angular momentum vector as the diver leaves the board is ________.
A) vertical
B) diagonal
C) horizontal
D) circular",C
"In diving, what does a ""straight"" position entail?
A) A tight ball with hands holding the shins
B) A tight bend at the hips with knees straight
C) No bend at the knees or hips
D) A combination of other positions with twisting",C
"Which dive position is considered the hardest of the four?
A) Tuck
B) Pike
C) Free
D) Straight",D
"What is the characteristic of a ""pike"" dive position?
A) Knees straight with a tight bend at the hips
B) Body folded up in a tight ball
C) No bend at the knees or hips
D) A twisting dive with a combination of positions",A
