Question,Answer
"What is the maximum length allowed for a metal tip on the apparatus?
A) 1 cm
B) 2 cm
C) 3 cm
D) 4 cm",C
"The épée is a thrusting weapon, which makes it similar to which of the following?
A) Foil
B) Mace
C) Axe
D) Bow",A
"What is the name of the V-shaped groove found on the épée's blade?
A) Fuller
B) Ricasso
C) Tang
D) Quillon",A
"The épée's bell guard is larger than those of foil and sabre. What is its primary purpose?
A) To protect the user's leg
B) To protect the user's arm
C) To balance the weapon
D) To catch the opponent's blade",B
"In épée fencing, what makes the technique of use differ from foil and sabre?
A) The use of slashing attacks
B) The rules regarding priority and right of way do not apply
C) The target area is limited to the upper body
D) The requirement of wearing a mask with a black mesh",B
"The French word ""épée"" is derived from which Latin word?
A) Gladius
B) Spatha
C) Pugio
D) Scutum",B
"In what century did the small sword become the most commonly used dueling sword?
A) 15th century
B) 16th century
C) 17th century
D) 18th century",C
"The épée evolved from which type of civilian weapons?
A) Heavy military swords
B) Light civilian weapons
C) Farming tools
D) Hunting weapons",B
"Duels in the 19th century were fought until what condition was met?
A) To the death
B) Until ""first blood"" only
C) Until one opponent surrendered
D) Until a judge called a halt",B
"What was the primary target area in duels that were fought until ""first blood""?
A) The leg
B) The torso
C) The wrist or other exposed area
D) The head",C
"What type of guard did rapiers have that became more common in the 19th century?
A) Half-cup guards
B) Full-cup guards
C) No guards
D) Shell guards",B
"In modern fencing, which weapon is unique in that the entire body is a valid target area?
A) Foil
B) Épée
C) Sabre
D) None of the above",B
"What is the heaviest weapon used in modern fencing?
A) Foil
B) Épée
C) Sabre
D) All are of equal weight",B
"In épée fencing, what is used to prevent floor hits from registering as touches?
A) A padded jacket
B) An electrically grounded piste
C) A special type of glove
D) A wireless scoring system",B
"What is NOT a feature of épée fencing compared to foil and sabre?
A) The entire body is a valid target area
B) Right-of-way rules apply
C) Double-touches are allowed
D) Touches are awarded based on who touches first",B
"How close in time must double-touches occur in épée fencing to both be awarded?
A) Within 20 milliseconds
B) Within 40 milliseconds
C) Within 50 milliseconds
D) Within 100 milliseconds",B
"What are the two varieties of counterattacks specified in épée fencing?
A) Beat attack and parry-riposte
B) Stop-thrust and time thrust
C) Fleche and lunge
D) Disengage and coupe",B
"What is a time thrust in épée fencing?
A) A simple counterattack
B) A counterattack on the opposition
C) An attack made from a distance
D) A feint attack followed by a real one",B
"Why is a counterattack a common tactic in épée fencing?
A) Because it is the easiest move to perform
B) Because of the right-of-way rules
C) Because it can be a highly efficient way to score a touch
D) Because it is the only allowed defensive move",C
"In épée fencing, what is not necessarily an offense unless done with ""brutality or violence""?
A) Hitting below the waist
B) Corps-à-corps contact
C) Using a point d'arrêt
D) Scoring with the side of the blade",B
"How were touches indicated in a later evolution of épée fencing before electric weapons?
A) Using a bell
B) With a dye that marked the white uniform
C) Through a system of flags
D) By the sound of the weapon's impact",B
