Question,Answer
"Why might left-footed players be preferred on the left flank?
A) For better defense
B) For crossing purposes
C) For goalkeeping
D) For making runs",B
"Which type of shot is characterized by wrapping the kicking leg behind the standing leg?
A) Chip shot
B) Volley
C) Bicycle kick
D) Rabona",D
"Who invented the Panenka penalty?
A) Cristiano Ronaldo
B) Antonín Panenka
C) Lionel Messi
D) Andrea Pirlo",B
"What was the outcome regarding injuries during the oldest recorded match in Sheffield?
A) No injuries were reported
B) There were some injuries, but no fatalities
C) Several players were seriously injured
D) One player was killed",B
"Who was the right-back that played as a sweeper under both Rocco and Foni?
A) Gino Armano
B) Ivano Blason
C) Nereo Rocco
D) Alfredo Foni",B
"What was the main reason Àngel Rangel was not eligible to represent Wales?
A) Lack of blood connections
B) Not receiving five years of education in Wales
C) Not living in Wales for most of his life
D) Due to the agreement",D
"Who was the manager of Northern Ireland that attempted to call up players with no links to a UK nation?
A) Sammy McIlroy
B) Lawrie McMenemy
C) David Taylor
D) Berti Vogts",B
"Who was the original initiator of the Flo pass in the Norway national team?
A) Pål Lydersen
B) Gøran Sørloth
C) Stig Inge Bjørnebye
D) Egil ""Drillo"" Olsen",C
"The monument to the bicycle kick executed by Ramón Unzaga in Talcahuano, Chile, was erected in _______.
A) 2010
B) 2012
C) 2014
D) 2016",C
"The controversial origin of the bicycle kick was rekindled by FIFA asking if the maneuver was a ""chalaca"" or a ""chilena,"" referring to the dispute between _______.
A) Brazilians and Argentinians
B) Peruvians and Chileans
C) Spaniards and Portuguese
D) Italians and French",B
"The bicycle kick has been featured in all of the following EXCEPT:
A) Sculptures
B) Films
C) Advertisements
D) Cooking shows",D
"The tap penalty taken by Rik Coppens and André Piters occurred during a World Cup Qualifying match between ________.
A) Northern Ireland and Portugal
B) Belgium and Iceland
C) Arsenal and Manchester City
D) Ajax and an unnamed team",B
"What is ""Row Z"" commonly associated with?
A) The coach's area
B) The furthest spectator row
C) The goalkeeper's zone
D) The penalty area",B
"A ""tracksuit manager"" is known for what?
A) Wearing formal attire during matches
B) Working closely with players on training
C) Only managing the team during matches
D) Negotiating player transfers",B
"What is ""Row Z"" commonly used to describe?
A) A seating area for VIPs
B) The coach's bench
C) A forceful clearance
D) The goalkeeper's area",C
"Who was the libero in the highly successful Italian national team coached by Enzo Bearzot?
A) Fulvio Collovati
B) Claudio Gentile
C) Gaetano Scirea
D) Antonio Cabrini",C
"In Germany and Austria, what does the term ""lupenreiner Hattrick"" mean?
A) Scoring three goals in a row across two halves
B) Scoring three goals in a row in one half with interruptions
C) Scoring three goals in a row in one half without interruptions
D) Scoring three goals by the same method",C
"Which of the following scenarios would NOT qualify as a ""lupenreiner Hattrick""?
A) A player scores three goals consecutively in the first half.
B) A player scores three goals in a row, with one being after the half-time break.
C) A player scores three goals in a row, with no other player scoring in between.
D) A player scores three goals in one half, uninterrupted by the half-time break.",B
"What is the risk associated with a goalkeeper joining the attack during a set piece?
A) The goalkeeper might get injured
B) The opposing team may score into the empty net
C) The game might end in a draw
D) The attacking team might receive a red card",B
"How is the goal structure usually supported?
A) By a single vertical post
B) By two diagonal posts
C) By two vertical posts called goal posts
D) By a net hanging from the ceiling",C
"In association football, what is the required width of the goal structure?
A) 18 feet
B) 20 feet
C) 24 feet
D) 30 feet",C
"In the sports mentioned, what term is specifically used to describe the action of scoring by putting the ball through the goal post structure?
A) Touchdown
B) Home run
C) Goal
D) Basket",C
"Who else, besides the goalscorer, may be involved in the goal celebration?
A) The opposing team's manager
B) The goalscorer's teammates, manager or coaching staff, and/or supporters
C) The game officials
D) The spectators of the opposing team",B
"In sports where a goal is not the only way to score, how is the value of a goal typically determined?
A) It is worth a variable number of points depending on the player
B) It is worth a set number of points
C) It has no point value
D) It is worth more points as time progresses",B
"Goal difference is calculated by subtracting the number of goals ________ from the number of goals scored.
A) multiplied
B) divided
C) conceded
D) added",C
"What is the term used to describe the sum of the goal differences in a league table?
A) Variable sum
B) Fixed sum
C) Zero sum
D) Infinite sum",C
"Goal average is replaced by goal difference because it was thought to encourage more ________.
A) defensive play
B) neutral play
C) attacking play
D) passive play",C
"In Australia, goal average is referred to as ________.
A) quotient
B) percentage
C) ratio
D) index",B
"If the total points scored and goal differences are equal, what is often used as a further tiebreaker?
A) Goals conceded
B) Goals scored
C) Number of wins
D) Number of red cards",B
"The goal difference tiebreaker is zero sum, meaning a gain for one team is exactly balanced by a loss for ________.
A) the same team
B) their opponent
C) another team
D) no team",B
"After goals scored, what variety of other tiebreakers may be used?
A) Only head-to-head records
B) Only number of wins
C) Only number of yellow cards
D) A variety of other tiebreakers",D
"What was the minimum victory margin Kilmarnock needed against Hearts to win the league championship on goal average?
A) 1-0
B) 2-1
C) 2-0
D) 3-0",C
"If goal difference, instead of goal average, had been used to decide the championship, which team would have been the champions?
A) Hearts
B) Kilmarnock
C) The championship would have been a tie
D) The result would have been the same",A
"What was one of the reasons for replacing goal average with goal difference in scoring systems?
A) Goal average favored higher-scoring games
B) Goal difference favored higher-scoring games
C) Goal average encouraged lower-scoring games
D) Goal difference encouraged more aggressive play",C
"If a team scores 70 goals and concedes 40, what would be their goal average?
A) 1.750
B) 1.769
C) 1.707
D) 1.775",A
"How does goal difference affect teams with more goals conceded than scored?
A) It encourages more defensive play
B) It encourages more offensive play
C) It has no effect on the team's strategy
D) It encourages teams to focus on goalkeeping",A
"Under goal difference, what happens when a team that has conceded more goals than it has scored concedes an additional goal?
A) It decreases their goal average significantly
B) It decreases their goal average slightly
C) It has no effect on their goal difference
D) It increases their goal difference",C
"What would be the goal average of a team that scores 69 while conceding 39?
A) 1.750
B) 1.769
C) 1.707
D) 1.775",B
"During the 2016-17 League 2 season, which team had a higher goal difference?
A) Portsmouth
B) Plymouth Argyle
C) Both had the same goal difference
D) The goal difference is not mentioned",A
"How many goals against did Budućnost have at the end of the season before entering the play-offs?
A) 30
B) 36
C) 42
D) 35",B
"Which tie-breaker determined the 1986 Premier Division league championship?
A) Points accumulated
B) Goal average
C) Goal difference
D) Number of wins",C
"What would have been the consequence if the last game of the 1949–50 season between Sheffield Wednesday and Tottenham Hotspur had ended in a 1–1 draw?
A) Sheffield Wednesday would have won promotion by points
B) Sheffield United would have won promotion by goal difference
C) A unique play-off match would have been required
D) Promotion would have been decided by a coin toss",C
"In the 1981–82 Third Division season, what was the goal difference that separated Burnley and Carlisle United if both teams finished with 80 points?
A) 5
B) 6
C) 7
D) 8",B
"In the 1964–65 Football League Championship, which team won the title based on goal average?
A) Leeds United
B) Chelsea
C) Manchester United
D) None of the above",C
"Which team was awarded the championship in the 1996–97 Third Division due to the first tie breaker of most goals scored?
A) Wigan Athletic
B) Fulham
C) Brighton and Hove Albion
D) Hereford United",A
"How many goals did Red Star Belgrade score throughout the 1951 season which contributed to their goal average being higher than Dinamo Zagreb's?
A) 45 goals
B) 50 goals
C) 21 goals
D) 19 goals",B
"How many goals did Huddersfield Town score in the 1923–24 season to secure the championship?
A) 57 goals
B) 60 goals
C) 61 goals
D) 33 goals",B
