Question,Answer
"What is the core of a multi-piece club typically made of?
A) Plastic
B) Wood
C) Metal
D) Cloth",B
"Who pioneered the design of the multi-piece club with off the shelf components in the 1960s?
A) Brian Dube
B) Jay Green
C) John Smith
D) Richard Brown",B
"Dave Pelz, known for envisioning the lob wedge, had a background as a:
A) Golf course architect
B) Professional golfer
C) NASA physicist
D) Sports psychologist",C
"The lob wedge is particularly useful for shots that require:
A) Long carry distance and high rolling distance
B) Long carry distance and no rolling distance
C) Short carry distance and high rolling distance
D) Short carry distance and no rolling distance",D
"The first mass-produced lob wedge was introduced by:
A) Titleist
B) Callaway
C) Karsten Manufacturing
D) TaylorMade",C
"Which professional golfer was among the first to use the lob wedge, influencing others?
A) Jack Nicklaus
B) Arnold Palmer
C) Tom Kite
D) Gary Player",C
"Modern greens are designed to be more difficult to approach and may require a lob wedge because they are often:
A) Below the fairway level
B) Flatter and less challenging
C) Elevated and more undulating
D) Surrounded by wide-open spaces",C
"The typical bounce angle range for a lob wedge is:
A) 0–4°
B) 5–10°
C) 10–15°
D) 15–20°",A
"A lob wedge might be used instead of ""opening"" a sand wedge in which situation?
A) Long fairway shots
B) Driving off the tee
C) Playing from a sand trap adjacent to the green
D) Shots requiring a draw or fade",C
"The lob wedge was introduced into the PING iron sets as the ""L"" wedge in what year?
A) 1974
B) 1980
C) 1984
D) 1988",C
"The lob wedge can be effectively used for a shot from:
A) Under a tree
B) In the middle of the fairway
C) Off the tee on a par 5
D) In the water hazard",A
"The high backspin generated by a lob wedge results in:
A) Increased rolling distance after impact
B) Decreased rolling distance after impact
C) No change in rolling distance
D) Unpredictable rolling distance",B
"When might the long ""hang time"" of a lob wedge shot be disadvantageous?
A) In calm conditions
B) In high winds
C) On a downhill lie
D) When playing a draw",B
"A full swing with a lob wedge typically carries the ball how far?
A) 20–30 yards
B) 40–60 yards
C) 70–90 yards
D) 100–120 yards",B
"What is the primary reason for a golfer to choose a lob wedge for a tight approach to the green?
A) To maximize roll after landing
B) To minimize roll after landing
C) To increase the shot's draw
D) To decrease the shot's loft",B
"What is a common use for a lob wedge on the fairway?
A) To gain a more favorable lie
B) To hit over long distances
C) To replace the putter
D) To replace the driver",A
"The lob wedge is often used for chip shots from very close to the green to carry:
A) 5–20 yards
B) 10–40 yards
C) 50–70 yards
D) 80–100 yards",B
"The gap wedge was created to address a ""gap"" in loft and distance between which two clubs?
A) Pitching wedge and sand wedge
B) 7-iron and 8-iron
C) Driver and 3-wood
D) 9-iron and pitching wedge",A
"What is the typical range of carry distance for a full swing with a gap wedge?
A) 70-90 yards
B) 90-110 yards
C) 110-130 yards
D) 130-150 yards",B
"What is the common name for a wedge with 52° of loft and 8° of bounce?
A) 52-8 wedge
B) 48-6 wedge
C) 54-10 wedge
D) 50-7 wedge",A
"Which manufacturer calls their gap wedge an ""approach wedge""?
A) TaylorMade
B) Callaway
C) Cleveland
D) Karsten Manufacturing - PING",B
"A gap wedge is less standardized than other wedges due to its __________.
A) older design
B) traditional purpose
C) newer introduction
D) universal acceptance",C
"What is the typical bounce angle range many players use for a gap wedge?
A) 0° to 5°
B) 5° to 8°
C) 8° to 10°
D) 10° to 12°",B
"The term ""gap wedge"" is typically used to describe a wedge in what general loft range?
A) 45–48°
B) 50–54°
C) 54–58°
D) 48–52°",B
"The more bounce a gap wedge has, the better it performs on __________.
A) firm or tight lies
B) soft lies and tall grass
C) smooth and flat surfaces
D) hard and rocky terrains",B
"What is the effect of a gap wedge with less bounce?
A) Better performance in soft lies
B) Worse performance on firm lies
C) Improved accuracy in windy conditions
D) Increased difficulty in tall grass",B
"What was one of the reasons for the creation of the gap wedge?
A) The increase in golf ball sizes
B) The higher launch angles of modern irons
C) The introduction of hybrid clubs
D) The popularity of mini-golf",B
"Gap wedges can range from __________ loft.
A) 45–50°
B) 48–52°
C) 50–54°
D) 48–56°",D
