Question,Answer
"The roundoff move is similar to which other gymnastic technique?
A) Handstand
B) Cartwheel
C) Backflip
D) Split",B
"Which of the following sports also utilizes the roundoff technique?
A) Soccer
B) Swimming
C) Dancing
D) Cycling",C
"What is the primary purpose of the roundoff technique in gymnastics?
A) To increase balance
B) To turn horizontal speed into vertical speed
C) To perform a handstand
D) To improve flexibility",B
"In a roundoff, how does a gymnast land on the ground?
A) With one foot at a time
B) With two feet placed together
C) In a split position
D) With feet shoulder-width apart",B
"How are the hands placed on the ground during a roundoff?
A) Simultaneously and parallel to each other
B) One after the other with no twists
C) One after the other with each hand twisted
D) Simultaneously and perpendicular to each other",C
"What is the orientation of the first hand placed on the ground during a roundoff?
A) Twisted by 45 degrees
B) Twisted by 90 degrees
C) Twisted by 180 degrees
D) Not twisted at all",B
"After achieving the handstand position in a roundoff, what does the gymnast do to create backward momentum?
A) Push off with their hands
B) Snap their hips down quickly
C) Bend their knees
D) Perform a split",B
"The roundoff technique is used to effectively turn forward momentum from a run into:
A) Sideways momentum
B) Downward momentum
C) Backward momentum
D) Static balance",C
"What is the likely consequence of not performing a headstand perfectly in gymnastics?
A) Muscle strain
B) Head injury
C) Ankle sprain
D) No consequence",B
"During a rings routine, gymnasts must avoid deductions by maintaining a neutral head position during __________.
A) jumps
B) holds
C) dismounts
D) transitions",B
"In addition to form deductions, what other specific behavior results in deductions on the rings?
A) Smiling during the routine
B) Having bent arms while performing elements
C) Clapping hands to the audience
D) Wearing colorful attire",B
"What will result in a deduction for a gymnast performing on the still rings?
A) A neutral face expression
B) A controlled swing
C) Using the straps/cables for support
D) A perfect dismount",C
"According to the Fédération Internationale de Gymnastique (FIG) Apparatus Norms, what is the allowable variation in the inner diameter of gymnastics rings?
A) ± 0.5 centimetres (0.20 in)
B) ± 0.2 centimetres (0.079 in)
C) ± 0.1 centimetres (0.039 in)
D) ± 1 centimetre (0.39 in)",C
"What is the specified distance between the two points of attachment for the gymnastics rings as per FIG standards?
A) 300 centimetres (9.8 ft)
B) 50 centimetres (1.6 ft)
C) 18 centimetres (7.1 in)
D) 2.8 centimetres (1.1 in)",B
"The FIG Apparatus Norms state that the distance from the point of attachment to the lower inner side of the rings must be:
A) 280 centimetres (9.2 ft)
B) 300 centimetres (9.8 ft)
C) 320 centimetres (10.5 ft)
D) 250 centimetres (8.2 ft)",B
"What is the primary material that the straps supporting the rings are made of?
A) Leather
B) Fabric
C) Steel
D) Rubber",C
