Question,Answer
"In handball, if the teams are still tied after the first two straight 5-minute overtimes, what is the next step in the tie-breaking procedure?
A) A third 5-minute overtime is played.
B) The overtime procedure is repeated once more.
C) The game ends in a draw.
D) A penalty shootout is immediately conducted.",B
"What happens if teams remain tied after repeating the overtime procedure once more in handball?
A) The match is decided by a coin toss.
B) The teams play a sudden death round.
C) A penalty shootout is conducted.
D) The match continues until a goal is scored.",C
"What does a red card signify in a handball match?
A) A warning for minor offenses
B) A two-minute suspension for the player
C) A disqualification of a player for serious offenses
D) A goal penalty against the offending player's team",C
"What is the immediate team consequence after a player receives a red card in handball?
A) The team is awarded a penalty shot.
B) The team plays with one less player for the remainder of the match.
C) The team receives a financial penalty.
D) The team is granted a timeout to reorganize.",B
"How long must a handball team play with a reduced number of players due to a red card?
A) Until the end of the match
B) For a five-minute suspension period
C) Until the two-minute team suspension has expired
D) For the remainder of the half",C
"When did the blue card come into use in handball?
A) 2010
B) 2012
C) 2014
D) 2016",D
"In handball, what action follows the showing of a red card before a blue card is issued?
A) A short discussion
B) A penalty throw
C) A team timeout
D) A player substitution",A
"What accompanies the score sheet after a blue card is shown in handball?
A) A red card
B) A written report
C) A video replay
D) A player's apology",B
"What is the required height of the goal structure in team handball?
A) 1 metre
B) 2 metres
C) 2.5 metres
D) 3 metres",B
"How wide is the goal in team handball?
A) 2 metres
B) 2.5 metres
C) 3 metres
D) 3.5 metres",C
"In handball, what is it called when a player scores three times in a single game?
A) Triple Goal
B) Hat-trick
C) Triple Hit
D) Three-Pointer",B
"In which sport are suspensions served on the team's bench?
A) Handball
B) Bandy
C) Water polo
D) Roller Derby",A
"According to the rule changes in the 2010s, in the sport of handball, when can a goalie be pulled from the game?
A) Only in the last few minutes of the game
B) Only when the team is leading
C) At any point during the game
D) Never, it is against the rules",C
"In handball, scoring on a goal with a goalkeeper is considered:
A) Impossible
B) Easier than in ice hockey or soccer
C) As difficult as in basketball
D) Harder than in any other sport",B
