Question,Answer
"What is the consequence of receiving a green card in field hockey?
A) A 5 minute suspension
B) A 2 minute suspension
C) Immediate dismissal from the game
D) A penalty stroke is awarded to the opposing team",B
"If a field hockey player receives a second green card, what is the next card they receive?
A) Another green card
B) A red card
C) A yellow card
D) No further card is given",C
"In field hockey, who can receive a green card as a warning to the entire team?
A) The goalkeeper
B) The team coach
C) The captain
D) Any player on the field",C
"What shape is a green card in field hockey?
A) Square
B) Circular
C) Triangular
D) Rectangular",C
"Under FIH Rules of Hockey, how long must a team play with one fewer player when a green card is shown?
A) 5 minutes
B) 10 minutes
C) 2 minutes
D) Until the end of the match",C
"What action in field hockey does not result in a green card but rather a more serious sanction?
A) A minor offence
B) Unsportsmanlike conduct
C) Diving
D) A major offence",D
"In field hockey, if a captain receives a green card, what is the immediate consequence?
A) The captain is suspended for 2 minutes
B) The captain is cautioned without suspension
C) An alternate captain must be named
D) The team is awarded a penalty corner",B
"In field hockey, what is the consequence of a player receiving a red card?
A) The player receives a warning
B) The player is temporarily suspended
C) The player is permanently suspended from the game
D) The player must pay a fine",C
"Can a player who has been given a red card in field hockey be substituted after their dismissal?
A) Yes, immediately
B) Yes, after a certain time period
C) No, they cannot be substituted
D) Only if the coach agrees",C
"Which of the following statements is true regarding the issuance of a red card in field hockey?
A) It is given to the captain for team misconduct
B) It is circular in shape
C) It allows the player to rejoin the game after a set period
D) It is square in shape",B
"What is the width of the goal structure in field hockey?
A) 2.14 metres
B) 3.66 metres
C) 14.63 metres
D) 12.0 feet",B
"A goal in field hockey is only considered valid if the ball is shot from within what specific area? 
A) Inside the goal box
B) Within a semicircle 14.63 metres from the goal
C) Over the goal line under the crossbar
D) Between the goal posts",B
"How tall is the goal structure in field hockey?
A) 3.66 metres
B) 2.14 metres
C) 14.63 metres
D) 7.0 feet",B
"In which sport must players serve their suspensions in the spectator area during outdoor games?
A) Association football
B) Field hockey
C) Lacrosse
D) Ringette",B
"In which country is the term 'bully' still commonly used to refer to a face-off in ice hockey?
A) Canada
B) United States
C) Germany
D) Sweden",C
"In field hockey, what was the technique known as a ""bully-off"" primarily used for before it was discontinued in 1981?
A) To penalize players for misconduct
B) To start play
C) To signal halftime
D) To challenge a referee's decision",B
"When an umpire is faced with unsportsmanlike conduct of a severe nature, what action may they take against the participants of a brawl?
A) Award a penalty shot
B) Issue a warning
C) Eject the participants
D) Give a time-out",C
"In field hockey, what is the required distance from the goal for a shot to be eligible to score?
A) 9.14 metres (30.0 ft)
B) 14.63 metres (48.0 ft)
C) 16.00 metres (52.5 ft)
D) 11.00 metres (36.0 ft)",B
"What is the width of the goal structure in field hockey?
A) 2.14 metres (7.0 ft)
B) 3.66 metres (10.0 ft)
C) 3.66 metres (12.0 ft)
D) 4.00 metres (13.1 ft)",C
"When is a goal considered scored in field hockey?
A) When the ball touches the goal line
B) When the ball passes completely over the goal line under the crossbar
C) When the ball passes anywhere over the goal line
D) When the ball hits the goal post",B
"In what year were the rules of field hockey formalized by several clubs in London?
A) 1875
B) 1876
C) 1886
D) 1896",B
"The first Hockey Association of England was established in which year?
A) 1875
B) 1876
C) 1885
D) 1886",A
"As a result of the offside rule repeal, what was NOT mentioned as an expected outcome?
A) A transfer of the balance of power towards the offense
B) Creation of more space around the circle and mid-field
C) More goals and fewer whistles
D) A reduction in the number of spectators",D
"As of the current rules in field hockey, what is the status of the offside rule?
A) It is similar to the offside rule in association football.
B) It restricts the positioning of players from the attacking team.
C) There is no offside rule.
D) It is only applied during penalty corners.",C
"When did the evolution of the field hockey offside rule reach a significant change?
A) In the early 1980s.
B) In the mid-1990s with its abolition.
C) It has not evolved since its inception.
D) During the establishment of field hockey.",B
"In 1987, the offside rule in hockey was amended to apply only within what specific area of the field?
A) The defensive half
B) The 25 yards area
C) The penalty circle
D) The entire field",B
"What significant change to the rules of field hockey was introduced, as noted in the provided sources?
A) Introduction of the penalty corner
B) Implementation of rolling substitutions
C) Abolition of the offside rule
D) Introduction of the video referral system",C
"The video umpire may assist in determining if the ball crossed the goal line within the area bounded by the __________.
A) Penalty spot and goal posts
B) Goal posts and crossbar
C) Center line and goal posts
D) Sidelines and goal posts",B
