Question,Answer
"The game of kolven was played annually in Loenen, Netherlands, to commemorate what event?
A) The birth of a monarch
B) The capture of an assassin
C) The signing of a peace treaty
D) The founding of the city",B
"The John W. Black Trophy is often compared to which famous sports trophy?
A) The Lombardi Trophy
B) The Commissioner's Trophy
C) The Stanley Cup
D) The Larry O'Brien Championship Trophy",C
"What is the name of the trophy likened to the Stanley Cup in Canadian sprint canoe?
A) The Rideau Trophy
B) The Black Trophy
C) The CanMas Trophy
D) The John W. Black Trophy",D
"The term ""utility player"" in Ice hockey usually refers to a player that can play both _____.
A) centre and winger
B) offence and defence
C) goaltender and forward
D) left wing and right wing",B
"Marc-Andre Bergeron and Kurtis Foster have been used as forwards because they _____.
A) are strong in defending their own zone
B) struggle in defending their own zone
C) prefer to play as forwards
D) are the fastest skaters",B
"An extra defenceman may play forward in an emergency situation due to _____.
A) a rash of injuries to their forwards
B) a strategic decision to confuse the opponent
C) poor performance from the starting forwards
D) a penalty situation",A
"During the powerplay, a forward may be used on ""the point"" to _____.
A) increase defensive stability
B) provide a greater offensive threat
C) rest the main defencemen
D) fulfill a penalty requirement",B
"Red Kelly is known for spending the first half of his career as _____.
A) a two-way centreman
B) an offensive defenceman
C) a goaltender
D) a winger",B
"Wendel Clark converted to left wing after being a star defenceman in _____.
A) the NHL
B) junior hockey
C) college hockey
D) the European leagues",B
"Dustin Byfuglien is an example of a player who has made a full-time switch from _____.
A) defence to forward
B) forward to defence
C) goaltender to forward
D) winger to centre",B
"Jonathan Ericsson converted from _____.
A) defence to forward
B) forward to defence
C) winger to centre
D) goaltender to defence",B
"The significant difference in skills and equipment required makes it rare for non-goaltenders to _____.
A) play as utility players
B) suit up in goal
C) switch from offence to defence
D) take on the role of captain",B
"Brooks Laich is notable for having played _____.
A) defence
B) goaltender
C) centre
D) all forward positions",A
"Sergei Fedorov, a notable forward, has also played _____.
A) defence
B) goaltender
C) utility player
D) coach",A
"Phil Housley, known for his career as a defenceman, has also played _____.
A) goaltender
B) forward
C) coach
D) centre",B
"Some junior hockey teams put their best offensive players on _____.
A) the bench
B) defence
C) goaltender
D) the wing",B
