Question,Answer
"In Kodokan Judo, one of the most influential figures is Kyuzo Mifune, who is featured in a video that emphasizes the core principles of the sport. What is the title of this video?
A) The Canon of Judo
B) The Essence of Judo
C) Judo Mastery
D) The Judo Way",B
"Ude-Hishigi-Waki-Gatame is classified as one of the ______ techniques of Kodokan Judo.
A) 29 grappling
B) 15 throwing
C) 12 striking
D) 18 pinning",A
"The Waki gatame is prohibited in competition if the competitor falls directly to the mat while applying it, and this action is considered a(n) ______.
A) Ippon
B) Shido
C) Yuko
D) Hansoku-make",D
"In the context of Judo's Katame-waza, how many joint techniques are listed in the Kansetsu-waza?
A) 5
B) 7
C) 9
D) 11",C
"When executing this armlock with Uke on their stomach, where should tori trap uke's arm to perform the technique correctly?
A) With the elbow above tori's shoulder
B) With the elbow beneath tori's armpit
C) With the elbow around tori's waist
D) With the elbow against tori's knee",B
"Uchi Makikomi is categorized as a __________ technique in Judo.
A) Frontal sacrifice
B) Rear sacrifice
C) Side sacrifice
D) Standing",C
"In the 1895 Gokyo no Waza lists, Uchi Makikomi belonged to which group?
A) First group
B) Third group
C) Fifth group
D) Seventh group",C
"Kouchi Gaeshi is categorized as a __________ technique within Judo.
A) Foot
B) Hand
C) Hip
D) Sacrifice",B
"To successfully execute Kouchi Gaeshi, the Tori must first dodge Uke's __________.
A) Ouchi gari
B) Kouchi gari
C) Uchi mata
D) Harai goshi",B
"Kosoto Gari is classified as a _______ technique in Judo.
A) Hand
B) Hip
C) Foot
D) Sacrifice",C
"In the traditional throwing list of Kodokan Judo, Gokyo (no waza), Kosoto Gari belongs to which group?
A) Dai Ikkyo
B) Dai Nikyo
C) Dai Sankyo
D) Dai Yonkyo",B
"Kosoto Gari is one of the original throws developed by which founder of Judo?
A) Morihei Ueshiba
B) Mitsuyo Maeda
C) Jigoro Kano
D) Kyuzo Mifune",C
"The official IJF name for the technique commonly known as the ""Three corner armlock"" is:
A) Ao-Muke-Gata-Ude-Hishigi
B) Ude-hishigi-sankaku-gatame
C) Shime garami
D) Ushiro sankaku gatame",B
"Which of the following is NOT a variant of the Sankaku gatame technique?
A) Omote sankaku gatame
B) Yoko sankaku gatame
C) Shime garami
D) Ushiro sankaku gatame",C
"Ude-Hishigi-Sankaku-Gatame is classified under which of the following lists in Judo's Katame-waza?
A) Osae-waza
B) Shime-waza
C) Kansetsu-waza
D) Nage-waza",C
"How many grappling techniques are officially recognized in Kodokan Judo's Katame-waza?
A) 9
B) 29
C) 40
D) 15",B
"Who is demonstrated the Ude-Hishigi-Sankaku-Gatame in the video ""The Essence of Judo""?
A) Jigoro Kano
B) Isao Okano
C) Kyuzo Mifune
D) Masahiko Kimura",C
"What does the term ""Sankaku"" translate to in the context of Judo techniques?
A) Circle
B) Square
C) Triangle
D) Grip",C
"In Sankaku-waza, what part of Tori's body is primarily used to form the controlling ""triangle""?
A) Arms
B) Legs
C) Head
D) Shoulders",B
"Which of the following is NOT a component of Sankaku-waza techniques?
A) Levers
B) Chokes
C) Fixed assets
D) Strikes",D
"In Judo, if a practitioner wants to execute a kick that involves striking with the knee towards the front, which technique should they use?
A) Ushiro-jury
B) Yoko-jury
C) Mae-ate
D) Taka-jury",C
"Atemi waza, or body-striking techniques, were adopted into judo from several ancient traditional Japanese jujitsu styles by _______.
A) Jigorō Kanō
B) Morihei Ueshiba
C) Kyuzo Mifune
D) Gichin Funakoshi",A
"Which of the following techniques is NOT one of the four counterattack techniques against atemi waza introduced by Kanō in the nage nokata?
A) Seoi nage
B) Uki goshi
C) Tomoe nage
D) Yoko guruma",C
"In judo competitions, atemi waza are _______.
A) Encouraged as scoring techniques
B) Used only in kata and self-defense
C) Forbidden in the sport judo competitions rules
D) The primary focus of the match",C
"The classical repertoire of 40 throws that Jigorō Kanō compiled is known as _______.
A) Randori-no-kata
B) Nage nokata
C) Gokyo no waza
D) Katame no kata",C
"Jigorō Kanō's intention for judo was to keep its practical character as a martial art and its nature of physical and moral education. This is reflected in his inclusion of counterattacks against atemi waza in the _______.
A) Katame waza
B) Nage waza
C) Nage nokata
D) Atemi waza",C
"How many body-striking techniques did Kanō distinguish in judo?
A) 15
B) 23
C) 40
D) 5",B
"What does ""Empi-uchi"" refer to in Judo's Ude-Ate-waza arm striking techniques?
A) Side blow
B) Upward blow
C) Elbow blow
D) Downward strike",C
"Yoko wakare (横分) is classified as which type of Judo technique?
A) Standing technique
B) Ground technique
C) Side sacrifice technique
D) Arm entanglement technique",C
"In the traditional throwing list, Gokyo (no waza), of Kodokan Judo, Yoko wakare belongs to which group?
A) First group
B) Third group
C) Fifth group
D) Seventh group",C
"Ude gaeshi is a variation of which technique in judo?
A) Tomoe nage
B) Yoko wakare
C) Ouchi gari
D) Koshi guruma",B
"Who demonstrated Ude gaeshi in ""The Essence of Judo""?
A) Jigoro Kano
B) Isao Okano
C) Kyuzo Mifune
D) Keiko Fukuda",C
"In the described technique, when should the tori initiate the fall to the mat to perform the sacrifice throw?
A) As soon as the uke begins to push back
B) When the uke is about to resist
C) At the moment of maximum forward push by uke
D) After uke has stopped pushing and is off balance",C
"What is the position of the tori's body relative to the uke's feet when executing the sacrifice throw?
A) Parallel and distant
B) Directly in front of, close to, and perpendicular
C) Behind and aligned with
D) At an acute angle to the side",B
"What must the tori do while dropping to the mat to ensure the successful execution of the throw?
A) Rotate his body to push uke away
B) Keep his body straight and stiff
C) Rotate his body to pull uke over him
D) Stay static to let uke trip over",C
"Why is it crucial for the timing of the sacrifice throw to be precise?
A) To prevent uke from landing on top of tori
B) To allow tori to regain a standing position quickly
C) To ensure the audience is impressed
D) To make the throw more aesthetically pleasing",A
"What is the primary action performed in the technique De Ashi Harai?
A) Blocking of the foot
B) Grabbing of the wrist
C) Sweeping of one foot
D) Throwing over the shoulder",C
"How does Sasae Tsuri Komi Ashi differ from Harai Tsuri Komi Ashi?
A) Sasae Tsuri Komi Ashi involves a sweeping motion while Harai Tsuri Komi Ashi involves blocking
B) Sasae Tsuri Komi Ashi involves blocking the foot to prevent stepping forward, whereas Harai Tsuri Komi Ashi involves a sweeping motion backwards
C) Both techniques involve throwing over the shoulder
D) Both techniques are identical in execution",B
