Question,Answer
"Before the establishment of the Union Internationale de Pentathlon Moderne (UIPM), who was responsible for setting up a committee for the Modern Pentathlon sport?
A) The United Nations
B) The International Olympic Committee
C) The World Anti-Doping Agency
D) The International Sports Federation",B
"Who is credited with the creation of the modern pentathlon according to most sources?
A) Viktor Balck
B) Sandra Heck
C) Pierre de Frédy
D) Baron Pierre de Coubertin",D
"What was the main reason Baron Pierre de Coubertin created the modern pentathlon?
A) To simulate the experience of a 19th-century infantry soldier
B) To simulate the experience of a 19th-century cavalry soldier
C) To honor the ancient Greek soldiers
D) To create a contest for modern Olympic athletes",B
"What does the term ""modern"" in modern pentathlon distinguish it from?
A) The decathlon
B) The heptathlon
C) The triathlon
D) The original pentathlon of the ancient Olympic Games",D
"Who was considered a professional athlete and therefore unable to participate in the modern pentathlon up to the 1952 Olympics?
A) The ordinary cavalry soldier
B) The upper-class cavalry officer
C) The infantry soldier
D) The commissioned officer",A
"What tradition did Viktor Balck use to create the modern pentathlon for the 1912 Games?
A) The tradition of British military competitions
B) The tradition of Swedish military multi-sports events
C) The tradition of French equestrian shows
D) The tradition of Greek athletic contests",B
"In the Modern Pentathlon scoring system, how were points originally allocated for each event?
A) Points-for-performance
B) Points-for-time
C) Points-for-place
D) Points-for-accuracy",C
"What was the format of épée fencing in international competitions before the introduction of the additional bonus round?
A) Elimination
B) Direct elimination
C) Round-robin
D) Point-based",C
"What happens to an athlete if they lose a bout in the second round of fencing?
A) They can no longer score points
B) They are eliminated from the round
C) They lose 50 points
D) They must win the next bout to stay in the competition",B
"During the riding event, how many obstacles must athletes attempt to clear?
A) 10 obstacles
B) 12 obstacles
C) 15 obstacles
D) 20 obstacles",B
"How long do athletes have to practice with the horse assigned to them before the show-jumping course?
A) 10 minutes
B) 15 minutes
C) 20 minutes
D) 25 minutes",C
"In the combined running and shooting event, how much of a delay is given for each point an athlete trails the leader?
A) 0.5 seconds
B) 1 second
C) 1.5 seconds
D) 2 seconds",B
"During the shooting rounds of the combined event, athletes must score five hits or wait until _____ seconds have elapsed.
A) 30 seconds
B) 40 seconds
C) 50 seconds
D) 60 seconds",C
