Question,Answer
"In American and Canadian football, what is the consequence of a false start by an offensive player?
A) The offensive team is awarded an extra down
B) The defensive team is awarded a 5-yard advance
C) The play immediately becomes dead and a 5-yard penalty is assessed
D) The game clock is reset to the time of the infraction",C
"Which players, according to the rules, are exempt from causing a false start when they move after taking a set position?
A) The quarterback
B) The center
C) The wide receivers
D) The defensive linemen",B
"During which season was the false start penalty the second most issued penalty in the NFL?
A) 2010 season
B) 2015 season
C) 2021 season
D) 2005 season",C
"What movement by offensive linemen could result in a false start penalty?
A) A movement as minimal as a couple of centimeters
B) A movement only if it crosses the line of scrimmage
C) A movement that involves contact with a defensive player
D) Any movement before the snap that is not directed by the coach",A
"All plays in American and Canadian football start with the ball on or between the hash marks. If the ball is downed outside this area, it must be placed on the nearest ________.
A) Sideline
B) End zone
C) Hash mark
D) Goal line",C
"In American football, what is it called when a defensive player catches a forward pass that has not yet touched the ground?
A) Fumble
B) Interception
C) Touchdown
D) Sack",B
"What immediate effect does an interception have on the game?
A) Play continues without interruption
B) The game is paused for a commercial break
C) The defensive team's player can attempt to advance the ball
D) The offensive team is awarded a penalty kick",C
"After an interception, if the interceptor is downed, where does his team take over possession?
A) At the opposing team's end zone
B) At the spot where he was downed
C) At the center of the field
D) At their own end zone",B
"Which players are most likely to make an interception?
A) Quarterbacks and kickers
B) Wide receivers and running backs
C) Secondary and linebackers
D) Offensive linemen",C
"What is less likely for a defensive lineman to do?
A) Tip a ball
B) Get an interception
C) Force a fumble
D) Make a tackle",B
"What is a touchdown scored directly from an interception called?
A) Pick-six
B) Pick-two
C) Field goal
D) Safety",A
"What is the term for a defensive two-point conversion scored from an interception during an extra-point attempt?
A) Pick-six
B) Pick-two
C) Touchback
D) Field goal",B
"What might a player do with the ball after an interception if there is little time left in the game and their team is leading?
A) Attempt a field goal
B) Down the ball immediately
C) Throw the ball out of bounds
D) Celebrate with a dance",B
"What is a key reason for downing the ball immediately after an interception when leading the game?
A) To challenge the referee's decision
B) To allow for a substitution
C) To eliminate the chance of a fumble
D) To set up a better angle for a kick",C
"Why are offensive players at risk after an interception?
A) They are not allowed to tackle the ball carrier
B) They are susceptible to unexpected blocks
C) They must leave the field immediately
D) They are required to sit out the next play",B
"What is not recorded as an interception statistically?
A) A forward pass caught by the defense
B) A lateral pass caught by the defense
C) A tipped ball caught by the defense
D) A pass caught by the defense before touching the ground",B
"Who is statistically responsible for an interception if a receiver tips the ball before it is intercepted?
A) The receiver who tipped the ball
B) The defensive player who caught the ball
C) The quarterback who threw the ball
D) The coach of the offensive team",C
"What is the interception of a lateral pass recorded as?
A) A touchdown
B) A fumble
C) An interception
D) A penalty",B
