Question,Answer
"How are the positions set on the first day of the races the next year?
A) Based on the crew's speed.
B) By a random draw.
C) Based on the results of a qualifying race.
D) Using the positions at the end of the last race.",D
"According to the content, what is a general rule regarding still waters?
A) They run deep
B) They are to be avoided
C) They indicate the strongest part of the stream
D) They do not run deep",D
"What should be the motion of the tiller to minimize disturbance of the boat's stability?
A) Sudden and quick
B) Smooth and not sudden
C) Irregular and varied
D) Constant and forceful",B
"What is the result of the back-and-forth motion of the rudder during the drive phase?
A) It increases the boat's speed
B) It stabilizes the boat
C) It tends to rock the boat
D) It allows for more precise steering",C
"Which of the following is a requirement for all boats according to the rules?
A) Must have a sail
B) Must have a rudder
C) Must remain within the required dimensions
D) Must be inflatable",C
"What was the reduced number of World Championship allocation spots per gender for the 2020 Olympics?
A) Two
B) Three
C) Four
D) Five",C
"What does the P Flag signify when displayed by the race committee during the preparatory signal in sailing?
A) A boat must round either end of the start line and then restart.
B) A boat is given a 20% scoring penalty.
C) A boat must return, clear the start line, and then restart.
D) A boat is disqualified.",C
"If a boat is on the course side (OCS) at the starting signal and the I Flag is displayed, what must the boat do?
A) Receive a 20% scoring penalty.
B) Disqualify itself from the race.
C) Round either end of the start line to the pre-start side and then restart.
D) Return, clear the start line, and then restart.",C
"What is the consequence for a boat that is OCS in the minute leading up to the start when the Z Flag is displayed?
A) The boat must restart the race.
B) The boat receives a 20% scoring penalty.
C) The boat is disqualified from the race.
D) The boat must round either end of the start line and then restart.",B
"What does the Black Flag indicate when raised by the race committee?
A) A boat must return and clear the start line to restart.
B) A boat is given a 20% scoring penalty.
C) A boat must round either end of the start line and restart.
D) A boat is disqualified if OCS in the minute leading up to the start.",D
"Under which flag must a boat that is OCS during the starting signal return and clear the start line before restarting?
A) I Flag
B) Z Flag
C) Black Flag
D) P Flag",D
"What is the scoring consequence for failing to return to start correctly under the P or I Flag rules?
A) The boat must restart the race without penalty.
B) The boat receives points equivalent to disqualification.
C) The boat is given a 20% scoring penalty.
D) The boat must round either end of the start line and restart.",B
"In the sail route concept, the outside receiver is responsible for which type of route?
A) Short flat route
B) Intermediate out route
C) Deep vertical route
D) Christopher crossing route",C
"Which route is typically run by the running back in the sail route concept?
A) Deep vertical route
B) Intermediate out route
C) Christopher crossing route
D) Short flat route",D
"The sail route concept is designed to overload one side of the defense by stretching the coverage _______.
A) Horizontally
B) Vertically
C) Diagonally
D) Laterally",B
"During a sailing race, if the race committee displays the P Flag at the preparatory signal, what must a boat do if it finds itself on the course side of the start line at the starting signal?
A) Continue racing without any penalties
B) Round either end of the start line and restart
C) Return, clear the start line, and then restart
D) Accept a 20% scoring penalty",C
"If a boat is on the course side (OCS) in the minute leading up to the start and the Z Flag is displayed, what penalty is imposed?
A) The boat must return and clear the start line to restart
B) The boat is disqualified from the race
C) The boat receives a 20% scoring penalty
D) No penalty is applied, and the boat can continue racing",C
"What is the consequence for a boat that is on the course side (OCS) at the starting signal when the Black Flag is displayed?
A) The boat must restart by rounding either end of the start line
B) The boat is disqualified from the race
C) The boat receives a 20% scoring penalty
D) The boat must return, clear the start line, and then restart",B
"Under the I Flag rule, if a boat is on the course side at the starting signal, which maneuver must it perform to correct the false start?
A) Sail a penalty loop
B) Round either end of the start line and restart
C) Continue racing and accept a time delay
D) Anchor and wait for a restart signal",B
"If a numerical pennant is flown below the Answering Pennant (AP), what information does it convey to the participants of a sailing race?
A) The number of laps to be completed in the race
B) The number of boats disqualified from the race
C) The amount of time, in minutes, until the race begins
D) The duration of the race postponement, in hours",D
"During the start sequence of a sailing race, what is the purpose of the hollowed-out term signal flags?
A) To indicate the direction of the race
B) To signal the start and finish lines
C) To communicate preparatory instructions
D) To warn of impending weather changes",C
"When were the Racing Rules of Sailing most dramatically simplified?
A) In the 1940s
B) In 1997
C) In 1987
D) In 2007",B
"According to Rule 10, which boat should keep clear?
A) The boat on a starboard tack
B) The boat on a port tack
C) The boat to windward
D) The boat to leeward",B
"Under Rule 11, when boats are on the same tack and overlapped, which boat must keep clear?
A) The leeward boat
B) The boat ahead
C) The boat astern
D) The windward boat",D
"What is the obligation of a boat that is astern when not overlapped according to Rule 12?
A) It must overtake the boat ahead
B) It must keep clear of the boat ahead
C) It must signal the boat ahead
D) It must maintain its course",B
"What must a boat do when it is tacking, as per Rule 13?
A) Speed up to complete the tack quickly
B) Keep clear of boats that are not tacking
C) Immediately gain right-of-way
D) Signal the intention to tack",B
"How should a right-of-way boat change course under Rule 16?
A) As quickly as possible
B) In a manner that allows the burdened boat to keep clear
C) Without giving any chance for the burdened boat to react
D) Only after signaling its intention",B
"What is prohibited by Rule 17 when passing a boat to leeward?
A) Overtaking the boat
B) Sailing below your proper course
C) Luffing higher than your proper course
D) Giving way to the other boat",C
"How many rules in total are there in the Racing Rules of Sailing?
A) 91
B) 15
C) 20
D) 50",A
"How many rules govern what boats do when they meet on the water?
A) 91
B) 15
C) 20
D) 50",B
"What type of sport is sailboat racing considered?
A) A judge-regulated sport
B) A self-regulated sport
C) An umpire-regulated sport
D) A spectator-regulated sport",B
"What is the standard penalty for most rules infractions?
A) Disqualification
B) A fine
C) Performing a turn consisting of one tack and one gybe
D) Retiring from the race",C
"If a rules infraction caused significant advantage or injury, what is the required penalty?
A) A warning
B) To retire from the race
C) To perform two penalty turns
D) Disqualification without a hearing",B
"In match racing, how are penalties imposed?
A) By the race committee after the race
B) By on-the-water umpires immediately
C) By the competitors themselves
D) Through a post-race hearing",B
"In sail races, what is the purpose of sound signals accompanying the raising or removing of visual signals?
A) To indicate the start of the race
B) To draw attention to the new signal
C) To signal a change in weather conditions
D) To communicate with spectator boats",B
"Which of the following is NOT a type of sound signal described by the Racing Rules of Sailing?
A) One short sound
B) Two short sounds
C) One long sound
D) Three consecutive long sounds",D
"The flags used in sail races are taken from which set?
A) The International maritime distress signal flag set
B) The International maritime signal flag set
C) The National yacht club signal flag set
D) The Universal maritime communication flag set",B
"According to the content, what can modify the signal defined in the Racing Rules of Sailing?
A) The type of boat participating in the race
B) The personal preference of the race committee
C) The Sailing Instructions
D) The International maritime organization",C
"Who is responsible for publishing a new revision of the Racing Rules of Sailing?
A) The International Olympic Committee
B) The International Sailing Federation
C) World Sailing
D) The National Yacht Racing Union",C
"In the pre-start procedure of a sailing race, if there is a need to avoid confusion with postponement signals, what can be done with the class flags?
A) They can be removed entirely.
B) They can be substituted with different flags.
C) They must be displayed with additional lights.
D) They are required to be larger in size.",B
"Which numeral pennants are typically used as class flags in the pre-start procedure of a sailing competition?
A) 4, 5, and 6
B) 1, 2, and 3
C) 7, 8, and 9
D) 10, 11, and 12",B
"Which of the following is NOT a responsibility of a good crew during a team race?
A) Advising the helmsman on which position to attack.
B) Being aware of whether the team is winning or losing.
C) Ignoring the team's overall standing and racing individually.
D) Communicating effectively with the helmsman about the race status.",C
"What is the name of the European series of team racing in keel boats conceived by Bruce Hebbert?
A) 3K
B) 2K
C) EuroKeel
D) SailEuro",B
"How many sailors from different countries helped Bruce Hebbert to launch the '2K' series?
A) Three
B) Four
C) Five
D) Six",C
"In how many locations across Europe does the '2K' team racing series now take place?
A) Six
B) Seven
C) Eight
D) Nine",C
"What was the format for qualifying for the National Final in the National Team Racing competition?
A) The top team from each zone
B) The top 3 teams from each zone
C) 2 teams from each zone
D) 4 teams from each zone",C
"Who pioneered on-the-water umpiring for team racing at the Wilson Trophy?
A) HRH Prince Philip
B) Tony Cross and his team
C) The Royal Yachting Association
D) British Paints",B
"In what year did the Wilson Trophy introduce the first 'On The Water Adjudicators'?
A) 1982
B) 1987
C) 1970
D) 1969",B
"Who presented the first codified instructions for ""On The Water Adjudication for Team Racing"" to the RYA?
A) Mike Bailey
B) Peter Price
C) Brian Heron
D) John Anstey",B
"What status was awarded to Peter Price by the RYA in 2013?
A) RYA Umpire Emeritus
B) RYA Team Racing Champion
C) RYA Honorary Member
D) RYA President",A
"Which entity lost its sponsorship in 1982, leading to a temporary cessation of the event?
A) The Wilson Trophy
B) The National Team Racing competition
C) The Royal Yachting Association
D) West Kirby SC",B
"According to HRH Prince Philip, team racing may discover new talent because it demands:
A) The same approach and techniques as fleet racing
B) A different approach and different techniques
C) Less strategy and more skill
D) More financial support and sponsorship",B
"What advantage did HRH Prince Philip highlight about the new Team Racing Competition?
A) Increased media coverage
B) The opportunity for teams to travel and experience different conditions
C) The chance to win significant prize money
D) The ability to compete internationally",B
"What aspect of team racing events did HRH Prince Philip believe participants would particularly enjoy?
A) The competitive sailing
B) The technical discussions
C) The social side of encounters
D) The awards ceremony",C
"Which club continued to show strong interest in team racing despite a decline in club interest in the UK?
A) Oxford SC
B) West Kirby SC
C) Wembley SC
D) Hollingworth Lake SC",B
"What was the impact of the loss of sponsorship on the National Team Racing competition in 1982?
A) It became an international event
B) It ceased for a time
C) It switched to match racing
D) It increased in popularity",B
"In which year was the first recorded team race in the International 14 Class held?
A) 1926
B) 1928
C) 1933
D) 1934",A
"The International 14 Class was granted international status in what year?
A) 1926
B) 1928
C) 1933
D) 1934",B
