Question,Answer
"How far are the international targets thrown?
A) 62 yards
B) 64 m
C) 70 yards
D) 57 m",C
"The targets are launched to a point how many feet above the ground?
A) 10 feet
B) 15 feet
C) 18 feet
D) 3 feet",B
"At station 8, how many targets does the shooter shoot?
A) One
B) Two
C) Three
D) Four",B
"How many shots did each competitor have in the 10 metre air pistol competition format before 2009?
A) 10 shots
B) 15 shots
C) 20 shots
D) 25 shots",C
"What is the allowed time for each shot in the 10 metre air pistol competition format prior to 2009?
A) 30 seconds
B) 40 seconds
C) 50 seconds
D) 60 seconds",B
"How many targets in total does a mixed team shoot during the qualification rounds?
A) 100 targets
B) 125 targets
C) 150 targets
D) 175 targets",C
"How many teams compete in the finals of the Mixed Team Trap event?
A) 4 teams
B) 5 teams
C) 6 teams
D) 8 teams",C
"During the finals, after how many targets is the first team eliminated?
A) After 10 targets
B) After 15 targets
C) After 20 targets
D) After 25 targets",D
"When are the final two teams determined in the Mixed Team Trap finals?
A) After shooting 40 targets
B) After shooting 45 targets
C) After shooting 50 targets
D) After shooting 55 targets",B
"Prior to having separate events for each gender, the trap shooting competition in the Olympics was open to:
A) Only men
B) Only women
C) Both men and women
D) Junior athletes only",C
"Olympic Trap is also known in the United States as all of the following EXCEPT:
A) Bunker Trap
B) Trench
C) International Clay Pigeon
D) Double Trap",D
"In Olympic Trap, what is the maximum bore size allowed for the shotguns used by competitors?
A) 10 bore
B) 12 bore
C) 14 bore
D) 16 bore",B
"Since which year have men and women had separate competitions in Olympic Trap?
A) 1992
B) 1996
C) 2000
D) 2005",C
"What was the significant change in the final rules of Olympic Trap in 2005?
A) Competitors could use pump-action shotguns.
B) Competitors had to shoot at moving targets.
C) Only one shot could be taken at each target.
D) Two shots were allowed at each target in the final.",C
"Prior to 1996, the Olympic trap event was open to:
A) Men only
B) Women only
C) Both men and women
D) Junior participants only",C
"The Tubb 2000 rifle is also known by which other name?
A) T2K
B) T3K
C) T1K
D) T4K",A
"What feature of the Tubb 2000 allows it to support various calibers?
A) Fixed barrel
B) Changeable magazine
C) Changeable barrel
D) Fixed stock",C
"Which of the following is NOT a user-changeable feature of the Tubb 2000?
A) Hand grip
B) Muzzle brake
C) Trigger
D) Sights",B
"What is the primary design objective of a very-low-drag (VLD) bullet?
A) To increase the weight of the bullet
B) To maximize air resistance
C) To enhance accuracy and kinetic efficiency at extended ranges
D) To reduce the cost of production",C
"VLD bullets are typically used in which type of firearm?
A) Pistols
B) Shotguns
C) Rifles
D) Submachine guns",C
"What is a common characteristic of VLD bullets in terms of ballistic coefficient?
A) They have a ballistic coefficient less than 0.3
B) They have a ballistic coefficient greater than 0.5
C) They have a ballistic coefficient exactly at 1.0
D) The ballistic coefficient is unrelated to VLD bullets",B
"Which group has seen the greatest usage of VLD bullets?
A) Casual weekend shooters
B) Military snipers and long-range target shooters
C) Close-quarters combat specialists
D) Law enforcement in urban environments",B
"How does a low drag coefficient affect a bullet's trajectory?
A) It makes the trajectory more arched
B) It has no significant effect on the trajectory
C) It flattens the trajectory
D) It increases the bullet's drop rate",C
"Mono-metal bullets are designed to be aerodynamically efficient due to their __________.
A) Slender shapes
B) Multi-metal composition
C) Traditional manufacturing methods
D) Jacketed hollow point structure",A
"Compared to traditional jacketed hollow point boat-tail VLD bullets, mono-metal solid bullets are generally __________.
A) Less expensive
B) The same price
C) More expensive
D) Priced based on size",C
"The purpose of using thin driving bands on modern mono-metal VLD bullets is to __________.
A) Increase barrel damage
B) Decrease muzzle velocity
C) Reduce barrel damage and increase muzzle velocity
D) Make the bullets heavier",C
"To correctly utilize driving bands on mono-metal VLD bullets, the projectiles and barrels must be __________.
A) Lubricated frequently
B) Available in multiple calibers
C) Precision-fitted to each other
D) Made from the same metal",C
"The development of VLD bullets has focused on reducing a form factor, which is defined as the sectional density divided by the ________.
A) speed of sound
B) ballistic coefficient
C) rate of twist
D) muzzle velocity",B
"Which of the following bullet nose designs is NOT mentioned as a way to minimize the form factor of VLD bullets?
A) Secant ogive
B) Tangent ogive
C) Parabolic curve
D) Sears-Haack profile",C
"A cavity or hollow in the bullet nose, known as a ________, is used to reduce weight and shift the projectile's center of gravity rearwards.
A) hollow point
B) full metal jacket
C) soft point
D) ballistic tip",A
"For improved stability of a VLD bullet, it is important that the center of pressure and center of mass are ________.
A) concentric and coincident
B) separate and distinct
C) independent and variable
D) fixed and unchangeable",A
"According to Franklin Ware Mann's ""The Bullet's Flight From Powder to Target,"" the principles of bullet design and flight are ________.
A) a modern theory
B) classically set out
C) based on anecdotal evidence
D) primarily experimental",B
"What is the correct description of the IHP Airpistol 0.177's barrel?
A) Smoothbore barrel
B) Rifled barrel
C) Fluted barrel
D) Polygonal barrel",B
"Which of the following statements is true regarding the IHP Airpistol 0.177's sights?
A) The pistol has a telescopic sight.
B) The pistol has open micro adjustable sights with a red dot on the front.
C) The pistol has open micro adjustable sights with globe sight on the front.
D) The pistol has fixed sights.",C
"Regarding the trigger of the IHP Airpistol 0.177, which statement is accurate?
A) The trigger is non-adjustable.
B) The trigger is fixed and ergonomic.
C) The trigger is adjustable.
D) The trigger is electronic.",C
"In Olympic Skeet, how many series of targets do both men's and women's competitions consist of before the final round?
A) Three
B) Four
C) Five
D) Six",C
"What is the maximum bore size of shotguns allowed in Olympic Skeet competitions?
A) 10 bore
B) 12 bore
C) 14 bore
D) 16 bore",B
"Which type of shotgun action is NOT permitted in Olympic Skeet competitions?
A) Double barrel breech loaders
B) Semi-automatic
C) Pump action
D) Lever-action",C
"During the Olympic Skeet event, what is used to fill the targets in the final round to show hits more clearly?
A) Paint
B) Special powder
C) LED lights
D) Colored smoke",B
"How many throwing machines are used to launch targets in Olympic Skeet?
A) One
B) Two
C) Three
D) Four",B
"In the 25 Shot Sequence, what is the target order for the first pair?
A) Low House target first
B) High House target first
C) Both targets simultaneously
D) Shooter's choice",B
"During the sequence, after shooting a single from the High House, what is typically the next shot?
A) Single from the Low House
B) Pair with Low House target first
C) Pair with High House target first
D) Another single from the High House",C
"How many times does the shooter engage with a single target from the Low House in the 25 Shot Sequence?
A) Three
B) Four
C) Five
D) Six",B
"If a shooter has just completed shooting a pair with the Low House target first, what is the next shot in the sequence?
A) Single from the High House
B) Single from the Low House
C) Pair with High House target first
D) Pair with Low House target first",A
"In Olympic Skeet, where must the gun be positioned when the shooter calls for the clays?
A) On the shoulder
B) Above the head
C) Level with the hip
D) At the shooter's side",C
"How long can the delay be after a shooter calls for the clay before it is released?
A) One second
B) Up to two seconds
C) Up to three seconds
D) There is no delay",C
"When was the Olympic Skeet event first introduced?
A) 1968
B) 1972
C) 1980
D) 1992",A
"Which year was the Olympic Skeet event limited to men only, causing controversy?
A) 1988
B) 1992
C) 1996
D) 2000",C
"The hollowed out is the official body governing the sport of skeet shooting in the United States.
A) National Skeet Shooting Association
B) Clay Pigeon Shooting Association
C) New Zealand Clay Target Association
D) Australian Clay Target Association",A
"During a standard tournament, how many targets are usually shot in each of the five events?
A) 50 targets
B) 75 targets
C) 100 targets
D) 125 targets",C
"Which type of shotgun is known for having the least fussiness about ammunition and is the surest method of getting two fast shots?
A) Pump-action shotgun
B) Semi-automatic shotgun
C) Double-barreled shotgun
D) Single-shot shotgun",C
"What is the coveted title awarded to the shooter with the highest combined scores in the four singles events at a tournament?
A) High Over All (""HOA"")
B) High All Around (""HAA"")
C) Grand Champion
D) Top Gun",A
"The ______ Skeet Shooting Association is recognized as a state association within the United States.
A) North Carolina
B) Mississippi
C) New Jersey
D) Oklahoma",A
"Olympic and international skeet is one of the ISSF shooting events and has been an Olympic sport since which year?
A) 1952
B) 1968
C) 1976
D) 1984",B
"Until what year was Olympic skeet open to both sexes?
A) 1988
B) 1992
C) 1996
D) 2000",B
"Who was the 1992 Olympic Champion in skeet shooting, notable for being a woman?
A) Kim Rhode
B) Zhang Shan
C) Diana Bacosi
D) Amber Hill",B
"When was a female skeet event introduced to the Olympic program?
A) 1996
B) 2000
C) 2004
D) 2008",B
"In Olympic skeet, what is the maximum delay after the shooter calls for the target?
A) 1 second
B) 2 seconds
C) 3 seconds
D) 4 seconds",C
"Where must the shooter hold his gun until the target appears in Olympic skeet?
A) At shoulder level
B) At hip level
C) At mid-torso level
D) Above the head",C
"Which station features a reverse double in Olympic skeet?
A) Station 1
B) Station 3
C) Station 4
D) Station 7",C
"Kim Rhode became the first American to medal in how many successive Olympic games with her bronze in women's skeet shooting at the 2016 Rio Olympic games?
A) 4
B) 5
C) 6
D) 7",C
"In skeet shooting, what is the primary object that participants attempt to break?
A) Glass bottles
B) Balloons
C) Clay targets
D) Paper targets",C
"What are the two fixed installations from which clay targets are mechanically flung in skeet shooting?
A) Launch pads
B) Stations
C) Catapults
D) Cannons",B
"Which type of skeet has Olympic status?
A) National skeet
B) International skeet
C) Universal skeet
D) Premier skeet",B
"The original skeet shooting course was designed in the shape of a _______.  
A) square  
B) triangle  
C) circle  
D) rectangle",C
"The skeet shooting game evolved to its current setup by 1923 when a second trap was placed at the _______ position.  
A) 3-o'clock  
B) 6-o'clock  
C) 9-o'clock  
D) 12-o'clock",B
