Question,Answer
"In 1992, John Milne developed a three-wheeled version of a mountainboard to emulate _______ on land during periods of poor surf.
A) skateboarding
B) surfing
C) snowboarding
D) cycling",B
"In a transition, timing the bertlemann slide so that during the apex of the sweep the back truck hits the coping can convert the slide into a _____.
A) flip
B) grind
C) pop shove-it
D) kickflip",B
"What was the material used to create the first longboards?
A) Carbon fiber
B) Bamboo
C) Thick plywood
D) Plastic",C
"When a rider is not spinning, what does the term frontside indicate?
A) The side of the rider facing away from the wave
B) The side of the rider facing towards the wave
C) The direction of the rider's travel
D) The side of the rider facing towards the sky",B
"What does it mean when a surfer is surfing frontside?
A) They are facing away from the wave
B) They are facing towards the wave
C) They are performing a trick
D) They are paddling out to sea",B
"Who was credited with landing the first kickflip on a surfboard?
A) Kelly Slater
B) Rodney Mullen
C) Zoltan ""The Magician"" Torkos
D) Shaun White",C
"When a surfer begins standup surfing, what is the first action they must take?
A) Stand up immediately
B) Paddle toward shore
C) Execute a cutback
D) Perform an air maneuver",B
"The 'pocket' of a wave is the area where the surfer should position the surfboard to:
A) Perform a snap
B) Avoid the breaking part of the wave
C) Ride just ahead of the whitewash
D) Prepare for a backflip",C
"What is a fundamental skill that surfers must develop to succeed in the sport?
A) Controlling their board in difficult conditions
B) Always staying close to the shore
C) Paddling without standing up
D) Avoiding all maneuvers",A
"What is the name of the maneuver where a surfer propels off the wave entirely up into the air?
A) The tube ride
B) The floater
C) The air
D) The cutback",C
"Hanging Ten on a longboard means:
A) Having both feet at the board's tail
B) Having one foot near the front with five toes off the edge
C) Having both feet on the front end with all toes off the edge
D) Performing a 180-degree rotation in the air",C
"In a 'snap' maneuver, the surfer quickly turns:
A) At the bottom of the wave
B) Along the face or top of the wave
C) In the air above the wave
D) At the shore",B
"A 'blowtail' is characterized by:
A) Pushing the nose of the board out of the wave
B) Pushing the tail of the board out of the back of the wave
C) A grab on the surfboard during an air maneuver
D) A turn at the bottom of the wave",B
"The 'floater' maneuver is particularly popular on:
A) Large waves
B) Small waves
C) Flat water
D) The shorebreak",B
"A 'bottom turn' is used to:
A) Finish a ride
B) Set up other maneuvers
C) Propel the surfer into the air
D) Slow down the surfboard",B
"An 'air reverse' requires a rotation of:
A) 90 degrees
B) 180 degrees
C) 360 degrees
D) 540 degrees",B
"A 'full rotor' air maneuver involves a rotation of:
A) 90 degrees
B) 180 degrees
C) 360 degrees
D) 540 degrees",C
"What is the ultimate maneuver in surfing known for being performed inside the breaking wave?
A) The air
B) The floater
C) The cutback
D) The tube ride",D
"Hanging Five on a longboard involves:
A) Both feet at the back of the board
B) One foot near the front with five toes off the edge
C) Both feet on the front end with all toes off the edge
D) Performing a 360-degree rotation in the air",B
"A 'top-turn' is sometimes used to:
A) Generate speed
B) Propel the surfer into the air
C) End the ride
D) Start the ride",A
"The maneuver called 'cutback' involves:
A) Generating speed down the line and then turning back to reverse direction
B) Riding on top of the breaking wave
C) Quickly turning along the face of the wave
D) Pushing the tail of the board out of the back of the wave",A
"During an air maneuver, a surfer can help land by:
A) Paddling harder
B) Grabbing the surfboard
C) Closing their eyes
D) Shouting loudly",B
"When a surfer achieves a 540-degree air, they complete:
A) One full rotation plus another 180 degrees
B) Two full rotations
C) Half a rotation
D) A backflip",A
"The 'alley-oop' is a full rotation air performed:
A) Frontside on a wave spinning the opposite of an air reverse
B) Backside on a wave spinning the opposite of an air reverse
C) Frontside with a backflip
D) Backside with a double grab",A
"The term 'getting tubed' refers to:
A) Performing a floater maneuver
B) Riding on top of the breaking curl of the wave
C) Remaining inside the tube of the wave
D) Executing a strong turn and cutback",C
"A 'backflip' in surfing is typically performed by:
A) Beginner surfers
B) Elite-level surfers
C) All surfers
D) Surfers on small waves",B
"The term 'off the lip' refers to:
A) Riding on top of the breaking curl of the wave
B) Banking off the crest of the breaking wave
C) Remaining inside the tube of the wave
D) Generating speed down the line",B
"A 'rotational air' requires a rotation of at least:
A) 45 degrees
B) 90 degrees
C) 180 degrees
D) 360 degrees",B
"The maneuver where a surfer pushes the tail of the board out of the back of the wave is called:
A) A cutback
B) A snap
C) A floater
D) A blowtail",D
"Jetties are primarily constructed along bodies of water for several purposes. Which of the following is NOT one of the reasons for building jetties?
A) To regulate erosion
B) To preserve navigation channels
C) To make harbors
D) To increase fish populations",D
"Jetties are classified based on certain criteria. What are the two main controlling variables that determine the classification of jetties?
A) The material used and the cost of construction
B) The type of delta and the size of the jetty
C) The depth of the water and the length of the jetty
D) The angle at which they intersect the shoreline and the flow of water",B
"What technique do warmer-water surfers use to prevent injuries from stingrays?
A) The stingray jump
B) The stingray shuffle
C) The stingray dash
D) The stingray swim",B
"At what type of surf breaks are surfers more likely to be seriously injured due to collisions with the sea bed?
A) River breaks
B) Point breaks
C) Reef breaks and beach breaks
D) Harbor breaks",C
"During which tidal condition is the risk of collision with the sea bed at reef breaks and beach breaks heightened?
A) High tide
B) Low tide
C) Rising tide
D) Falling tide",B
"What problem do completely artificial wave pools aim to solve?
A) High construction costs
B) The lack of professional surfers
C) The occurrence of a ""flat spell"" with no waves
D) The risk of shark attacks",C
"What is a primary reason there are only a few wave pools that can simulate good surfing waves?
A) Lack of interest in surfing
B) High operation costs and potential liability
C) Difficulty in finding suitable locations
D) Insufficient technological advancements",B
"What characteristic do most wave pools' waves lack?
A) Warmth
B) Color
C) Size and power
D) Salinity",C
"How were the waves in the Seagaia Ocean Dome directed?
A) Using wind turbines
B) By adjusting the sea floor
C) Through a specialized pump with vertical tanks
D) Via computer simulations",C
