Question,Answer
"The stand-alone European Aquatics Artistic Swimming Championships in 2023 was unique because it was the first time it:
A) included mixed duets.
B) took place outside the larger European Aquatics Championships.
C) introduced a new scoring system.
D) was canceled.",B
"In the revised scoring system for free routines as of 2021, which components are now valued more than artistic impression?
A) Execution only
B) Difficulty only
C) Both execution and difficulty
D) Neither execution nor difficulty",C
"What is the maximum number of competitors allowed in a group for Free Combination and Highlight routines?
A) 4
B) 6
C) 8
D) 10",D
"What is the purpose of sculling under the hips in a Back Layout?
A) To maintain buoyancy
B) To initiate a somersault
C) To increase speed
D) To change direction",A
"The Fédération internationale de natation (FINA) introduced a new mixed duet competition at which event?
A) 2012 Olympic Games
B) 2015 World Aquatics Championships
C) 2016 European Aquatics Championships
D) 2022 FINA Artistic Swimming World Series",B
"Which event in 2022 allowed men to compete as soloists for the first time?
A) FINA Artistic Swimming World Series
B) World Aquatics Championships
C) European Aquatics Championships
D) Olympic Games",A
"When did men's solo events make their debut at the senior World Championships level?
A) 2015
B) 2016
C) 2022
D) 2023",D
"In which year were men allowed to compete in the team event at the Olympics for synchronized swimming?
A) 2015
B) 2018
C) 2022
D) 2024",D
"What decision by the International Olympic Committee regarding the sport's name has faced controversy?
A) Changing the name to ""water ballet""
B) Renaming it to ""artistic swimming""
C) Keeping the name as ""synchronized swimming""
D) Calling it ""aquatic dancing""",B
"In what year did World Aquatics add men's solo events to the artistic swimming program at a World Aquatics Championships?
A) 2020
B) 2021
C) 2022
D) 2023",D
"What was the primary criticism against the renaming of synchronized swimming to ""artistic swimming""?
A) It was too similar to artistic gymnastics
B) It diminished the athleticism of the sport
C) It was not a well-known term
D) It was too difficult to pronounce",B
"Which country's Deputy Prime Minister vowed to keep the name synchronized swimming after FINA's rebranding?
A) Canada
B) Australia
C) Russia
D) United States",C
"What technique did Gertrude Ederle use to break the world record for crossing the English Channel?
A) Breaststroke
B) Butterfly stroke
C) Crawl stroke
D) Backstroke",C
"How long is the marathon swimming event at the Olympic Games?
A) 10 kilometers
B) 21 miles
C) 32.3 kilometers
D) 45.9 kilometers",A
"Which channel swim is part of the Ocean's Seven?
A) The Panama Channel
B) The Molokai Channel
C) The Palk Strait
D) The Bering Strait",B
"Who became the first person to complete the Ocean's Seven?
A) Gertrude Ederle
B) Captain Matthew Webb
C) Steve Redmond
D) Diana Nyad",C
"What is the distance of the swim around Manhattan Island in New York City, USA?
A) 21 miles
B) 20.1 miles
C) 28.5 miles
D) 34 kilometers",C
"Which of the following is NOT one of the channel swims included in the Ocean's Seven?
A) North Channel between Ireland and Scotland
B) Cook Strait between the North and South Islands of New Zealand
C) The English Channel between England and France
D) The Strait of Malacca between Malaysia and Indonesia",D
"In which settings is the headstand NOT traditionally practiced?
A) Yoga
B) Breakdancing
C) Acrobatics
D) Swimming",D
"Hand walking is a form of locomotion used in various athletic activities. Which of the following is NOT one of the activities mentioned where hand walking is performed?
A) Acro dance
B) Circus acrobatics
C) Gymnastics
D) Swimming",D
"Which of the following athletic activities does NOT typically feature the back walkover maneuver?
A) Acro Dance
B) Cheerleading
C) Rhythmic Gymnastics
D) Swimming",D
"Which of the following activities is NOT mentioned as one where handsprings are performed?
A) Acro dance
B) Cheerleading
C) Gymnastics
D) Swimming",D
"Which of the following activities is NOT mentioned as one where a handspring might be performed?
A) Gymnastics
B) Acro dance
C) Cheerleading
D) Swimming",D
"In which of the following activities is a cartwheel NOT typically performed?
A) Performance dance
B) Gymnastics
C) Swimming
D) Capoeira",C
"In which of the following athletic activities is a handstand NOT typically performed?
A) Acro dance
B) Cheerleading
C) Swimming
D) Basketball",D
"In swimming, a 200 meter freestyle time of 2 minutes 30 seconds is worth how many points?
A) 200 points
B) 250 points
C) 300 points
D) 350 points",B
"When approaching the wall, competitive swimmers often know how many strokes they need for a lane by:
A) Guessing based on their speed
B) Counting the number of breaths taken
C) Using visual cues like signal flags or the color change in separating lines
D) Asking the coach for a signal",C
"Prior to September 1992, how were swimmers required to touch the wall before initiating a turn in backstroke events?
A) While facing down
B) While on their breast
C) While on their back
D) With both hands simultaneously",C
"After the rule change in September 1992, swimmers are allowed to do which of the following when approaching the wall?
A) Perform a double somersault
B) Turn to their breast and make one push/pull phase with one arm
C) Remain completely submerged until the turn is completed
D) Use any stroke to push off the wall",B
"During the half tumble turn forward, where should the swimmer's arms be positioned?
A) Alongside the body
B) In the forward position
C) On their back
D) Above the head",B
"What type of kick is most commonly used by swimmers for speed after pushing off the wall?
A) Breaststroke kick
B) Freestyle kick
C) Butterfly kick
D) Scissor kick",C
"According to the 2020 USA Swimming Rulebook, how must a swimmer finish the race in backstroke events?
A) By touching the wall with both hands while on the back
B) By touching the wall while lying on their back
C) By touching the wall while completely submerged
D) By touching the wall while facing down",B
"What is the required body position of a swimmer when touching the wall at the finish of a backstroke race?
A) More than 90 degrees out of the horizontal
B) Less than 90 degrees out of the horizontal
C) In a vertical position
D) Completely submerged",B
"In backstroke swimming, the arm stroke is divided into two main parts: the power phase and the __________.
A) Glide phase
B) Kick phase
C) Recovery phase
D) Breath phase",C
"During the power phase in backstroke, the hand enters the water pinkie finger first at a __________ degree angle.
A) 30
B) 45
C) 60
D) 90",B
"The arm's power phase in backstroke follows a __________ path from the catch to the side of the hip.
A) Straight
B) Zig-zag
C) Semi-circular
D) Linear",C
"The finish of the power phase in backstroke occurs when the palm flaps down to a depth of __________ cm.
A) 30
B) 45
C) 60
D) 75",B
"In backstroke, to prepare for the recovery phase, the palms point towards the __________ and the thumb side points upwards.
A) Head
B) Legs
C) Side
D) Sky",B
"During the recovery phase in backstroke, the recovering arm moves in a semicircle straight over the __________.
A) Head
B) Shoulders
C) Hips
D) Knees",B
