Question,Answer
"What is the role of the ITTF in the sport of table tennis?
A) Providing financial support to players
B) Maintaining an international ranking system and organizing events
C) Selling table tennis equipment worldwide
D) Training all international table tennis players",B
"Which organization was responsible for the governance of table tennis for persons with a disability before 2007?
A) The International Olympic Committee
B) The International Paralympic Committee
C) The European Table Tennis Union
D) USA Table Tennis",B
"What is the name of the governing body responsible for table tennis in Europe?
A) The Asian Table Tennis Union
B) The African Table Tennis Federation
C) The European Table Tennis Union
D) The Pan-American Table Tennis Association",C
"Who is the national governing body for table tennis in the United States?
A) The United States Olympic Committee
B) The National Collegiate Athletic Association
C) The United States Table Tennis Association
D) USA Table Tennis",D
"In which scenario would a player NOT score a point?
A) The opponent's ball passes over the player's court without touching it
B) The ball accidentally hits the player's hand and then the racket
C) The opponent touches the net assembly during play
D) The opponent's free hand touches the playing surface",B
"What is the consequence of the opponent committing a second offense after being warned by the umpire?
A) A replay of the point
B) A point for the player
C) A two-point penalty for the opponent
D) Transfer of penalty points to the next game",B
"What occurs if both players reach 10 points in a game?
A) The game ends in a draw
B) The next point wins the game
C) The game continues until one player has a 2-point lead
D) A tie-breaker round is played",C
"If the opponent strikes the ball with a side of the racket blade that is not covered with rubber, what is the result?
A) The opponent scores a point
B) The player receives a warning
C) The player scores a point
D) The rally is replayed",C
"When executing a backspin in table tennis, the bottom half of the ball should be rotating:
A) Towards the player
B) Away from the player
C) In a static position
D) In a topspin motion",B
"At the professional level, backspin is used defensively to:
A) Increase the ball's speed
B) Make the ball bounce higher
C) Keep the ball low
D) Create a curve in the ball's trajectory",C
"Why is backspin commonly employed in service?
A) It is easier to produce an offensive return
B) It makes the ball easier to catch
C) It is harder to produce an offensive return
D) It allows the ball to travel faster",C
"Which type of spin do most professional players serve with?
A) Backspin only
B) Topspin only
C) Sidespin with either backspin or topspin
D) No spin",C
"What is the effect of backspin on the speed with which one can hit the ball without missing the opponent's side of the table?
A) It allows for greater speed
B) It has no effect on speed
C) It limits the speed
D) It doubles the speed",C
"Smashing with backspin offensively is possible, but under what specific condition?
A) On low balls that are far from the net
B) On any balls regardless of their position
C) On high balls that are close to the net
D) Only when the opponent is unprepared",C
"After the 2000 Olympics, the ITTF replaced the older 38 mm table tennis balls with a larger size to _______.
A) increase the ball's weight
B) decrease the ball's air resistance
C) increase the ball's air resistance
D) make the balls more colorful",C
"The change from the older 38 mm balls to the 40 mm balls in table tennis was officially made in _______.
A) July 2014
B) September 2001
C) October 2000
D) 2002",C
"The ITTF's introduction of the 11-point scoring system was intended to _______.
A) slow down the game
B) make games more fast-paced and exciting
C) reduce the ball's air resistance
D) increase the server's advantage",B
"In the new scoring system adopted by the ITTF, the serve rotation was reduced from five points to _______.
A) four points
B) three points
C) two points
D) one point",C
"As of July 2014, all table tennis events are played with balls made of _______.
A) the original celluloid material
B) a new poly material
C) a lightweight composite
D) a heavier rubber compound",B
"The ITTF's rule changes in the early 2000s were aimed at making table tennis more _______ as a televised spectator sport.
A) challenging for players
B) viable
C) exclusive
D) traditional",B
"According to ITTF rule 2.13.1, how is the first service in a game of table tennis decided?
A) By a predetermined schedule
B) By the highest-ranked player's choice
C) By lot, normally a coin toss
D) By the player who wins the first point",C
"If a player guesses correctly in which hand the ball is hidden under the table, what options does the ""winner"" have?
A) Choose to serve only
B) Choose to receive only
C) Choose to serve, receive, or pick a side of the table
D) Choose the color of the ball for the game",C
"What is a common but non-sanctioned method players sometimes use to decide the first service?
A) Flipping a paddle
B) Playing the ball back and forth three times and then playing out the point
C) Rock-paper-scissors
D) Asking the umpire to decide",B
"What is the correct or incorrect guess in the hand-guessing method primarily used for?
A) Determining the winner of the match
B) Deciding who gets to serve first
C) Assigning points to the players
D) Choosing the type of ball to be used in the match",B
"An official hall of fame for table tennis is located at the ________.
A) Olympic Village
B) ITTF Museum
C) World Cup headquarters
D) International Sports Hall of Fame",B
"A player earns a Grand Slam title in table tennis by winning singles crowns at all of the following events EXCEPT:
A) The Olympic Games
B) The ITTF Grand Prix
C) The World Championships
D) The World Cup",B
"Who was the first player to complete a Grand Slam at the 1992 Olympic Games?
A) Ma Lin
B) Deng Yaping
C) Jan-Ove Waldner
D) Jörgen Persson",C
"Deng Yaping of China is notable for being the first female to record a win at the ________.
A) Olympic Games
B) World Championships
C) Inaugural Women's World Cup in 1996
D) ITTF Grand Prix",C
"Which of the following players has won both the World Championships and the World Cup, but lost in the Olympic gold medal matches?
A) Jean-Philippe Gatien
B) Ma Lin
C) Jörgen Persson
D) Liu Shiwen",A
"In table tennis, what is the primary surface used for play?
A) A grass field
B) A clay court
C) A stationary table
D) An ice rink",C
"How many players can form a team in a competitive table tennis match?
A) One or two
B) Three or four
C) Five or six
D) Seven or eight",A
"What aspect of table tennis is emphasized more than in other ball sports?
A) Speed
B) Power
C) Spin
D) Endurance",C
"Since what year has table tennis been an Olympic sport?
A) 1976
B) 1988
C) 1992
D) 2008",B
"What is the role of the International Table Tennis Federation (ITTF)?
A) Organizing tennis tournaments
B) Governing table tennis and specifying its rules
C) Promoting basketball internationally
D) Regulating football clubs",B
"How many member associations are currently included in the ITTF?
A) 100
B) 150
C) 226
D) 300",C
"In a standard game, how often do players alternate service?
A) After every point
B) After every two points
C) After every game
D) After every five points",B
"What happens when both players reach ten points in a game?
A) They continue with the same service order
B) The player who reached ten points first serves
C) Service alternates after every point
D) The game is paused to determine the winner",C
"If the expedite system is in operation, how does service alternation change?
A) Service alternates after every two points
B) Service alternates after every three points
C) Service alternates after every point
D) There is no change in service alternation",C
"When players switch sides of the table during a match?
A) After each set
B) After each game
C) When a player scores ten points
D) After every two points",B
"In doubles table tennis, when do pairs switch ends of the table?
A) After each game
B) When a pair reaches 5 points in the final game
C) After every two services
D) At the start of each new match",B
"If the initial order of play in a doubles match is A→X→B→Y, what is the correct order of play in the second game?
A) X→A→Y→B
B) A→B→X→Y
C) B→Y→A→X
D) Y→B→X→A",A
"In doubles, what is the sequence of players hitting the ball during a rally?
A) A→B→X→Y
B) A→X→B→Y
C) A→Y→B→X
D) A→X→Y→B",B
"How is the first receiver chosen in the second or latter games of a doubles match?
A) The player who served first in the previous game
B) The player who received first in the previous game
C) The partner of the first server in the previous game
D) The player who served to the first server of the game in the preceding game",D
"In doubles, how is the order of service determined at the start of each game after the first?
A) The order is the same as the first game
B) The order is reversed from the previous game
C) The order is randomly chosen
D) The order is decided by the umpire",B
"When does the receiving pair in a doubles match have the opportunity to choose who will receive first?
A) At the beginning of each game
B) Only in the first game of the match
C) Whenever they score a point
D) After each change of service",B
"If players A and B are partners, and A serves to X, who will X serve to when it is their turn?
A) Player A
B) Player B
C) Player Y
D) Player X does not serve",B
"What must happen when a pair reaches 5 points in the final game of a doubles match?
A) They win the match
B) They switch ends of the table and change the receiver
C) They are awarded an extra point
D) They call a timeout",B
"What is the correct order of play after the change of service if the previous order was X→B→Y→A?
A) B→Y→A→X
B) Y→A→X→B
C) A→X→B→Y
D) X→A→Y→B",A
"If the order of play is A→X→B→Y at the beginning of the first game, who will be the first server in the second game?
A) Player A
B) Player B
C) Player X
D) Player Y",C
"According to ITTF regulations, what is the minimum height clearance required for a playing area in table tennis?
A) 4 m (13.1 ft)
B) 5 m (16.4 ft)
C) 6 m (19.7 ft)
D) 7 m (23.0 ft)",B
"For wheelchair table tennis events, what is the minimum required width of the playing space as per ITTF regulations?
A) 5 m (16.4 ft)
B) 6 m (19.7 ft)
C) 7 m (23.0 ft)
D) 8 m (26.2 ft)",B
"The shakehand grip in table tennis is often compared to a handshake because:
A) It is a formal way to start a match
B) The racket is held with the thumb up
C) The racket is grasped as if one is performing a handshake
D) It is a traditional greeting among players",C
"The ""Western"" grip in table tennis is associated with players from:
A) Western tennis traditions
B) Western United States
C) Western nations such as Europe and the Americas
D) Western parts of China",C
"The shakehand grip is NOT related to the Western tennis grip because:
A) It is not popularized on the West Coast of the United States
B) The racket is not rotated 90° in table tennis
C) The wrist is turned differently on impact
D) All of the above",D
"Why is the shakehand grip considered versatile?
A) It allows for a variety of serves
B) It is suitable for both offensive and defensive play
C) It can only be used by professional players
D) It is the only grip used in China",B
