Question,Answer
"In the ""Spinning Setup Moon Kick,"" what is the purpose of the extra spin performed before the moon kick?
A) To gain momentum
B) To increase height
C) To improve balance
D) To add aesthetic value",A
"What distinguishes a ""Swinging Moon Kick"" from other variations?
A) It involves a double jump.
B) It includes a backward flip.
C) It is accompanied by swinging of the arms.
D) It requires a partner.",C
"In gymnastics, what is a moon kick also known as?
A) Flip the Sun
B) Kick the Moon
C) Star Jump
D) Lunar Leap",B
"Which move is similar to a moon kick but often confused with it?
A) Cartwheel
B) Flashkick
C) Backflip
D) Roundhouse Kick",B
"What is the Korean name for the uniform worn by Taekwondo practitioners?
A) Gi
B) Dobok
C) Hakama
D) Kimono",B
"When was the Korea Taekwondo Association (KTA) formed?
A) 1959
B) 1966
C) 1972
D) 1973",A
"Which of the following martial arts influenced the development of Taekwondo?
A) Karate and Taekkyon
B) Kung Fu and Judo
C) Aikido and Hapkido
D) Muay Thai and Capoeira",A
"The International Taekwon-Do Federation (ITF) was founded by whom?
A) Choi Hong-hi
B) Jigoro Kano
C) Morihei Ueshiba
D) Bruce Lee",A
"Since which year has Gyeorugi been an Olympic event?
A) 1988
B) 1992
C) 2000
D) 2004",C
"What year was Taekwondo officially designated as Korea's national martial art by the South Korean government?
A) 1988
B) 2000
C) 2015
D) 2018",D
"In Taekwondo, the sets of prescribed formal sequences of movements that demonstrate mastery of posture, positioning, and technique are called:
A) katas
B) hyeong, pumsae, or tul
C) wazas
D) forms",B
"What is one of the major technical differences among Taekwondo styles and organizations?
A) The color of the belts
B) The patterns practiced by each style
C) The type of equipment used
D) The duration of each match",B
"What is the name of the style of taekwondo practiced by the American Taekwondo Association (ATA)?
A) Chang Hon-style Taekwondo
B) Kukkiwon-style Taekwondo
C) Songahm-style Taekwondo
D) Moo Duk Kwan-style Taekwondo",C
"What was the purpose of establishing international spin-offs like the Songahm Taekwondo Federation (STF) and the World Traditional Taekwondo Union (WTTU)?
A) To promote the practice of Songahm Taekwondo internationally
B) To compete with other martial arts
C) To establish a new form of martial art
D) To unify all martial arts under one organization",A
"Which city did Haeng Ung Lee choose to relocate to when he established the ATA in the United States?
A) New York, New York
B) Los Angeles, California
C) Omaha, Nebraska
D) Chicago, Illinois",C
"The Hwarang commandments form the historical basis for the philosophical underpinnings of __________. 
A) Judo 
B) Karate 
C) Taekwondo 
D) Kung Fu",C
"The oath authored by Choi Hong-hi includes a pledge to ""be a champion of freedom and __________."" 
A) Equality 
B) Justice 
C) Strength 
D) Honor",B
"The World Taekwondo Federation (WTF) philosophy centers on the development of a peaceful society and is influenced by the __________ spirit. 
A) Samurai 
B) Shaolin 
C) Hwarang 
D) Ninja",C
