Question,Answer
"In tennis, the yips most often affects the ________ serve, leading to multiple double faults.
A) first
B) second
C) third
D) underhand",B
"Which player served a record of 20 double faults in his 2019 Cincinnati Masters first round loss?
A) Guillermo Coria
B) Alexander Zverev
C) Miomir Kecmanović
D) Aryna Sabalenka",B
"Aryna Sabalenka served up 39 double faults in her two first round losses at which tournaments in 2022?
A) Wimbledon and US Open
B) French Open and Wimbledon
C) Adelaide 1 and Adelaide 2
D) Australian Open and French Open",C
"Guillermo Coria, a former world no.3, suffered from which of the following during the 2000s?
A) Ankle injuries
B) Service yips
C) Elbow injuries
D) Backhand inconsistency",B
"Medial epicondylitis is often diagnosed by the presence of characteristic pain during activities that require strength in _______.
A) wrist extension
B) wrist flexion
C) elbow flexion
D) shoulder abduction",B
"During the examination for medial epicondylitis, pain is specifically expected with resisted _______.
A) wrist flexion
B) wrist extension
C) elbow extension
D) finger abduction",A
"How many women have completed a ""Career Grand Slam"" during the four-major era?
A) Four
B) Five
C) Six
D) Seven",C
"After how many weeks does a player receive the full ranking points earned in an event before they start to reduce?
A) 12 weeks
B) 13 weeks
C) 14 weeks
D) 104 weeks",B
"By what factor are the ranking points reduced each week after the initial period where full points are earned?
A) 1/104
B) 1/92
C) 1/13
D) 1/2",B
"In which week do the ranking points from an event completely disappear from a player's record?
A) Week 92
B) Week 100
C) Week 104
D) Week 105",D
"The minimum ranking points a player must earn for an event is ______.
A) 1.0
B) 1.2
C) 1.5
D) 2.0",B
"In the initial ranking system, what was the minimum number of points a winner could receive for ""other tournaments""?
A) 5 points
B) 8 points
C) 10 points
D) 12 points",B
"In what year were the rankings first published?
A) 1984
B) 1985
C) 1986
D) 1987",C
"In September 2001, the tapering system was changed so that points for each result were no longer doubled if they occurred in the most recent how many months?
A) 6 months
B) 9 months
C) 12 months
D) 15 months",C
"What does the term ""Tsubame Gaeshi"" literally translate to in English?
A) Swallow Counter
B) Eagle Return
C) Swift Reversal
D) Falcon Sweep",A
"The total duration of the Isner–Mahut match was:
A) 8 hours, 11 minutes
B) 11 hours, 5 minutes
C) 10 hours, 40 minutes
D) 9 hours, 58 minutes",B
"The official longest tie-break on record, consisting of 50 points, occurred in the year:
A) 1985
B) 2010
C) 2013
D) 2022",A
"The unofficial longest tie-break, which is not recognized due to the absence of official scorekeeping, featured how many points?
A) 24 points
B) 34 points
C) 50 points
D) 70 points",B
"Since 2022, the ""super tiebreaker"" is used in the 5th-set for men's and 3rd-set for women's matches, requiring a player to reach how many points to win?
A) 7 points
B) 8 points
C) 10 points
D) 12 points",C
"The ""super tiebreaker"" was first introduced at which Grand Slam tournament?
A) Wimbledon
B) US Open
C) French Open
D) Australian Open",D
"If the ""super tiebreaker"" game is tied at 9-all, a player must win by how many consecutive points to claim the match?
A) One point
B) Two points
C) Three points
D) Four points",B
"In the event of a tie at 9-all during a ""super tiebreaker,"" the match will be won by the player who first achieves a lead of:
A) 1 point
B) 2 points
C) 3 points
D) 4 points",B
"The 2010 Wimbledon Championships featured the longest match in tennis history, which was played between John Isner and:
A) Michael Mortensen
B) Nicolas Mahut
C) Jan Gunnarson
D) Victor Pecci",B
"The ""ABBA"" sequence of taking penalties mirrors the serving sequence in which sport?
A) Badminton
B) Volleyball
C) Tennis
D) Table Tennis",C
"What is the role of a ball boy or ball girl?
A) To coach players
B) To keep score
C) To retrieve balls that go out of play
D) To assist the referees",C
"What is the role of a ""ball boy"" or ""ball girl""?
A) To coach players
B) To referee the match
C) To retrieve balls out of play
D) To keep score",C
"Compared to other shots, the backhand shot is generally:
A) more powerful and accurate
B) less powerful and less accurate
C) equally powerful but less accurate
D) less powerful but more accurate",B
"Backhand shots are most commonly used in which of the following situations?
A) During a face-off
B) On breakaways
C) When passing to a teammate
D) During a penalty shot",B
"According to the custom started in the late 1970s, what did five-time Wimbledon champion Björn Borg do before the Wimbledon tournament?
A) He would change his racket
B) He would let his beard grow
C) He would train with a new coach
D) He would write an article for Sports Illustrated",B
"Which magazine published an article about Björn Borg's custom shortly before the 1981 Wimbledon tournament?
A) Time Magazine
B) Sports Illustrated
C) ESPN The Magazine
D) Tennis Magazine",B
"Striking the ball with a 'closed' face can cause the ball to _______.
A) stop
B) roll
C) rise
D) deflate",C
"Ensuring vertical and flat contact with the ball is the responsibility of the _______.
A) referee
B) coach and player
C) audience
D) stick manufacturer",B
"Composite sticks are generally _______ than the previous wood versions.
A) heavier
B) lighter
C) the same weight
D) more colorful",B
"The modern stick does not have as much of an issue with toe height due to _______.
A) the color of the stick
B) the weight and rotational balance
C) the length of the game
D) the number of players",B
"An increase in the height of the toe over the ball is most pronounced in the more _______ shape.
A) closed
B) open
C) straight
D) curved",B
"The common playing angle for a forehand strike is _______ degrees.
A) 45
B) 90
C) 180
D) 360",A
"To avoid 'squeezing' or 'clipping' the ball, striking it with a 'closed' face is _______.
A) always a solution
B) not always a solution
C) irrelevant
D) the only method",B
"The design of the stick can assist in ensuring the correct contact position by being _______.
A) heavier
B) tapered
C) colorful
D) longer",B
"Young players today are less likely to use the 25–26 oz sticks that were common in the _______.
A) 1980s
B) 1990s
C) 1970s
D) 2000s",C
"How many victories must a team achieve in a Davis Cup series to render the remaining matches as ""dead rubbers""?
A) Two
B) Three
C) Four
D) Five",B
"When was the International Tennis Federation's last revision of the competition policies on dead rubbers?
A) 2005
B) 2008
C) 2011
D) 2014",C
"In professional tennis matches, when does a tiebreaker rule typically come into play within a set?
A) When the score is 5–all
B) When the score is 6–all
C) When a player wins six games
D) When each player has won seven games",B
"What is the minimum number of points a player must reach to win a tiebreaker game?
A) Six points
B) Seven points
C) Eight points
D) Ten points",B
"How many consecutive points must a player win to clinch the tiebreaker if the score is tied at 9-all?
A) One point
B) Two points
C) Three points
D) Four points",B
"As of 2022, what is the format used for final set tiebreakers in all Grand Slam tournaments?
A) Traditional advantage set
B) 7-point tiebreaker
C) 10-point tiebreaker
D) 12-point tiebreaker",C
"What is the minimum lead required to win a 10-point final set tiebreaker game?
A) One-point lead
B) Two-point lead
C) Three-point lead
D) Four-point lead",B
"Which Grand Slam tournament allowed the total number of games in a match to be virtually unlimited before changing its rules?
A) The Australian Open
B) The French Open
C) Wimbledon Championships
D) The US Open",B
"In which year did the Australian Open and Wimbledon Championships start using a final set tiebreaker?
A) 2018
B) 2019
C) 2020
D) 2021",B
"During which historic match did the final set end with a score of 70–68?
A) Federer–Nadal at the 2008 Wimbledon Championships
B) Djokovic–Murray at the 2012 US Open
C) Isner–Mahut at the 2010 Wimbledon Championships
D) Nadal–Thiem at the 2018 French Open",C
"How should the ball be tossed to the player according to the standard feeding technique?
A) Rolled on the ground towards the player
B) Thrown directly to the player's hands without bouncing
C) Gently tossed to bounce one time then to the proper height for catching
D) Tossed high for the player to jump and catch",C
"What must ball boys and girls be aware of when feeding the ball to the players?
A) The score of the match
B) The color of the ball
C) The player's preference
D) The speed of the wind",C
"How are ball boys and girls typically selected for tournaments like Wimbledon and the Queen's Club Championships?
A) They are chosen randomly
B) They are selected by a lottery system
C) They are picked from or apply through schools
D) They are appointed by the tournament sponsors",C
"What is one of the requirements for applicants to become ball boys or girls at tournaments such as the Nottingham Open, Australian Open, and the US Open?
A) They must have previous experience
B) They must pass a physical ability assessment
C) They must be recommended by a professional player
D) They must have a degree in sports management",B
"In addition to fitness and stamina, what other abilities are essential for applicants aspiring to be ball boys or girls?
A) The ability to play basketball
B) The ability to concentrate and remain alert
C) The ability to coach other ball boys or girls
D) The ability to speak multiple languages",B
"For the selection of ball boys and girls at some tournaments, what is an alternative process to being picked from schools?
A) Automatic selection for previous participants
B) Positions are advertised and there are open try-outs
C) Selection based on academic performance
D) Selection based on a public voting system",B
"In professional tennis tournaments, what is the primary role of ball boys/girls?
A) Coaching the players
B) Providing security
C) Retrieving loose balls and delivering game balls
D) Umpiring the match",C
"Why is the quick retrieval and delivery of game balls important in tennis?
A) To maintain the rhythm of the players
B) To ensure quick play
C) To provide entertainment for the audience
D) To keep the ball boys/girls active",B
"Besides dealing with game balls, what other assistance might ball boys/girls offer players during professional tennis matches?
A) Coaching advice
B) Medical assistance
C) Delivery of towels and drinks
D) Scoring the match",C
"What is the primary role of ball boys and ball girls in basketball?
A) Coaching the players
B) Retrieving and supplying balls
C) Keeping score
D) Officiating the game",B
"On which date could Corie Hughes potentially break the record as the world's oldest ball boy?
A) July 26
B) March 15
C) The day he turns 16
D) The day he turns 18",B
"In tennis, when a player commits an error by hitting the ball so that it lands outside the playing area, this is called a(n) _______.
A) Ace
B) Double fault
C) Out
D) Let",C
"Who was the most recent tennis player to achieve the Grand Slam in singles in 1988?
A) Don Budge
B) Rod Laver
C) Steffi Graf
D) Margaret Court",C
"How many players have won four consecutive major tournaments in a row, but not in a single year?
A) Three
B) Four
C) Five
D) Six",A
"Which men's doubles team achieved the calendar-year Grand Slam in 1951?
A) Ken McGregor and Frank Sedgman
B) Owen Davidson and Ken Fletcher
C) Bob and Mike Bryan
D) John McEnroe and Peter Fleming",A
"In what year did Martina Hingis win the Grand Slam in women's doubles with different partners?
A) 1960
B) 1984
C) 1998
D) 2009",C
"Which women's doubles team won six consecutive Slam events in 1992-93?
A) Serena and Venus Williams
B) Gigi Fernández and Natasha Zvereva
C) Martina Navratilova and Pam Shriver
D) Louise Brough and her partners",B
"Who won five consecutive Grand Slam events with two different partners in 1986-87?
A) Maria Bueno
B) Martina Navratilova
C) Billie Jean King
D) Natasha Zvereva",B
"How many times has Serena Williams won four consecutive major tournaments in a row?
A) Once
B) Twice
C) Three times
D) Four times",B
"Who completed the non-consecutive Grand Slam in mixed doubles the year after teaming with Billie Jean King for the last three events of his 1967 Grand Slam?
A) Ken Fletcher
B) Owen Davidson
C) Dick Crealy
D) Bob Bryan",B
"In which year did Ken McGregor and Frank Sedgman achieve the feat in men's doubles?
A) 1949
B) 1951
C) 1963
D) 1984",B
"Who individually won all four Grand Slam events in a year, but with different partners, in mixed doubles in 1965?
A) Margaret Court
B) Maria Bueno
C) Martina Hingis
D) Gigi Fernández",A
"Which of the following pairs is NOT a correct match of player(s) to their achievement?
A) Ken McGregor and Frank Sedgman - men's doubles calendar-year Grand Slam in 1951
B) Martina Navratilova and Pam Shriver - women's doubles calendar-year Grand Slam in 1984
C) The Williams sisters - non-calendar Grand Slam in mixed doubles in 2009-10
D) Gigi Fernández and Natasha Zvereva - six consecutive Slam events in 1992-93",C
"In which years did the Washington Kastles of World Team Tennis complete back-to-back perfect seasons?
A) 2010 and 2011
B) 2011 and 2012
C) 2012 and 2013
D) 2009 and 2010",B
"The Washington Kastles' 32-game winning streak was one short of the all-time professional sports record in the United States held by which team?
A) 1970–71 Milwaukee Bucks
B) 1971–72 Los Angeles Lakers
C) 1983–84 Boston Celtics
D) 1995–96 Chicago Bulls",B
"In the event of a tie at normal time, what is used to determine the winner in both versions of the game?
A) Penalty shootout
B) Extra time
C) Sudden death
D) Judges' decision",B
"In professional tennis, when do players typically engage in a tiebreaker game during a set?
A) After 5 games
B) At 6–all
C) Before the match starts
D) When one player reaches 10 points",B
"What is the minimum point difference required to win a tiebreaker game?
A) 1 point
B) 3 points
C) 2 points
D) 4 points",C
"Which Grand Slam tournament allowed the final set to continue without a tiebreaker, leading to an almost unlimited number of games?
A) US Open
B) French Open
C) Australian Open
D) Wimbledon",B
"How did the final set of the Isner–Mahut match at the 2010 Wimbledon Championships conclude?
A) With a tiebreaker at 7 points
B) John Isner won 70–68
C) Nicolas Mahut won 68–70
D) The match was a draw",B
"When did the Australian Open and Wimbledon Championships start using a final set tiebreaker?
A) 2017
B) 2018
C) 2019
D) 2020",C
"As of 2022, what is the format for final set tiebreakers in all Grand Slam tournaments?
A) 7-point game
B) 12-point game
C) 10-point game
D) Unlimited games",C
"What happens if the tiebreaker game deciding the match is tied at 9-all?
A) The player with the most aces wins
B) The game continues until a 4-point lead
C) Play is suspended
D) Whoever scores two straight points wins",D
"From 2019 to 2021, after how many games in the final set did Wimbledon introduce a tiebreaker?
A) After 12 games
B) After 20 games
C) After 24 games
D) After 30 games",C
"In tennis, when the ball lands outside the playing area, it is considered an
A) ace
B) fault
C) out
D) let.",C
"What does the team that did not win the coin toss decide in tennis?
A) Which player serves first
B) The type of tennis balls used
C) Which end of the court to play on first
D) The number of sets to be played",C
"Who is recognized as the founder of the Women's Tennis Association?
A) Leonard Bloom
B) Nancy Jeffett
C) Billie Jean King
D) Larry King",C
"Which individual is known for promoting women's tennis, but is not listed as a co-founder of World Team Tennis?
A) Leonard Bloom
B) Nancy Jeffett
C) Billie Jean King
D) Dennis Murphy",B
"Which of the following sports does NOT typically use zone defense principles?
A) Basketball
B) Ice Hockey
C) Lacrosse
D) Tennis",D
"At the professional level, topspin is the least common type of spin in service because _______.
A) it is difficult to control
B) it is less effective than other spins
C) it is easier to attack a top-spin ball that is not moving at high speed
D) players prefer to use backspin",C
"In tennis, the yips most often affects the _______ serve, leading to multiple double faults.
A) first
B) second
C) third
D) fourth",B
"Which player served a record of 20 double faults in his 2019 Cincinnati Masters first round loss?
A) Alexander Zverev
B) Guillermo Coria
C) Miomir Kecmanović
D) Aryna Sabalenka",A
"Aryna Sabalenka served up 39 double faults in her two first round losses in the 2022 Adelaide 1 and ______ tournaments.
A) Adelaide 2
B) Sydney International
C) Brisbane International
D) Hobart International",A
"Guillermo Coria, a former world no.3, suffered from _______ in the 2000s.
A) ankle injuries
B) elbow injuries
C) service yips
D) wrist injuries",C
"Which of the following female tennis officials is from France?
A) Eva Asderaki-Moore
B) Aurelie Tourte
C) Mariana Alves
D) Marija Čičak",B
"Marijana Veljović is a tennis official representing which country?
A) China
B) Serbia
C) Italy
D) Norway",B
"How many line umpires work on court as part of a team?
A) Between one and three
B) Between one and six
C) Between one and nine
D) More than ten",C
"What is the responsibility of a line umpire on the receiver's side after a service?
A) To move to one of the sidelines
B) To sit down
C) To leave the court
D) To signal the score",A
"How does a line umpire signal a ball that is ""out""?
A) By shouting ""safe""
B) By raising both hands knee-high
C) By making a verbal ""out"" call and extending the arm
D) By holding their hands beside their head",C
"When is it the chair umpire's responsibility to call a shot?
A) When the line umpire signals with both hands together knee-high
B) When the line umpire is obstructed by a player
C) When the line umpire makes a verbal ""out"" call
D) When the line umpire is on a break",B
"What are baseline umpires responsible for?
A) Calling the score
B) Watching if the server touches the baseline before the ball is struck
C) Checking the net height
D) Monitoring the crowd noise",B
"How are foot faults called by center service line umpires?
A) With a shout of ""Good""
B) With a horizontal arm movement
C) With a verbal ""Footfault"" call and a vertical arm extension
D) By holding hands knee-high",C
"What technological advancement was employed at the 2020 US Open to reduce staff?
A) Virtual reality headsets
B) Electronic line judges
C) Drones
D) Automated scoring systems",B
"Which stadiums at the 2020 US Open did not use electronic line judges?
A) Arthur Ashe Stadium and Louis Armstrong Stadium
B) Rod Laver Arena and Margaret Court Arena
C) Wimbledon Centre Court and No.1 Court
D) Roland Garros Philippe Chatrier Court and Suzanne Lenglen Court",A
"At which Grand Slam event were electronic line judges used for the first time in all matches?
A) 2020 US Open
B) 2021 Australian Open
C) 2020 Wimbledon
D) 2021 French Open",B
"What does a line umpire do when a player obstructs their view and they are unable to call a shot?
A) They leave the court
B) They make a guess
C) They hold their hands beside their head
D) They call a time-out",C
"Who served as the chair umpire for the longest match ever played on a professional tour at the 2010 Wimbledon Championships?
A) Mohamed El Jennati
B) Pascal Maria
C) Mohamed Lahyani
D) Carlos Ramos",C
"Which of the following chair umpires is from the United States and is now retired?
A) Jake Garner
B) Ali Nili
C) Greg Allensworth
D) Nico Helwerth",A
"From which country does Carlos Bernardes hail?
A) Argentina
B) Brazil
C) Portugal
D) Spain",B
