Question,Answer
"What level of height is typically achieved by an average eggbeater kick?
A) Waist level
B) Hip level
C) Collarbone level
D) Knee level",C
"The technique developed by Jack Sieg in 1935 involved swimming:
A) On his back
B) On his side
C) In a vertical position
D) With a single arm movement",B
"In water polo college play, how many straight 3-minute periods are played if the score is tied at the end of regulation play?
A) One
B) Two
C) Three
D) Four",B
"In water polo high school play, which methods may be incorporated to decide a tied game?
A) Penalty shootouts only
B) Golden goal periods only
C) Both penalty shootouts and golden goal periods
D) A replay of the match",C
"In water polo, if a coach receives a red card, what must they do immediately after it is issued? 
A) Take a penalty throw
B) Leave the competition area
C) Substitute a player
D) Call a timeout",B
"What is the consequence for a water polo player or team official on the bench who commits a second incident of misconduct after already receiving a yellow card?
A) They are given a warning
B) They must leave the competition area
C) They receive a penalty throw
D) The game continues without any consequence",B
"In the ADG method, the attacker has _______ seconds to score a goal.
A) 10
B) 15
C) 20
D) 25",C
"In water polo, dribbling involves moving the ball while swimming forward. How is the ball primarily propelled?
A) With the wake created by alternating armstrokes
B) By kicking the ball with the feet
C) Using the nose or forehead exclusively
D) Holding the ball and swimming with one arm",A
"When is a defender allowed to make contact with the ball carrier in water polo?
A) Only when the attacker is touching the ball
B) At any time during the game
C) When the ball is in the air
D) Never; contact is always a foul",A
"What defensive advantage does the dribbling player have when using high elbows during arm strokes?
A) It helps to swim faster
B) It shields the ball from tackles
C) It is used to signal the referee
D) It allows for better ball control",B
"Why do dribbling players occasionally nudge the ball with their nose or forehead?
A) To adjust the ball's direction
B) To signal a play to teammates
C) As a required technique by FINA
D) To confuse the opposing team",A
"According to FINA rules, what must a defending player in water polo avoid during a tackle attempt?
A) Avoiding contact with the ball
B) Avoiding contact with the dribbler's turbulent elbow motion
C) Avoiding contact with the water
D) Avoiding contact with the goalpost",B
"A goal in water polo is considered valid if the ball passes completely across the goal line, under the crossbar, and between the goal posts. What part of the attacker's body is NOT allowed to make contact with the ball for a legal goal?
A) Head
B) Hand with an open palm
C) Foot
D) Clenched fist",D
"How wide is the goal mouth in a standard game of water polo?
A) 2 metres
B) 2.5 metres
C) 3 metres
D) 3.5 metres",C
"In water polo, what is the minimum height of the goal above the surface of the water?
A) 0.9 metres
B) 1.2 metres
C) 2.4 metres
D) 3 metres",A
"When considering the placement of the water polo goal, what determines its height above the pool floor?
A) The depth of the water
B) The height of the shortest player
C) The preference of the home team
D) The width of the pool",A
"In water polo, what is it called when a player scores three times in a single game?
A) Triple goal
B) Hat-trick
C) Tri-score
D) Water treble",B
"In water polo, a goal is considered valid if the ball passes completely across the goal line, under the crossbar, and between the goal posts. If the ball makes contact with the attacker's body to score, which part is NOT allowed to make this contact?
A) Head
B) Shoulder
C) Knee
D) Clenched fist",D
"How high is the water polo goal positioned above the surface of the water?
A) 0.9 metres
B) 1.5 metres
C) 2.4 metres
D) 2 metres",A
"In water polo, when the depth of the water is considerable, the goal height is determined by its distance above:
A) The surface of the water
B) The floor of the pool
C) The deck of the pool
D) The water polo ball",B
"In water polo, what is the consequence for a coach, player, or team official who receives a red card after a second incident of misconduct or severe unsporting conduct?
A) They must apologize to the referee.
B) They receive a penalty throw.
C) They must leave the competition area.
D) They are suspended for the next match.",C
"A red card in water polo is issued for which of the following reasons?
A) A first incident of minor misconduct.
B) A second incident of misconduct after receiving a yellow card or for severe unsporting conduct.
C) Scoring a goal against the opposing team.
D) Accidental contact with an opponent.",B
"In water polo, under World Aquatics rules, which number does the starting goalkeeper wear?
A) Number 1
B) Number 13
C) Number 12
D) Number 2",A
"According to World Aquatics rules, what number is assigned to the substitute goalkeeper in water polo?
A) Number 1
B) Number 13
C) Number 12
D) Number 2",B
"What is the term used in water polo that is analogous to cherry picking in basketball?
A) Goal hanging
B) Sea-gulling
C) Loafing
D) Man over the line",B
"In what sport is setting a screen not allowed?
A) Basketball
B) Water Polo
C) Field Lacrosse
D) Ultimate",D
"What part of the body is often used by a water polo player to nudge the ball while dribbling?
A) The knee
B) The nose or forehead
C) The elbow
D) The shoulder",B
"When can a defender make contact with a water polo player who is dribbling the ball?
A) At any time
B) Only when the attacker is touching the ball
C) When the ball is underwater
D) When the attacker is not looking",B
"What is considered legal by FINA regarding defensive techniques during dribbling in water polo?
A) Tackling from behind
B) Turbulent elbow motion
C) Grabbing the opponent's swimsuit
D) Blocking the ball with two hands",B
"A goal in water polo is considered valid if the ball passes completely across the goal line, under the crossbar, and between the goal posts. What part of the attacker's body is NOT allowed to make contact with the ball for a legal goal to be scored?
A) Head
B) Elbow
C) Knee
D) Clenched fist",D
"What is the width of the goal mouth in water polo?
A) 2 metres
B) 3 metres
C) 4 metres
D) 5 metres",B
"In water polo, how high is the goal positioned above the surface of the water?
A) 0.9 metres
B) 1.5 metres
C) 2.4 metres
D) 3 metres",A
"If the pool is exceptionally deep, at what height above the pool floor will the water polo goal be set?
A) 0.9 metres
B) 1.8 metres
C) 2.4 metres
D) 3 metres",C
"A goal in water polo is scored when the ball passes completely across the goal line, under the crossbar, and between the _______.
A) goal posts
B) players
C) sidelines
D) penalty box",A
"In water polo, a goal may be scored through contact with any part of the attacker's body except a _______.
A) clenched fist
B) open hand
C) elbow
D) head",A
"The goal mouth in water polo measures 3 meters across and is either 0.9 meters above the surface of the water or _______ above the floor of the pool, whichever is higher.
A) 1.5 meters
B) 2.0 meters
C) 2.4 meters
D) 3.0 meters",C
"In water polo, what is required to be attached to the goal structure?
A) Flags
B) Nets
C) Buoys
D) Backboards",B
"If a shot bounces off a goal post and is regained by the attacking team, the shot clock is reset to _______ seconds.
A) 10
B) 20
C) 30
D) 35",B
"When the ball goes outside the goal and touches the rope or deck, what is awarded to the defense?
A) Penalty throw
B) Corner throw
C) Goal throw
D) Free throw",C
"If the goalie is the last to touch the ball before it goes out of play behind the goal line, the offense receives a __________.
A) Goal throw
B) Corner throw
C) Penalty throw
D) Free throw",B
"From a corner throw, a player may do all of the following EXCEPT:
A) Swim with the ball
B) Shoot at goal
C) Pass the ball
D) Call a timeout",D
"Goals in water polo are also scored if shots are taken before the shot clock hits ______.
A) 5
B) 10
C) 0
D) 15",C
"When a goalie blocks a shot, the defense may gain control and make a long pass to a teammate. This is allowed because there is no __________ rule.
A) Offside
B) Two-hand touch
C) Shot clock
D) Dribbling",A
"What is the minimum water depth required for a water polo pool?
A) 1.5 meters
B) 1.8 meters
C) 2.0 meters
D) 2.5 meters",B
"How wide is a water polo goal?
A) 2.5 meters
B) 3 meters
C) 3.5 meters
D) 4 meters",B
"What color is the '6 meter' line in a water polo pool?
A) White
B) Red
C) Yellow
D) Blue",C
"What is the designated color of the '2 meter' line in water polo?
A) Green
B) Yellow
C) Blue
D) Red",D
"What should a referee NOT do during a break in play?
A) Blow the whistle
B) Hand the ball to the attacking team
C) Signal for a timeout
D) Restart the game",B
"When did the '5 meter' and '6 meter' lines start being used in the Olympics?
A) 2016 Summer Olympics
B) 2020 Summer Olympics in 2021
C) 2012 Summer Olympics
D) 2008 Summer Olympics",B
"What size should the pool be for FINA approved matches for men?
A) 20x10 meters
B) 25x20 meters
C) 30x20 meters
D) 30x25 meters",C
"In what scenario is a free throw awarded in water polo?
A) When a player commits an ordinary foul
B) When the ball goes out of play
C) When a goal is scored
D) When a timeout is called",B
"In the United States, which organization is responsible for governing the rules of water polo for collegiate matches?
A) IOC
B) FINA
C) NCAA
D) NFHS",C
"Which organization governs the rules of water polo at Olympic events?
A) FINA
B) NCAA
C) NFHS
D) IOC",D
"How many field players are there in a senior water polo team during gameplay?
A) 4
B) 5
C) 6
D) 7",C
"In U20 competitions sanctioned by FINA, how many players are reduced to play in the water as of 2014?
A) Four
B) Five
C) Six
D) Seven",C
"What is the duration a player must wait before re-entering the game after committing an exclusion foul?
A) 10 seconds
B) 20 seconds
C) 30 seconds
D) 4 minutes",B
"What is the consequence for a player who commits a brutality foul?
A) A 2-minute penalty
B) A 4-minute penalty
C) Immediate ejection without future game suspension
D) Ejection and a possible ban from future games",D
"What penalty is given if a team has more players in the pool than allowed?
A) A free throw for the opposing team
B) A penalty throw for the opposing team
C) A yellow card to the coach
D) A major foul to the opposition on 6 metres",B
"If a team starts with less than six outfield players, what may the referee do?
A) Award a goal to the opposing team
B) Yellow card the coach and give a major foul to the opposition on 6 metres
C) Red card the coach
D) Allow play to continue without penalty",B
"How many players are there in a Beach water polo team including the goalkeeper?
A) Three
B) Four
C) Five
D) Six",B
"During which of the following situations are players NOT allowed to substitute in and out?
A) After goals
B) During timeouts
C) Between quarters
D) During active gameplay",D
"What is the primary reason water polo players wear caps during a match?
A) To keep their hair dry
B) To protect their heads and ears
C) To maintain team uniformity
D) To swim faster",B
"Under FINA rules, what number is usually assigned to the first choice goalkeeper?
A) 1
B) 7
C) 13
D) 1A",A
"If Australia's women's water polo team is playing at home under FINA rules, what cap color are they likely to wear?
A) Dark
B) White
C) Green
D) Red",C
"When a player is involved in a notable event, what additional information does the secretary record beside the event itself?
A) The player's name and team position
B) The player's hat number and colour
C) The player's swimming speed
D) The player's time of possession",B
"How many goal judges are ideally required in a water polo game?
A) One
B) Two
C) Three
D) Four",B
"Where does the attacking player line up to take a penalty throw or shot?
A) On the four meter line
B) On the five meter line
C) On the six meter line
D) At the center of the pool",B
"What is the minimum distance other players must be from the penalty shooter's position?
A) 1 meter
B) 1.5 meters
C) 2 meters
D) 3 meters",C
"The defending goalkeeper must be located ______ during a penalty shot.
A) Anywhere within the goal area
B) Between the goal posts
C) Behind the five meter line
D) Outside the goal area",B
"How must the player taking the penalty shot throw the ball toward the goal?
A) With a pumping motion
B) With an uninterrupted motion
C) After faking at least once
D) After spinning the ball",B
"What happens if the shooter's body crosses the 5 meter line before the ball is released?
A) The goal counts if the ball goes in.
B) The play continues with no consequences.
C) A turn over is awarded to the defending team.
D) The shooter gets a second chance.",C
"What action by an excluded player can result in a penalty being awarded to the opposing team?
A) Shouting instructions to teammates.
B) Interfering with the game as they exit the pool.
C) Sitting on the side of the pool.
D) Adjusting their cap while exiting.",B
"If a penalty shot does not score and the ball stays in play, what happens next?
A) The game is paused.
B) The attacking team is awarded another penalty shot.
C) Play continues.
D) The defending team is awarded a free throw.",C
"What determines which team starts on which side in a pool with a shallow end?
A) The home team's preference
B) A sprint competition
C) A coin toss
D) The visiting team's choice",C
"How often do teams change ends during a water polo game?
A) After every quarter
B) At halftime
C) After each goal is scored
D) Never",B
"In what formation do teams typically line up on their own goal line at the start of each period?
A) Four players in front, two behind
B) Three players on each side of the goal
C) All players behind the goal
D) Two players on each side of the goal",B
"Where does the sprinter often start during the swim-off?
A) In the goal
B) On the side of the pool
C) At the midpoint of the field
D) On the goal line",A
"What is the position of the goalkeeper during the swim-off?
A) Always in the goal
B) To one side of the goal
C) In the center of the pool
D) On the opponent's goal line",B
"Where is the ball normally placed in international competitions during the swim-off?
A) On the referee's side of the pool
B) In the center with a floating ring
C) On the goal line
D) Outside the pool",B
"What happens if a foul is given before either team reaches the ball at the swim-off?
A) The game is paused
B) A penalty shot is awarded
C) The non-offending team receives a free throw from the halfway line
D) The offending player is ejected",C
"How many swim-offs occur in a standard water polo game?
A) Two
B) Three
C) Four
D) Five",C
"What is the duration of each quarter in a water polo game?
A) 7 minutes
B) 8 minutes
C) 10 minutes
D) 12 minutes",B
"Which items are players checked for by the referee(s) before the start of play?
A) Cap and goggles
B) Nails and goggles
C) Nails and jewelry
D) Jewelry and swimsuits",C
"Are players allowed to wear goggles and jewelry during a water polo game?
A) Yes, always
B) Only goggles
C) Only jewelry
D) Neither goggles nor jewelry",D
"According to NCAA rules, if a water polo game is tied at the end of regulation time, how many three-minute overtime periods must teams play before proceeding to sudden death periods?
A) One
B) Two
C) Three
D) Four",B
"If a water polo game governed by NCAA rules is still tied after the mandatory overtime periods, what is the format of the subsequent periods?
A) Additional regular periods until the tie is broken
B) Shootouts
C) Three-minute sudden death periods
D) Five-minute golden goal periods",C
"In water polo, when a referee handles bench conduct and decides to issue a ""walking yellow,"" what does it imply?
A) The referee stops the game immediately to issue a yellow card.
B) The referee issues a yellow card without stopping live play.
C) The referee verbally warns the player before issuing a yellow card.
D) The referee ejects the player from the game.",B
"If a water polo player receives a red card, what is the immediate consequence?
A) The player receives a verbal warning.
B) The player is given a two-minute penalty.
C) The player must leave the pool area and have no further contact with the game.
D) The player is suspended for the rest of the season.",C
"What action follows the issuance of a ""walking yellow"" card at the next stoppage of play in water polo?
A) The referee issues a red card to the player.
B) The referee pulls the ball out to inform the table and partner referee.
C) The referee allows the player to continue without any record.
D) The game continues without any further action.",B
"Who can be issued a red card in a water polo match?
A) Only the head coach and assistant coaches.
B) Only the players in the water at the time of the infraction.
C) Any team personnel or supporters.
D) Only the team managers and other officials with the team.",C
"After a red card is issued in water polo, what is the minimum suspension for the offender?
A) A suspension for the remainder of the game only.
B) A one-game suspension.
C) A suspension for the rest of the tournament.
D) A suspension for the entire season.",B
"What happens when a water polo player acquires their second yellow card in a game?
A) They receive a final warning before being suspended.
B) They are given a penalty shot.
C) They are issued a red card.
D) They are allowed to continue playing with no further penalties.",C
"When a player is moving with the ball, they are allowed to __________.
A) Throw it to a teammate
B) Swim with the ball in front of them
C) Push the ball underwater
D) Hold an opposing player",B
"What is the consequence of a player committing a 'ball under' foul?
A) The player receives a warning
B) The player must take a penalty shot
C) The player has to hand the ball over to the other team
D) The game is paused for two minutes",C
