Question,Answer
"During the transition from hip and knee flexion to hip and knee extension, what part of the body is elevated away from the floor?
A) The head
B) The arms
C) The chest
D) The entire body",D
"What action does the performer use to create force against the ground?
A) Pushing off with the feet
B) Pushing off with the hands
C) Swinging the arms
D) Kicking the legs",B
"During the leg motion of the thrust, what change occurs in the joint angle of the hip?
A) It decreases from extension to flexion
B) It increases from flexion to extension
C) It remains constant in extension
D) It remains constant in flexion",B
"Which grip is similar to the one used in chin-ups?
A) Overhand grip
B) Dorsal grip
C) Reverse grip
D) Elgrip",C
"The underhand grip is the opposite of which other grip?
A) Dorsal grip
B) Reverse grip
C) Overhand grip
D) Mixed grip",C
"As the performer moves from hip and knee flexion to extension, what part of the body elevates away from the floor?
A) The head
B) The arms
C) The chest
D) The entire body",D
"What action do the elbows take as the performer pushes off with their hands?
A) They move from extension to flexion
B) They remain in a fixed position
C) They move from flexion to extension
D) They rotate around the shoulder joint",C
"The leg motion during the thrust increases the joint angle of the hip from:
A) Extension to flexion
B) Flexion to extension
C) Abduction to adduction
D) Lateral rotation to medial rotation",B
"Weak wrists can lead to force transmission to the elbows, neck, and potentially cause ______.
A) increased flexibility
B) injury
C) improved swing speed
D) better balance",B
"In which country did J. Garhammer publish one of the first articles relating to periodization of strength training in athletes?
A) Soviet Union
B) Romania
C) United States
D) Germany",C
"What aspect of muscular fitness does periodization in resistance training aim to improve?
A) Cardiovascular endurance
B) Flexibility
C) Muscular strength and endurance
D) Balance and coordination",C
"The overhead press exercise is a common exercise that involves moving the arms __________ directly upward from the shoulders.
A) sideways
B) downward
C) in a circular motion
D) in a forward-backward motion",A
"The use of machine weights primarily benefits _______.
A) Sport-specific skills
B) General conditioning
C) Explosive midsection training
D) Balance and stability",B
"What does a strength exercise that duplicates a particular portion of a skill require from the athlete?
A) Minimal effort
B) Ultimate concentration and perseverance
C) A long recovery time
D) Only physical strength",B
"According to international standards, what color is a 20 kg Olympic bumper plate?
A) Green
B) Yellow
C) Blue
D) Red",C
"In 5 kg increments, what is the minimum weight available for a bumper plate?
A) 5 kg
B) 10 kg
C) 15 kg
D) 20 kg",B
"Taping the wrists during Olympic lifting helps to:
A) Regulate wrist extension
B) Prevent calluses on the hands
C) Strengthen connective tissue
D) Increase the translation of the radius and ulna distal heads",A
"The use of tape on an Olympic lifter's body is mainly to protect against:
A) Excessive sweating
B) Friction and associated injuries
C) Muscle fatigue
D) Equipment damage",B
"The purpose of taping the thumb for Olympic lifters is to:
A) Increase the thumb's range of motion
B) Lessen the impact of the barbell
C) Prevent the barbell from slipping
D) Reduce pain associated with the hook grip",D
"Where were the Olympic Games held when weightlifting was first contested as its own event?
A) Paris
B) Antwerp
C) London
D) Athens",B
"How many weight divisions were introduced at the 1924 Olympic Games for weightlifters?
A) Three
B) Four
C) Five
D) Six",C
"What was NOT a reason for the discontinuation of the clean and press after the 1972 Olympics?
A) Difficulty in judging proper form
B) Athletes using their hips to press the weight
C) A ban on the use of weightlifting belts
D) Excessive layback being hard to judge",C
"What was strictly prohibited in the clean and press rules that contributed to its discontinuation?
A) Using a mixed grip
B) Utilizing knee bend to generate force
C) Lifting barefoot
D) Competing without a coach",B
"What constituted a rule violation that was too difficult to determine in the clean and press?
A) The speed of the hip thrust
B) The degree of knee bend
C) The type of weightlifting shoes worn
D) The degree of layback",D
"In Olympic weightlifting, how many attempts does each weightlifter get for both the snatch and the clean and jerk?
A) One attempt
B) Two attempts
C) Three attempts
D) Four attempts",C
"During the clean and jerk, where is the weight first taken before being lifted overhead?
A) From the ground to above the head
B) From the ground to the back of the shoulders
C) From the ground to the front of the shoulders
D) From the ground to the waist",C
"What is the combined total score in Olympic weightlifting based on?
A) The total number of successful lifts
B) The highest successfully-lifted weight in kilograms for each lift
C) The sum of the best attempts in both lifts
D) The bodyweight of the athlete",B
"What aspect of physical strength does Olympic-style weightlifting also test besides limit strength?
A) Endurance
B) Ballistic limits (explosive strength)
C) Flexibility
D) Cardiovascular fitness",B
"Which of the following lifts is not known as an ""Olympic lift""?
A) Clean
B) Squat
C) Snatch
D) Jerk",B
"What is the purpose of including variations of Olympic lifts, such as power snatch and power clean, in an athlete's training?
A) To reduce the risk of injury
B) To improve balance and coordination
C) To train for both explosive and functional strength
D) To focus on cardiovascular improvement",C
"In weightlifting, athletes compete in various weight classes. Are these classes the same for each sex?
A) Yes, they are the same
B) No, they are different
C) The classes are only for men
D) The classes are only for women",B
"In the inaugural Olympic Games, weightlifting was included as part of which event?
A) Swimming
B) Gymnastics
C) Field event
D) Boxing",C
"Who was the winner of the 'one hand' weightlifting competition at the 1896 Olympic Games?
A) Edward Lawrence Levy
B) Launceston Elliot
C) Viggo Jensen
D) None of the above",B
"The International Weightlifting Federation was founded in which year?
A) 1891
B) 1899
C) 1903
D) 1905",D
"Which of the following years did not feature weightlifting at the Olympic Games?
A) 1900
B) 1904
C) 1906
D) 1912",D
"Why do Olympic lifters use chalk during their lifts?
A) To increase the weight they can lift
B) To promote dryness and prevent the bar from moving in their hands
C) To improve the aesthetics of their performance
D) To signal readiness to the judges",B
"When do Olympic lifters typically apply chalk to their hands?
A) After each lift attempt
B) Generally prior to each attempt at a lift
C) Only before the first attempt
D) At the end of the competition",B
"The sleeve rotation on an Olympic barbell is particularly important for which of the following lifts?
A) Bench press
B) Deadlift
C) Snatch and clean movements
D) Squat",C
"When loading the bar with smaller competition iron plates, which color corresponds to the 1 kg plates?
A) Blue
B) Green
C) Yellow
D) Red",B
"If an athlete needs to increase the bar's weight by 2 kg using the smallest increment plates, which color should they choose?
A) Green
B) Yellow
C) Blue
D) White",C
"What is the color designation for the 0.5 kg competition iron plates?
A) Red
B) Blue
C) Green
D) White",D
"At local weightlifting competitions, the ""Best Lifter"" title is awarded based on a formula that includes the _______.
A) Sinclair coefficient
B) Olympic standard
C) Local committee decision
D) Athlete's personal record",A
"The ""Best Lifter"" award in local competitions is given to _______.
A) only the best men's lifter
B) only the best women's lifter
C) both the best men's and women's lifters
D) the winner of the heaviest weight class",C
"The Sinclair coefficient is a factor that allows for differences in _______.
A) experience and age
B) gender and bodyweight
C) training methods
D) competition level",B
"In a local weightlifting competition, the numeric result from the applied formula determines the best overall _______.
A) men's lifter only
B) women's lifter only
C) men's and women's lifters
D) team performance",C
"In which year were women's world championship events included in the IWF's annual World Weightlifting Championships for the first time?
A) 1980
B) 1987
C) 1992
D) 2000",B
"When was women's weightlifting first incorporated into the Olympic Games?
A) 1987
B) 1996
C) 2000
D) 2004",C
"Who became the first woman to wear a full body ""unitard"" under the customary weightlifting uniform at the U.S. National Championships following the 2011 IWF rule change?
A) Karyn Marshall
B) Cai Jun
C) Chen Yanqing
D) Kulsoom Abdullah",D
