Question,Answer
"The shooting star press in professional wrestling is similar to which gymnastic maneuver?
A) A cartwheel
B) A front handspring
C) A gainer
D) A back handspring",C
"How does the shooting star press differ from a standard gainer?
A) It involves landing on the feet
B) It involves landing head first
C) It involves landing chest first on an opponent
D) It involves no rotation",C
"The Sleeper Hold was originated in professional wrestling by which wrestler?
A) Jim Londos
B) Evan Lewis
C) Martin Burns
D) Minoru Suzuki",B
"What nickname did Evan Lewis earn for his use of the Sleeper Hold?
A) The Sleeper
B) The Strangler
C) The Choker
D) The Champion",B
"What is technically different between a Sleeper Hold and a choke in professional wrestling?
A) A choke compresses the chest
B) A choke involves a leg lock
C) A choke is a compression of the throat and/or adam's apple
D) A choke is a form of pin",C
"Who was quoted in The New York Sun as having performed ""a new hold I perfected which shuts off the jugular vein""?
A) Martin Burns
B) Evan Lewis
C) Jim Londos
D) Ernst Roeber",C
"How is the leverage arm positioned in a pro-wrestling Sleeper Hold to ensure it is not fully applied?
A) In a locked state
B) In a relaxed state
C) In a twisted state
D) In an extended state",B
"Which All Elite Wrestling wrestler is known for using a Sleeper Hold that is more realistic and closer to mixed martial arts?
A) Minoru Suzuki
B) Samoa Joe
C) Evan Lewis
D) Jim Londos",B
"Which former MMA star and Japanese wrestler is most notable for using the Sleeper Hold?
A) Samoa Joe
B) Jim Londos
C) Martin Burns
D) Minoru Suzuki",D
"Which professional wrestler used a variation of the triangle choke called the “Hells Gate”?
A) The Undertaker
B) Scott Baker
C) Jason Delucia
D) Rumina Sato",A
"The chokeholds used in catch wrestling and shoot wrestling served as an inspiration for the ""chokeholds"" in which modern performance sport?
A) Mixed martial arts
B) Submission grappling
C) Professional wrestling
D) Judo",C
"The technique introduced by Olympic judo silver-medalist Naoya Ogawa to professional wrestling, which can be a combination of a lariat and a legsweep, is known as a ________.
A) Dropkick
B) Suplex
C) Powerbomb
D) Lariat-legsweep",D
"In professional wrestling, inexperienced wrestlers develop their skills in smaller promotions before competing globally. These smaller promotions are generally called:
A) Major leagues
B) Farm leagues
C) Rookie rings
D) Minor circuits",B
"What was the original purpose of NXT when it was relaunched by WWE in 2012?
A) A reality competition series
B) A global wrestling event
C) A traditional wrestling school
D) An in-house developmental brand",D
"What was the strategic reason behind WWE moving NXT back to a different night in 2021?
A) To increase merchandise sales
B) To introduce new wrestlers
C) To return to a development-oriented positioning
D) To expand into new international markets",C
"Florida Championship Wrestling served as a developmental territory for WWE until what year?
A) 2010
B) 2011
C) 2012
D) 2013",C
"A supercard is a type of event that typically includes multiple high-level matches and/or ________.
A) special attractions
B) amateur bouts
C) training sessions
D) fan meet-and-greets",A
"Supercards are heavily advertised and the tickets usually ________ than standard-card events.
A) cost less
B) are the same price as
C) cost more
D) are free",C
"The largest professional wrestling company, WWE, runs pay-per-view events ________.
A) every week
B) every month
C) annually
D) bi-annually",B
"All Elite Wrestling (AEW) added Forbidden Door as a fifth annual PPV in collaboration with which Japanese company?
A) Dragon Gate
B) Pro Wrestling NOAH
C) New Japan Pro-Wrestling (NJPW)
D) DDT Pro-Wrestling",C
"Which of the following events was not held in 2008?
A) Lockdown
B) Slammiversary
C) Bound for Glory
D) Genesis",D
"Supercards in professional wrestling can function as a primary source of ________ for promotions.
A) talent
B) marketing
C) revenue
D) competition",C
"WWE's WrestleMania has been running annually since ________.
A) 1980
B) 1985
C) 1990
D) 1995",B
"How long do undercard matches in professional wrestling typically last?
A) Two to five minutes
B) Five to ten minutes
C) Ten to fifteen minutes
D) Fifteen to twenty minutes",B
"Which WWE brand is largely positioned as a developmental feeder for its main rosters?
A) NXT
B) Raw
C) SmackDown
D) ECW",A
"WWE ""TakeOver"" events are associated with which of the following?
A) Only independent wrestling promotions
B) The NXT brand
C) The main event of non-flagship pay-per-views
D) Celebrity wrestling matches",B
"""TakeOver"" events in WWE are typically held on the eve of which types of events?
A) Weekly televised shows
B) Flagship pay-per-views
C) Regional championships
D) International tours",B
