Question,Answer(s),Sport,Difficulty,Hop
"Question: What happens in a tennis match when Player A has a score of 40, Player B has a score of 30, Player A wins the next point, but Player B challenges the call and after review, the ball is determined to be out?

A) The score remains 40-30, and Player A serves the next point.
B) The score is adjusted to 40-40 due to the successful challenge.
C) The score is adjusted to 30-40 due to the successful challenge.
D) The score remains 40-30, and Player B serves the next point.",B,tennis,hard,single
"Question: In a professional tennis match, player A won the first set 6-4, the second set 7-5, but lost the third and fourth set 4-6, and the fourth set 6-7.  Why is a fifth set necessary in this scenario?                                                               A) Player A has already won more individual games than player B.
B) Player A and player B have each won an equal number of sets.
C) Player A has a higher total of points in all the games combined.
D) Player B won the last set.",B,tennis,hard,single
"Question: How does the scoring system in a tennis match work when both players have reached a score of 40, also known as 'deuce', and are vying for the game point?

A) The player who scores the next point directly wins the game.
B) The game continues until one player has a two point lead.
C) The game is won by the player who first reaches a score of 50.
D) The game automatically ends in a draw and both players are awarded half a point each.",B,tennis,hard,single
"Question: In a professional tennis match, player A won the first set 6-4, the second set 7-5, but lost the third set 4-6, and the fourth set 6-7.  Why is a fifth set necessary in this scenario? 
A) Player A has already won more individual games than player B.
B) Player A and player B have each won an equal number of sets.
C) Player A has a higher total of points in all the games combined.
D) Player B won the last set.",A,tennis,hard,single
"Question: How does the Hawk-Eye system determine if a ball is in or out during a professional tennis match?

A) It uses infrared technology to detect the ball's movement and position.
B) It uses a system of high-speed cameras placed around the court to calculate the trajectory and landing spot of the ball.
C) It relies on the umpire's decision and only serves as a visual representation.
D) It uses a combination of radar and laser technology to track the ball's movement.
",B,tennis,hard,single
"Question: In a doubles match at Wimbledon, Team A and Team B are in the final set. The score is tied at 6-6. According to the Wimbledon Championships' Tiebreak Rules, which of the following statements is true?

A) A standard tiebreak is played at 6-6 and the team to first reach 7 points with a difference of at least 2 points wins the match.

B) A standard tiebreak is played at 6-6, but the team must first reach 10 points with a difference of at least 2 points to win the match.

C) A final set tiebreak is played at 12-12, and the team to first reach 7 points with a difference of at least 2 points wins the match.

D) A final set tiebreak is played at 12-12, but the team must first reach 10 points with a difference of at least 2 points to win the match.",B,tennis,hard,single
"Question: In a hypothetical tennis match, Player A won the first set 6-4, the second set was taken by Player B 7-5, and the third set ended in a tie-break with Player A winning 7-6. Player B then won the fourth set 6-3 and the fifth set also ended in a tie-break with Player B winning 7-6. Despite winning three sets, why did Player A not win the match according to the traditional tennis match structure?

A) Player A won fewer games overall.
B) Player A lost the first set, which is a deciding factor.
C) Player B won the first tie-break set.
D) Player A lost the third set.",A,tennis,hard,single
"Q: How does the structure of a typical tennis match at a men's Grand Slam unfold, taking into account the sets, sets and points?

A) Each match consists of a best-of-five set, each set has six games, and each game has four points.

B) Each match is composed of a best-of-three set, each set has six games, and each game has four points.

C) Each match is made up of a best-of-five set, each set requires the player to win at least seven games, and each game is won by scoring four points.

D) Each match comprises a best-of-five set, each set is won by the first player to win six games and leads at least two games, and each game is won by the first player to score at least four points with a margin of two points. Some games have tie-break rules.",D,tennis,hard,single
"Question: In a professional tennis match, which of the following sequences correctly represents the structure of a men's singles match at the Grand Slam tournaments?

A) Best of three sets; each set is first to 6 games; tiebreak at 6-6 in each set.
B) Three out of five; each set is first to 4 games; tiebreak at 4-4 in each set.
C.Three out of five; each set is first to 6 games and leads at least two games; tiebreak at 6-6 in all sets.
D) Best of three sets; each set is first to 6 games; no tiebreak in the final set.",C,tennis,hard,single
"Question: How would the chair umpire appropriately handle a situation in a tennis match where a player continually disputes the accuracy of line calls, despite the use of electronic review systems, thus disrupting the flow of the game?

A) The chair umpire would immediately disqualify the player without any warning.
B) The chair umpire would ignore the player's protests and continue the game as is.
C) The chair umpire would warn the player for unsportsmanlike conduct, and if the behavior continues, the player would receive penalty points, or even disqualification if the behavior persists.
D) The chair umpire would call for a complete restart of the match.
",C,tennis,hard,single
